weeks,SA1142X2_1,SA1142X2_2,SA1142X2_3,SA605X4_1,SA605X4_2,SA609X3_1,SA609X4_1,SA919X7_1,SA919X7_2,SA919X7_3,SA919X7_4,SA535X4_1,SA535X4_2,SA535X4_3,SA535X4_4,SA919X4_1,SA919X4_2,SA535X5_1,SA535X5_2,SA535X5_3,SA535X6_1,SA535X6_2,SA535X6_3,SA535X6_4,SA535X7_1,SA535X7_2,SA535X7_3,SA535X7_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.2,0,0,0,0,148.6,91.1,0,121.7,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.1,0,0,0,0,168.1,132.1,0,180.9,0,0,0,0
7,0,0,0,0,0,747.9,0,0,0,0,0,0,0,0,0,262.9,0,0,0,0,193.1,167.9,0,272,262.1,262.1,383.3,244.9
7.5,0,0,0,0,0,1122.8,0,0,0,0,0,0,0,0,0,346.2,0,0,0,0,307.1,353.2,0,272,553.8,624,565.7,661.1
8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,561.6,0,0,0,0,373.1,389.7,0,338.5,,,,
8.5,0,0,0,0,0,,0,0,0,0,0,0,0,14,0,,59.5,0,0,0,373.1,389.7,161.9,347.2,,,,
9,0,0,0,0,0,,87.9,0,27.1,62.4,124.2,18.7,0,69.9,0,,181.2,0,0,0,393.6,481.9,269.6,473.7,,,,
9.5,0,0,0,0,0,,183.9,0,83.4,125.9,158.9,18.7,0,73.7,0,,181.2,0,0,0,618.7,589.5,326.8,490.2,,,,
10,0,0,0,0,0,,227.8,0,93,132.1,232.8,18.7,0,121.3,0,,265.1,0,0,0,457.7,644.8,440.3,676.3,,,,
10.5,0,0,0,0,0,,360.1,0,215.7,256.3,302.1,25.5,0,121.3,0,,334.3,0,0,0,714.4,,488,708.7,,,,
11,0,0,0,0,0,,574.3,0,215.7,354.2,517.6,48.1,0,121.3,0,,,0,0,0,944.6,,657.5,,,,,
11.5,0,0,0,0,0,,,0,227.8,422.8,603.8,83.9,33.3,142.7,0,,,0,0,0,830.9,,,,,,,
12,0,0,0,0,0,,,0,227.8,492.8,788.8,100.8,41.6,149.1,0,,,0,0,0,1167.3,,,,,,,
12.5,0,0,0,0,0,,,0,284.7,782.7,,195.6,56.9,164,0,,,0,0,0,,,,,,,,
13,0,0,0,0,0,,,0,401.5,1037.1,,223.7,81.9,164,272.9,,,0,0,0,,,,,,,,
13.5,0,0,0,0,0,,,0,548,,,356.9,95.5,209.7,276.2,,,0,0,0,,,,,,,,
14,0,18.7,0,0,0,,,96,616.5,,,371.9,110.2,226.4,276.2,,,0,0,0,,,,,,,,
14.5,0,39.1,0,0,0,,,206.4,,,,413.3,121.7,226.4,302.8,,,161,0,269.6,,,,,,,,
15,0,63.7,116.4,0,0,,,236.3,,,,596.3,121.7,302.8,316.2,,,193.1,0,300.4,,,,,,,,
15.5,0,63.7,233.5,0,0,,,244.9,,,,608.4,185.1,302.8,346.1,,,215.4,0,348,,,,,,,,
16,0,63.7,233.5,0,0,,,246.1,,,,707,221.7,390.6,392.7,,,215.4,0,348,,,,,,,,
16.5,0,63.7,257.4,0,0,,,690.9,,,,,211.7,481.2,412.6,,,270.3,154.8,395.8,,,,,,,,
17,24.7,63.7,257.4,0,0,,,610,,,,,211.7,481.2,462.1,,,296,232.8,454.6,,,,,,,,
17.5,24.7,95.5,299.5,0,0,,,658,,,,,242.8,481.2,736.2,,,351.1,247.7,611.1,,,,,,,,
