weeks,SA501X5_1,SA501X5_2,SA501X5_3,SA501X5_4,SA604X10_1,SA604X10_2,SA604X10_3,SA604X10_4,SA1139X4_1,SA1139X4_2,SA1139X4_3,SA1146X2_1,SA1146X2_2,SA1146X2_3,SA1146X2_4,SA1146X3_1,SA1146X3_2,SA1146X3_3,SA1146X3_4,SA609X11_1,SA609X11_2,SA609X11_3,SA609X11_4,SA919X3_1,SA919X3_2,SA919X3_3,SA919X4_1,SA919X4_2,SA609X4_1,SA609X4_2,SA609X4_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898.4,637.1,0,0,0,0,0,0,0,0
4.5,216.6,245.7,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,469.6,513.9,0,0,1180.5,1086.6,0,0,0,0,0,0,0,0
5,267.3,346.2,282.6,311.7,0,0,0,0,0,0,0,0,0,0,0,0,0,809.7,717.6,0,0,,,0,0,0,0,0,0,0,0
5.5,350,492.8,304.8,311.7,65,55.1,83.4,125.8,0,0,0,0,0,0,0,0,353.9,1243,1283.8,0,358.2,,,0,0,0,0,0,0,0,0
6,,,459.1,506.8,86.5,59.9,191.1,169.9,58.3,0,151.8,0,188.2,0,0,0,430.3,,,0,708.5,,,0,0,0,0,0,0,0,0
6.5,,,964,1593.5,132.9,195.5,326,231.1,95.5,0,197.2,0,355.9,0,0,0,624.4,,,0,1246.1,,,0,0,0,0,0,0,0,0
7,,,,,175.5,214,598,416,189.1,0,368.2,0,422.8,0,0,0,1228,,,110.2,,,,0,0,0,46,167.6,0,0,774
7.5,,,,,256.3,272.6,598,432.5,273.3,0,368.2,0,604.3,0,0,0,,,,202.2,,,,0,0,0,67.5,167.6,376.5,145,998
8,,,,,431.2,484.3,973.4,751,273.3,0,518.6,0,693.7,0,0,0,,,,202.2,,,,0,0,0,83.7,205.5,699.7,226.4,
8.5,,,,,421.2,638.2,,,599.4,0,682.2,0,912.3,0,0,0,,,,811.5,,,,0,0,0,87.1,212.9,1009,558.9,
9,,,,,759.9,939.3,,,677.8,0,990.3,276.3,1064.4,0,377.8,0,,,,,,,,0,0,0,163.9,325.9,,690.1,
9.5,,,,,,,,,,0,,408.6,,0,424.2,0,,,,,,,,154.6,250,134,183.7,423.1,,857.3,
10,,,,,,,,,,0,,603.2,,0,635.5,0,,,,,,,,213.5,435.6,260,364.4,583.5,,,
10.5,,,,,,,,,,0,,1021.6,,0,994.1,746,,,,,,,,451,605,400,501.2,,,,
11,,,,,,,,,,0,,,,124.9,1587,966,,,,,,,,500.8,725,451,,,,,
11.5,,,,,,,,,,0,,,,172.1,,,,,,,,,,515.3,916.2,458,,,,,
12,,,,,,,,,,598,,,,255.3,,,,,,,,,,528.2,,551.9,,,,,
12.5,,,,,,,,,,624,,,,267.3,,,,,,,,,,584.7,,736.8,,,,,
