Core ID,Block ID,PDX ID,SA ID,ER intensity,ER %,PR intensity,PR %,HER 2 intensity,HER 2 %,Ki67 intensity,Ki67 %,CK5/6 intensity,CK5/6 %,EGFR intensity,EGFR %,E-cadherin intensity,E-dadherin %,vimentin intensity,vimentin %,AR intensity,AR %,Caspase3 intensity ,Caspase3 %,INPP4B intensity,INPP4B %,Nestin intensity,Nestin %
1,03270,X0847-2161,SA919X4,0,0,0,0,0,0,3,25,1,0-1,1,1,3,100,0,0,0,0,3,1,1+,100,0,0
2,03271,X0847-2162,SA919X4,0,0,0,0,0,0,3,30,1,0-1,1,0-1,3,100,0,0,0,0,3,0-1,1+,100,0,0
3,03272,X0847-2163,SA919X4,0,0,0,0,0,0,3,35,1,1,1,10,3,100,0,0,0,0,3,1,1+,100,0,0
4,03272 AbdM,X0847-2163,SA919X4,0,0,0,0,0,0,3,40,1,0-1,2,10,3,100,0,0,0,0,3,0-1,1+,100,0,0
5,03272 SpinM,X0847-2163,SA919X4,0,0,0,0,0,0,3,35,1,0-1,1,10,3,100,0,0,0,0,3,0-1,1+,100,0,0
6,03273,X0847-2164,SA919X4,0,0,0,0,0,0,3,40,1,0-1,1,10,3,100,0,0,0,0,3,0-1,1+,100,0,0
7,03273 AxiM,X0847-2164,SA919X4,0,0,0,0,0,0,3,35,1,1-5,1,35,3,95,0,0,0,0,3,0-1,1+,100,0,0
8,03273 Lumbar,X0847-2164,SA919X4,0,0,0,0,0,0,3,25,1,0-1,0,0,2,80,0,0,0,0,3,1,1+,1,0,0
9,03141,X0011-2361M1,SA535X4M,0,0,0,0,0,0,3,35,2,1,2,90,3,100,3,80,0,0,3,1,2+,100,2+,15
10,03141-4,X0011-2361M1,SA535X4M,0,0,0,0,0,0,3,20,0,0,2,90,3,100,3,90,0,0,3,1,2+,100,2+,5-10
11,03142,X0011-2361M2,SA535X4M,0,0,0,0,0,0,3,35,0,0,2,90,3,100,3,80,0,0,3,1,2+,100,2+,15
12,03142-4,X0011-2361M2,SA535X4M,0,0,0,0,0,0,3,20,1,0-1,2,95,3,100,3,95,0,0,3,1,2+,100,2+,20
13,03143,X0011-2361M3,SA535X4M,0,0,0,0,0,0,3,35,2,1,2,55,3,100,3,90,0,0,3,1,2+,100,2+,15
14,03143-4,X0011-2361M3,SA535X4M,0,0,0,0,0,0,3,25,0,0,2,90,3,100,3,95,0,0,3,1,2+,100,2+,20
15,03144,X0011-2361M4,SA535X4M,0,0,0,0,0,0,3,35,0,0,2,80,3,100,3,90,0,0,3,1,2+,100,2+,15
16,03266-4,X0011-2361521,SA535X7,0,0,0,0,0,0,3,30,1,0-1,2,90,3,100,3,50,0,0,3,1,2+,100,2+,20
17,03266 AbdM,X0011-2361521,SA535X7,0,0,0,0,0,0,3,35,1,0-1,2,90,3,100,3,60,0,0,3,1,2+,100,2+,50
18,03267-4,X0011-2361522,SA535X7,0,0,0,0,0,0,3,50,1,0-1,2,80,3,100,3,80,0,0,3,1-5,1+,100,2+,15
19,03269-4,X0011-2361524,SA535X7,0,0,0,0,0,0,3,50,1,0-1,2,90,3,100,3,90,0,0,3,1,1+,100,2+,25
20,03269 AxiM,X0011-2361524,SA535X7,0,0,0,0,0,0,3,50,1,0-1,2,95,3,100,3,80,0,0,3,1,2+,100,2+,20
21,03605,X0011-236191,SA535X6,0,0,0,0,0,0,3,30,1,1,2,75,3,100,3,80,0,0,3,1,2+,100,2+,5
22,03606,X0011-236192,SA535X6,0,0,0,0,0,0,3,35,1,1-5,2,75,3,100,3,85,0,0,3,1,2+,100,2+,15
23,03607,X0011-236193,SA535X6,0,0,0,0,0,0,3,35,1,1-5,2,85,3,100,3,95,0,0,3,1,2+,100,2+,5
24,03608,X0011-236194,SA535X6,0,0,0,0,0,0,3,35,1,1-5,2,90,3,100,3,90,0,0,3,1,2+,100,2+,5
25,03609,X0011-236195,SA535X6,0,0,0,0,0,0,3,20,1,0-1,2,30,2,60,3,65,0,0,3,1-5,1+,100,2+,20
26,03610,X0011-236196,SA535X6,0,0,0,0,0,0,3,30,1,0-1,2,40,2,90,3,65,0,0,3,1-5,1+,100,2+,10
27,03611,X0011-236197,SA535X6,0,0,0,0,0,0,3,35,1,1,2,90,3,95,3,80,0,0,3,1,2+,100,2+,45
28,03612,X0011-236198,SA535X6,0,0,0,0,0,0,3,35,1,0-1,2,70,3,95,3,75,0,0,3,1,2+,100,2+,45
29,03262 ,X0011-23617,SA535X5,0,0,0,0,0,0,3,25,2,1,2,100,3,100,3,95,0,0,3,1,2+,100,2+,15
30,03262-4,X0011-23617,SA535X5,0,0,0,0,0,0,3,40,2,1,3,100,3,100,3,95,0,0,3,1,2+,100,3+,60
31,03262 AxiM,X0011-23617,SA535X5,0,0,0,0,0,0,3,25,3,1,2,95,3,100,3,75,0,0,3,1,2+,100,2+,15
32,03268-4,X0011-2361523,SA535X7,0,0,0,0,0,0,3,40,2,0-1,2,95,3,100,3,75,0,0,3,1,2+,100,2+,25
33,03269,X0011-2361524,SA535X7,0,0,0,0,0,0,3,30,1,0-1,2,85,3,100,3,55,0,0,3,1,1+,100,2+,20
34,03145,X0011-2361R1,SA535X4R,0,0,0,0,0,0,3,45,1,0-1,2,85,3,100,3,30,0,0,3,1-5,2+,100,2+,5-10
