,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1070,2.69E+02,17.9122283,4.8206974,3.715692,2.03E-04,4.42E-03,ENSG00000197616,MYH6
1008,1.31E+02,16.8865586,4.4503779,3.79441,1.48E-04,3.38E-03,ENSG00000186439,TRDN
1135,9.11E+03,16.3001662,4.3011775,3.789699,1.51E-04,3.43E-03,ENSG00000204388,HSPA1B
1159,4.68E+03,16.0931249,4.0113357,4.011912,6.02E-05,1.61E-03,ENSG00000204592,HLA-E
1148,6.83E+02,13.652202,2.0685568,6.599868,4.12E-11,4.36E-09,ENSG00000204498,NFKBIL1
646,6.76E+02,13.3262677,2.578647,5.16793,2.37E-07,1.19E-05,ENSG00000161021,MAML1
1144,6.26E+02,13.1892515,2.0706363,6.369661,1.89E-10,1.82E-08,ENSG00000204439,C6orf47
1131,5.23E+02,12.5952136,3.5347225,3.563282,3.66E-04,7.16E-03,ENSG00000204366,ZBTB12
770,2.68E+02,12.4171328,2.3060646,5.384556,7.26E-08,4.02E-06,ENSG00000170381,SEMA3E
1191,3.79E+02,12.4059069,4.1796922,2.968139,3.00E-03,3.71E-02,ENSG00000213588,ZBTB9
1258,4.96E+02,12.2354378,2.0872318,5.862041,4.57E-09,3.38E-07,ENSG00000241370,RPP21
1136,2.83E+02,11.7345816,3.308923,3.546345,3.91E-04,7.49E-03,ENSG00000204389,HSPA1A
1127,2.74E+02,11.5083149,2.1907953,5.253031,1.50E-07,7.79E-06,ENSG00000204315,FKBPL
901,4.83E+02,11.4447312,2.8483778,4.017982,5.87E-05,1.58E-03,ENSG00000179941,BBS10
1288,1.37E+02,11.2034545,2.1859911,5.125114,2.97E-07,1.45E-05,ENSG00000256453,DND1
1033,1.73E+02,11.1704933,3.283314,3.402201,6.68E-04,1.15E-02,ENSG00000188931,CFAP126
700,1.72E+02,11.1117022,2.1184297,5.245254,1.56E-07,8.10E-06,ENSG00000165646,SLC18A2
583,1.99E+02,10.9857807,2.1119332,5.201765,1.97E-07,1.01E-05,ENSG00000152939,MARVELD2
955,1.67E+02,10.8835386,2.3676415,4.596785,4.29E-06,1.59E-04,ENSG00000183793,NPIPA5
601,8.43E+01,10.5754141,2.2201702,4.763335,1.90E-06,7.67E-05,ENSG00000156150,ALX3
147,5.64E+02,10.414076,1.9895758,5.23432,1.66E-07,8.57E-06,ENSG00000100983,GSS
557,8.91E+01,10.331003,2.191301,4.714552,2.42E-06,9.40E-05,ENSG00000148680,HTR7
974,8.51E+01,10.045599,2.2031417,4.55967,5.12E-06,1.85E-04,ENSG00000184788,SATL1
1223,4.41E+02,10.0258577,1.5081554,6.647762,2.98E-11,3.28E-09,ENSG00000221988,PPT2
917,1.07E+02,9.7897717,2.1658739,4.52001,6.18E-06,2.18E-04,ENSG00000181649,PHLDA2
778,5.39E+01,9.4101566,2.470827,3.808505,1.40E-04,3.23E-03,ENSG00000170909,OSCAR
1282,4.30E+01,9.3818315,2.7276228,3.439563,5.83E-04,1.03E-02,ENSG00000254852,NPIPA2
1220,5.27E+01,9.1831207,2.2170477,4.142049,3.44E-05,9.99E-04,ENSG00000221883,ARIH2OS
996,3.20E+01,8.8111363,2.3175536,3.801913,1.44E-04,3.29E-03,ENSG00000185774,KCNIP4
1248,6.45E+03,8.6157963,0.4687668,18.379706,1.91E-75,3.82E-72,ENSG00000234769,WASH4P
685,7.41E+02,8.600716,0.8172984,10.523349,6.74E-26,3.08E-23,ENSG00000164597,COG5
1314,3.43E+01,8.5565664,2.47548,3.456528,5.47E-04,9.76E-03,ENSG00000271723,MROH7-TTC4
1251,3.82E+01,8.4240896,2.4693155,3.411508,6.46E-04,1.12E-02,ENSG00000236761,CTAGE9
1019,1.26E+03,8.3720674,2.8011142,2.988835,2.80E-03,3.54E-02,ENSG00000187537,POTEG
184,4.16E+01,8.3384048,2.2621993,3.685973,2.28E-04,4.84E-03,ENSG00000104970,KIR3DX1
470,2.05E+01,8.2782145,2.6113715,3.170064,1.52E-03,2.22E-02,ENSG00000138813,C4orf17
396,2.35E+01,8.2781596,2.8221632,2.933268,3.35E-03,4.05E-02,ENSG00000130950,NUTM2F
44,5.57E+02,8.1744391,2.5787888,3.169875,1.53E-03,2.22E-02,ENSG00000063587,ZNF275
1301,1.58E+02,8.157536,1.5866396,5.141392,2.73E-07,1.36E-05,ENSG00000258873,DUXA
894,1.73E+01,8.14986,2.7116083,3.005545,2.65E-03,3.38E-02,ENSG00000179242,CDH4
1117,2.00E+03,8.1437874,1.7109289,4.759863,1.94E-06,7.78E-05,ENSG00000204262,COL5A2
1007,1.82E+01,8.1158838,2.8038153,2.894586,3.80E-03,4.43E-02,ENSG00000186431,FCAR
29,1.96E+01,8.0812189,2.4428454,3.308117,9.39E-04,1.50E-02,ENSG00000034239,EFCAB1
1140,2.42E+01,8.0812095,2.5125687,3.216314,1.30E-03,1.96E-02,ENSG00000204420,MPIG6B
1300,8.19E+01,7.7681025,2.2863708,3.397569,6.80E-04,1.16E-02,ENSG00000258643,BCL2L2-PABPN1
1299,4.23E+01,7.6778926,2.3187398,3.311235,9.29E-04,1.49E-02,ENSG00000258555,SPECC1L-ADORA2A
1114,2.71E+01,7.630563,2.6317393,2.899437,3.74E-03,4.39E-02,ENSG00000204252,HLA-DOA
382,2.33E+01,7.581633,2.5206033,3.007864,2.63E-03,3.36E-02,ENSG00000130383,FUT5
1163,1.85E+03,7.4964861,0.4741725,15.809618,2.67E-56,3.56E-53,ENSG00000204642,HLA-F
584,1.93E+02,7.2506526,1.0971527,6.608609,3.88E-11,4.16E-09,ENSG00000152942,RAD17
