"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","g_ID","Gene.name"
"1","2.515805e+03","  1.0283000","0.3190550","  3.222956"," 1.268752e-03"," 8.424680e-03","ENSG00000001084","GCLC"
"2","3.101974e+03"," -0.8440580","0.2129971"," -3.962768"," 7.408562e-05"," 8.183458e-04","ENSG00000001167","NFYA"
"3","2.152957e+03"," -0.7794502","0.2000547"," -3.896185"," 9.771963e-05"," 1.027344e-03","ENSG00000001461","NIPAL3"
"4","4.074741e+03"," -0.8542233","0.2355871"," -3.625935"," 2.879183e-04"," 2.518399e-03","ENSG00000002586","CD99"
"5","9.880552e+02","  1.7333826","0.3081147","  5.625771"," 1.846809e-08"," 6.038327e-07","ENSG00000002822","MAD1L1"
"6","1.429193e+04"," -0.6384796","0.1524337"," -4.188572"," 2.807147e-05"," 3.650854e-04","ENSG00000002834","LASP1"
"7","6.976179e+02"," -5.5296239","1.0749041"," -5.144295"," 2.685274e-07"," 6.671559e-06","ENSG00000002933","TMEM176A"
"8","5.268985e+03"," -0.6949601","0.2384094"," -2.914987"," 3.557036e-03"," 1.924874e-02","ENSG00000003056","M6PR"
"9","4.266828e+01","  3.1018933","0.9454223","  3.280961"," 1.034542e-03"," 7.157295e-03","ENSG00000003096","KLHL13"
"10","2.608538e+03","  0.4933636","0.1806740","  2.730684"," 6.320310e-03"," 2.998387e-02","ENSG00000003147","ICA1"
"11","6.313329e+03","  0.8796842","0.1995520","  4.408296"," 1.041870e-05"," 1.591822e-04","ENSG00000003249","DBNDD1"
"12","1.201654e+03"," -1.1055456","0.2250004"," -4.913528"," 8.945208e-07"," 1.891802e-05","ENSG00000003393","ALS2"
"13","1.932105e+03"," -2.5178359","0.2458826","-10.239991"," 1.312492e-24"," 2.980087e-22","ENSG00000003436","TFPI"
"14","1.294424e+03"," -1.8130692","0.4626681"," -3.918726"," 8.901839e-05"," 9.511586e-04","ENSG00000003989","SLC7A2"
"15","5.789497e+03","  1.0815274","0.2579948","  4.192051"," 2.764444e-05"," 3.605773e-04","ENSG00000004059","ARF5"
"16","2.589736e+03"," -0.8385299","0.2512586"," -3.337318"," 8.459108e-04"," 6.089366e-03","ENSG00000004487","KDM1A"
"17","1.385156e+01","  4.6619262","1.6983546","  2.744966"," 6.051710e-03"," 2.894121e-02","ENSG00000004848","ARX"
"18","1.334554e+01"," -7.3513308","2.5334987"," -2.901652"," 3.712011e-03"," 1.987683e-02","ENSG00000004939","SLC4A1"
"19","2.146589e+03","  1.3269724","0.3338438","  3.974831"," 7.042935e-05"," 7.843181e-04","ENSG00000005001","PRSS22"
"20","2.169168e+02","  1.6711520","0.4658858","  3.587042"," 3.344504e-04"," 2.856633e-03","ENSG00000005020","SKAP2"
"21","2.303670e+03","  0.7681723","0.2784931","  2.758317"," 5.809976e-03"," 2.803468e-02","ENSG00000005075","POLR2J"
"22","1.857067e+03"," -0.8235884","0.2308194"," -3.568107"," 3.595697e-04"," 3.025345e-03","ENSG00000005100","DHX33"
"23","2.229840e+03"," -1.2547590","0.2563597"," -4.894526"," 9.854320e-07"," 2.057451e-05","ENSG00000005156","LIG3"
"24","2.092272e+02"," -1.3041995","0.3485317"," -3.741982"," 1.825743e-04"," 1.750571e-03","ENSG00000005187","ACSM3"
"25","1.025390e+02","  2.6875467","0.8168473","  3.290146"," 1.001355e-03"," 6.971955e-03","ENSG00000005243","COPZ2"
