"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","g_ID","Gene.name"
"1","2.515805e+03","  1.5607241","0.3318188","  4.703543"," 2.556856e-06"," 6.284800e-05","ENSG00000001084","GCLC"
"2","9.880552e+02","  1.1143340","0.3196742","  3.485843"," 4.905884e-04"," 4.947979e-03","ENSG00000002822","MAD1L1"
"3","1.429193e+04"," -0.5266366","0.1969135"," -2.674456"," 7.485054e-03"," 4.087106e-02","ENSG00000002834","LASP1"
"4","4.266828e+01","  5.0600016","1.4874373","  3.401825"," 6.693743e-04"," 6.307613e-03","ENSG00000003096","KLHL13"
"5","6.313329e+03","  0.8348211","0.2283268","  3.656256"," 2.559259e-04"," 2.903403e-03","ENSG00000003249","DBNDD1"
"6","6.871901e+03"," -1.1262180","0.2687408"," -4.190723"," 2.780674e-05"," 4.730171e-04","ENSG00000003402","CFLAR"
"7","1.932105e+03"," -3.0473523","0.2930682","-10.398100"," 2.529259e-25"," 7.322204e-23","ENSG00000003436","TFPI"
"8","5.789497e+03","  1.2080096","0.2872786","  4.205011"," 2.610692e-05"," 4.494817e-04","ENSG00000004059","ARF5"
"9","6.467835e+03"," -1.5668248","0.3156627"," -4.963604"," 6.919697e-07"," 2.029561e-05","ENSG00000004534","RBM6"
"10","1.334554e+01"," -8.0053177","2.8317098"," -2.827026"," 4.698249e-03"," 2.864576e-02","ENSG00000004939","SLC4A1"
"11","2.146589e+03","  0.9125887","0.3342941","  2.729898"," 6.335401e-03"," 3.600193e-02","ENSG00000005001","PRSS22"
"12","2.169168e+02","  1.9589648","0.5941992","  3.296815"," 9.778786e-04"," 8.394935e-03","ENSG00000005020","SKAP2"
"13","6.516056e+03","  0.9129374","0.2361783","  3.865459"," 1.108806e-04"," 1.481535e-03","ENSG00000005022","SLC25A5"
"14","1.152505e+03","  1.2433843","0.4102448","  3.030835"," 2.438783e-03"," 1.739302e-02","ENSG00000005059","MCUB"
"15","1.857067e+03"," -0.7173861","0.2495842"," -2.874324"," 4.048928e-03"," 2.565744e-02","ENSG00000005100","DHX33"
"16","2.229840e+03"," -0.6792702","0.2474448"," -2.745138"," 6.048538e-03"," 3.466158e-02","ENSG00000005156","LIG3"
"17","1.025390e+02","  3.4686110","0.9970744","  3.478788"," 5.036862e-04"," 5.065436e-03","ENSG00000005243","COPZ2"
"18","3.981118e+02","  2.1465260","0.5229307","  4.104800"," 4.046644e-05"," 6.488327e-04","ENSG00000005249","PRKAR2B"
"19","1.444792e+03","  1.8801669","0.3317761","  5.666976"," 1.453398e-08"," 6.346640e-07","ENSG00000005302","MSL3"
"20","5.539652e+03"," -0.8016450","0.2100410"," -3.816612"," 1.352966e-04"," 1.728957e-03","ENSG00000005339","CREBBP"
"21","8.754074e+02"," -1.7587342","0.3971218"," -4.428703"," 9.480156e-06"," 1.875991e-04","ENSG00000005379","TSPOAP1"
"22","3.978038e+03","  0.9761236","0.2984186","  3.270987"," 1.071727e-03"," 8.998017e-03","ENSG00000005486","RHBDD2"
"23","2.512434e+03"," -0.7561998","0.2502593"," -3.021665"," 2.513883e-03"," 1.776651e-02","ENSG00000006194","ZNF263"
"24","6.115265e+03","  1.2631852","0.1970089","  6.411818"," 1.437940e-10"," 9.731306e-09","ENSG00000006327","TNFRSF12A"
"25","9.252312e+02"," -1.2581582","0.3328025"," -3.780495"," 1.565167e-04"," 1.941925e-03","ENSG00000006432","MAP3K9"
"26","9.591123e+02","  4.6678637","0.5274277","  8.850243"," 8.732897e-19"," 1.820285e-16","ENSG00000006530","AGK"
"27","9.063132e+02"," -0.8372885","0.3026432"," -2.766586"," 5.664659e-03"," 3.292030e-02","ENSG00000006607","FARP2"
"28","3.185178e+03","  0.8526639","0.2993781","  2.848117"," 4.397879e-03"," 2.721393e-02","ENSG00000006625","GGCT"
"29","2.806572e+03","  0.7911361","0.2715735","  2.913156"," 3.577954e-03"," 2.333507e-02","ENSG00000006652","IFRD1"
"30","2.230381e+03","  0.8051504","0.2490582","  3.232779"," 1.225922e-03"," 1.004446e-02","ENSG00000006831","ADIPOR2"
"31","2.762250e+04"," -0.7380594","0.2631498"," -2.804712"," 5.036153e-03"," 3.013597e-02","ENSG00000007062","PROM1"
