,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1984,1.43E+03,54.4429982,4.7335818,11.501438,1.30E-30,5.46E-28,ENSG00000159251,ACTC1
2022,5.83E+02,51.9989343,5.609805,9.269294,1.87E-20,3.75E-18,ENSG00000160808,MYL3
2939,2.04E+02,50.9359486,4.9400829,10.310748,6.30E-25,1.74E-22,ENSG00000196091,MYBPC1
2315,4.07E+02,45.368088,5.4512635,8.32249,8.61E-17,1.18E-14,ENSG00000168530,MYL1
1322,2.92E+02,44.8015803,5.4358444,8.241881,1.70E-16,2.26E-14,ENSG00000133020,MYH8
471,1.79E+02,44.4403065,5.8465269,7.601146,2.94E-14,2.86E-12,ENSG00000100362,PVALB
736,1.82E+03,38.3159947,5.6403856,6.793152,1.10E-11,7.50E-10,ENSG00000109061,MYH1
400,2.85E+02,36.7532456,8.0214757,4.581856,4.61E-06,8.57E-05,ENSG00000092054,MYH7
3400,1.42E+03,35.9623804,5.5662004,6.460849,1.04E-10,5.94E-09,ENSG00000264424,MYH4
1110,6.80E+02,30.5320045,5.5440841,5.507132,3.65E-08,1.19E-06,ENSG00000125414,MYH2
3014,2.69E+02,26.0364149,4.4987569,5.787469,7.15E-09,2.77E-07,ENSG00000197616,MYH6
2859,1.31E+02,24.968342,4.173281,5.982905,2.19E-09,9.68E-08,ENSG00000186439,TRDN
3134,9.11E+03,16.5508685,5.4182422,3.054656,2.25E-03,1.41E-02,ENSG00000204388,HSPA1B
3159,4.68E+03,15.9844121,5.3670097,2.978271,2.90E-03,1.71E-02,ENSG00000204592,HLA-E
3310,4.96E+02,13.3449668,2.0949467,6.370075,1.89E-10,1.02E-08,ENSG00000241370,RPP21
3149,6.83E+02,13.2124411,2.0826141,6.344162,2.24E-10,1.20E-08,ENSG00000204498,NFKBIL1
3145,6.26E+02,13.156138,2.0855596,6.308205,2.82E-10,1.49E-08,ENSG00000204439,C6orf47
3130,5.23E+02,13.0631315,3.9205823,3.331937,8.62E-04,6.57E-03,ENSG00000204366,ZBTB12
3370,2.62E+02,13.0000669,2.134967,6.089118,1.14E-09,5.28E-08,ENSG00000255633,MTRNR2L9
34,1.94E+02,12.8653987,4.0771399,3.155496,1.60E-03,1.08E-02,ENSG00000006788,MYH13
1475,6.96E+02,12.8026989,2.0822089,6.148614,7.82E-10,3.73E-08,ENSG00000137331,IER3
2032,6.76E+02,12.7967166,2.8693306,4.459826,8.20E-06,1.41E-04,ENSG00000161021,MAML1
512,7.49E+02,12.7753523,3.4577144,3.694739,2.20E-04,2.16E-03,ENSG00000101470,TNNC2
1957,7.33E+01,12.3874719,2.6384507,4.694979,2.67E-06,5.36E-05,ENSG00000158022,TRIM63
3116,3.86E+02,12.0132457,2.1077782,5.699483,1.20E-08,4.41E-07,ENSG00000204287,HLA-DRA
307,8.50E+01,11.9585198,3.5057284,3.411137,6.47E-04,5.21E-03,ENSG00000081248,CACNA1S
1041,1.58E+02,11.8295574,2.1934741,5.393069,6.93E-08,2.10E-06,ENSG00000122176,FMOD
