,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
254,107.2043,6.1628116,1.6205101,3.803007,1.43E-04,1.79E-02,ENSG00000181649,PHLDA2
6,959.1123,3.3790873,0.5301506,6.373826,1.84E-10,6.05E-07,ENSG00000006530,AGK
147,62.77688,3.0434646,0.7662315,3.971991,7.13E-05,1.17E-02,ENSG00000137843,PAK6
226,1638.31156,2.1051635,0.2640914,7.971344,1.57E-15,1.03E-11,ENSG00000170445,HARS
300,209.5989,1.8957229,0.5045673,3.757126,1.72E-04,1.95E-02,ENSG00000240204,SMKR1
182,573.58312,1.8287289,0.3597155,5.08382,3.70E-07,5.40E-04,ENSG00000157927,RADIL
131,642.76075,1.822173,0.4486377,4.061569,4.87E-05,9.69E-03,ENSG00000128564,VGF
263,5582.66674,1.8070071,0.3852244,4.690791,2.72E-06,1.88E-03,ENSG00000185559,DLK1
213,293.86433,1.6458776,0.4805271,3.42515,6.14E-04,3.57E-02,ENSG00000167157,PRRX2
237,1715.29301,1.6055148,0.42662,3.763337,1.68E-04,1.95E-02,ENSG00000173597,SULT1B1
73,20768.04583,1.5411269,0.3317307,4.645717,3.39E-06,2.23E-03,ENSG00000106211,HSPB1
206,471.24003,1.4853437,0.3282584,4.524922,6.04E-06,3.17E-03,ENSG00000165171,METTL27
136,1470.26193,1.4492403,0.4225395,3.429834,6.04E-04,3.54E-02,ENSG00000134824,FADS2
163,269.90375,1.4207944,0.4317338,3.290903,9.99E-04,4.46E-02,ENSG00000146013,GFRA3
83,1017.66003,1.4148946,0.3862035,3.663599,2.49E-04,2.34E-02,ENSG00000106399,RPA3
151,457.87922,1.36388,0.3924423,3.475364,5.10E-04,3.21E-02,ENSG00000140044,JDP2
49,529.30307,1.3214272,0.2744855,4.814197,1.48E-06,1.29E-03,ENSG00000100162,CENPM
24,2951.30268,1.2765836,0.3885066,3.285874,1.02E-03,4.47E-02,ENSG00000069482,GAL
310,29235.47047,1.270101,0.362759,3.501225,4.63E-04,3.16E-02,ENSG00000270188,MTRNR2L11
48,7149.82512,1.2561701,0.2900843,4.330363,1.49E-05,5.68E-03,ENSG00000100097,LGALS1
75,2492.7429,1.250666,0.2572311,4.862033,1.16E-06,1.20E-03,ENSG00000106245,BUD31
295,1158.49843,1.2369394,0.3596589,3.439202,5.83E-04,3.52E-02,ENSG00000223572,CKMT1A
17,1835.79722,1.2280918,0.2724168,4.508136,6.54E-06,3.30E-03,ENSG00000049541,RFC2
296,1254.59583,1.2196806,0.2963419,4.115789,3.86E-05,9.31E-03,ENSG00000237289,CKMT1B
143,2053.20907,1.2169594,0.3488132,3.488857,4.85E-04,3.16E-02,ENSG00000136280,CCM2
288,537.88947,1.2165914,0.3452718,3.523575,4.26E-04,3.05E-02,ENSG00000204060,FOXO6
180,1965.41686,1.2145175,0.2912599,4.169875,3.05E-05,9.10E-03,ENSG00000157778,PSMG3
271,2708.86295,1.2082237,0.2917804,4.140866,3.46E-05,9.18E-03,ENSG00000188483,IER5L
211,30521.04495,1.2031798,0.2868938,4.193816,2.74E-05,8.61E-03,ENSG00000166426,CRABP1
87,6842.55618,1.1939399,0.3168397,3.768278,1.64E-04,1.93E-02,ENSG00000106628,POLD2
172,2171.9469,1.1919189,0.2455737,4.85361,1.21E-06,1.20E-03,ENSG00000148450,MSRB2
79,1340.24431,1.1916333,0.36612,3.254762,1.13E-03,4.70E-02,ENSG00000106305,AIMP2
301,5208.35584,1.17556,0.2957322,3.975082,7.04E-05,1.17E-02,ENSG00000241468,ATP5MF
231,1850.69679,1.169151,0.2815886,4.151983,3.30E-05,9.18E-03,ENSG00000172336,POP7
277,60482.26692,1.1674472,0.2432106,4.80015,1.59E-06,1.30E-03,ENSG00000196262,PPIA
81,7317.20024,1.1672035,0.2994332,3.898043,9.70E-05,1.37E-02,ENSG00000106367,AP1S1
115,312.16983,1.1629309,0.3430957,3.389523,7.00E-04,3.86E-02,ENSG00000121211,MND1
241,2494.07171,1.1568707,0.2794967,4.139122,3.49E-05,9.18E-03,ENSG00000175793,SFN
3,2303.66952,1.1519213,0.2788321,4.131236,3.61E-05,9.18E-03,ENSG00000005075,POLR2J
275,10524.42123,1.1492273,0.284386,4.041083,5.32E-05,9.84E-03,ENSG00000189334,S100A14
25,1942.56772,1.1451613,0.3216164,3.560643,3.70E-04,2.82E-02,ENSG00000070669,ASNS
201,732.69888,1.1434326,0.3329638,3.434105,5.95E-04,3.52E-02,ENSG00000164610,RP9
165,625.3387,1.1419804,0.3242289,3.522142,4.28E-04,3.05E-02,ENSG00000146707,POMZP3
76,11092.14013,1.1277119,0.3072553,3.670277,2.42E-04,2.34E-02,ENSG00000106263,EIF3B
293,3177.84344,1.1231859,0.3128011,3.590735,3.30E-04,2.66E-02,ENSG00000214253,FIS1
118,1586.353,1.1222915,0.331483,3.385669,7.10E-04,3.88E-02,ENSG00000123975,CKS2
242,15252.60354,1.1210365,0.2568879,4.363914,1.28E-05,5.12E-03,ENSG00000176046,NUPR1
173,587.222,1.1192402,0.3283765,3.408405,6.53E-04,3.70E-02,ENSG00000149485,FADS1
132,2003.07948,1.1155018,0.3010307,3.705608,2.11E-04,2.21E-02,ENSG00000130305,NSUN5
100,987.58356,1.1072433,0.3180236,3.481638,4.98E-04,3.16E-02,ENSG00000112312,GMNN
200,6757.63579,1.1037879,0.2400797,4.597589,4.27E-06,2.67E-03,ENSG00000164104,HMGB2
128,2826.38466,1.1019899,0.2872967,3.835721,1.25E-04,1.61E-02,ENSG00000127922,SEM1
32,2013.49889,1.1016419,0.2765813,3.983068,6.80E-05,1.16E-02,ENSG00000082497,SERTAD4
55,4630.77384,1.0984065,0.2299314,4.777105,1.78E-06,1.37E-03,ENSG00000102007,PLP2
188,1544.37206,1.0884388,0.2906121,3.745332,1.80E-04,1.99E-02,ENSG00000160813,PPP1R35
88,1796.97155,1.0882834,0.2633581,4.132332,3.59E-05,9.18E-03,ENSG00000106635,BCL7B
239,1597.31702,1.0854304,0.3335904,3.253781,1.14E-03,4.70E-02,ENSG00000175063,UBE2C
279,6057.04215,1.08518,0.3246617,3.342494,8.30E-04,4.11E-02,ENSG00000196683,TOMM7
189,50830.86047,1.0829172,0.2952353,3.66798,2.44E-04,2.34E-02,ENSG00000160932,LY6E
77,857.79591,1.0815116,0.315864,3.423978,6.17E-04,3.57E-02,ENSG00000106268,NUDT1
207,39669.21357,1.0814896,0.237745,4.548947,5.39E-06,3.08E-03,ENSG00000165215,CLDN3
71,7271.9866,1.0763426,0.2986602,3.603904,3.13E-04,2.62E-02,ENSG00000106105,GARS
40,2252.23641,1.069508,0.2977887,3.5915,3.29E-04,2.66E-02,ENSG00000090266,NDUFB2
232,13062.20903,1.0650279,0.2738766,3.888715,1.01E-04,1.38E-02,ENSG00000172354,GNB2
53,4610.41249,1.0648047,0.2589121,4.11261,3.91E-05,9.31E-03,ENSG00000101057,MYBL2
72,13757.88143,1.0598206,0.2933655,3.612629,3.03E-04,2.60E-02,ENSG00000106153,CHCHD2
19,3634.88595,1.0543168,0.258741,4.074796,4.61E-05,9.53E-03,ENSG00000062582,MRPS24
164,3052.65142,1.0520651,0.2998441,3.508708,4.50E-04,3.11E-02,ENSG00000146540,C7orf50
217,2230.01505,1.0512425,0.2170539,4.843234,1.28E-06,1.20E-03,ENSG00000167900,TK1
234,1484.70269,1.0462936,0.3160808,3.310209,9.32E-04,4.35E-02,ENSG00000173110,HSPA6
218,3153.78353,1.0445361,0.2591943,4.029935,5.58E-05,1.00E-02,ENSG00000168090,COPS6
2,5789.49679,1.0442438,0.258252,4.043506,5.27E-05,9.84E-03,ENSG00000004059,ARF5
162,3433.88703,1.0433846,0.2937048,3.552495,3.82E-04,2.85E-02,ENSG00000145494,NDUFS6
7,3185.17817,1.0407859,0.2611523,3.98536,6.74E-05,1.16E-02,ENSG00000006625,GGCT
304,16589.38984,1.0379431,0.3099186,3.349083,8.11E-04,4.05E-02,ENSG00000256045,MTRNR2L10
272,3906.95421,1.0337781,0.2820846,3.66478,2.48E-04,2.34E-02,ENSG00000188486,H2AFX
126,3684.29201,1.029646,0.2573792,4.000502,6.32E-05,1.11E-02,ENSG00000127564,PKMYT1
166,4706.95561,1.0281629,0.3169569,3.243857,1.18E-03,4.81E-02,ENSG00000146834,MEPCE
86,5227.03948,1.0169111,0.302494,3.361756,7.74E-04,3.98E-02,ENSG00000106615,RHEB
74,6930.47726,1.012289,0.2577448,3.927486,8.58E-05,1.25E-02,ENSG00000106244,PDAP1
107,1837.873,1.0096208,0.3098521,3.258396,1.12E-03,4.70E-02,ENSG00000117399,CDC20
64,1018.19569,1.0006592,0.2941564,3.401793,6.69E-04,3.76E-02,ENSG00000105011,ASF1B
248,1079.42251,0.9923663,0.2415007,4.109165,3.97E-05,9.31E-03,ENSG00000178999,AURKB
56,943.71961,0.9820972,0.265706,3.69618,2.19E-04,2.21E-02,ENSG00000102390,PBDC1
168,1075.07137,0.980399,0.2725484,3.597156,3.22E-04,2.65E-02,ENSG00000147155,EBP
21,4155.85077,0.9803645,0.2544355,3.853096,1.17E-04,1.53E-02,ENSG00000065054,SLC9A3R2
282,8192.17244,0.9802956,0.2409116,4.069108,4.72E-05,9.53E-03,ENSG00000197448,GSTK1
311,36240.85357,0.9782234,0.2754112,3.551865,3.83E-04,2.85E-02,ENSG00000270672,MTRNR2L6
149,684.52415,0.9755093,0.2675468,3.646125,2.66E-04,2.42E-02,ENSG00000139410,SDSL
238,998.2263,0.9629331,0.2892519,3.329047,8.71E-04,4.23E-02,ENSG00000174775,HRAS
