,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
36,3.19E+02,10.2121283,1.6197128,6.304901,2.88E-10,5.12E-07,ENSG00000172175,MALT1
29,5.69E+01,7.2621738,1.7265399,4.206201,2.60E-05,9.97E-03,ENSG00000157654,PALM2-AKAP2
7,5.64E+02,6.9683138,1.5688826,4.441578,8.93E-06,4.88E-03,ENSG00000100983,GSS
31,7.95E+02,6.9029423,0.648667,10.641735,1.91E-26,2.71E-22,ENSG00000165097,KDM1B
50,4.41E+02,5.8027383,1.5485128,3.747297,1.79E-04,4.30E-02,ENSG00000221988,PPT2
15,2.91E+02,5.4848958,0.6598591,8.312223,9.39E-17,6.67E-13,ENSG00000126953,TIMM8A
30,7.41E+02,4.2345455,0.9287148,4.559576,5.13E-06,3.20E-03,ENSG00000164597,COG5
19,7.52E+02,2.5992864,0.4493716,5.784269,7.28E-09,9.40E-06,ENSG00000138767,CNOT6L
54,3.45E+02,2.5307995,0.5918653,4.275972,1.90E-05,8.45E-03,ENSG00000269897,COMMD3-BMI1
1,9.59E+02,2.2091579,0.5136155,4.301191,1.70E-05,8.04E-03,ENSG00000006530,AGK
12,6.26E+03,2.1791321,0.3232966,6.74035,1.58E-11,5.61E-08,ENSG00000119139,TJP2
16,1.57E+04,2.016853,0.2723117,7.406413,1.30E-13,6.14E-10,ENSG00000127022,CANX
41,4.56E+02,1.8664266,0.454461,4.106902,4.01E-05,1.39E-02,ENSG00000182372,CLN8
42,4.94E+03,1.7891557,0.4692474,3.812819,1.37E-04,3.48E-02,ENSG00000185825,BCAP31
11,1.65E+03,1.7845882,0.4204615,4.244356,2.19E-05,9.16E-03,ENSG00000117593,DARS2
39,4.55E+03,1.6979267,0.3574852,4.749642,2.04E-06,1.45E-03,ENSG00000174780,SRP72
9,1.13E+03,1.5949519,0.3162523,5.043289,4.58E-07,5.00E-04,ENSG00000109320,NFKB1
23,4.82E+03,1.273379,0.338375,3.763218,1.68E-04,4.18E-02,ENSG00000147044,CASK
43,4.10E+03,1.1767836,0.2378133,4.948351,7.48E-07,7.09E-04,ENSG00000196367,TRRAP
35,1.64E+03,1.136877,0.2624531,4.331734,1.48E-05,7.25E-03,ENSG00000170445,HARS
5,8.47E+03,0.9044759,0.176492,5.124741,2.98E-07,3.53E-04,ENSG00000080603,SRCAP
47,6.79E+03,0.8543243,0.20294,4.209739,2.56E-05,9.97E-03,ENSG00000204394,VARS
3,2.20E+03,0.7678707,0.1902766,4.03555,5.45E-05,1.72E-02,ENSG00000051596,THOC3
18,4.20E+03,-0.8638745,0.2098722,-4.116193,3.85E-05,1.37E-02,ENSG00000134884,ARGLU1
17,4.17E+03,-0.8776424,0.2335673,-3.757557,1.72E-04,4.20E-02,ENSG00000132485,ZRANB2
33,3.00E+03,-0.8953803,0.2410739,-3.714132,2.04E-04,4.83E-02,ENSG00000166532,RIMKLB
25,5.55E+03,-0.9275247,0.2178235,-4.258148,2.06E-05,8.87E-03,ENSG00000153207,AHCTF1
34,9.43E+03,-1.0241146,0.2268566,-4.51437,6.35E-06,3.76E-03,ENSG00000169045,HNRNPH1
22,9.35E+02,-1.0582704,0.2586709,-4.091184,4.29E-05,1.45E-02,ENSG00000146373,RNF217
26,1.36E+03,-1.0683383,0.2680516,-3.985569,6.73E-05,2.03E-02,ENSG00000153879,CEBPG
53,1.08E+06,-1.0971402,0.27327,-4.014858,5.95E-05,1.84E-02,ENSG00000269028,MTRNR2L12
40,2.01E+03,-1.1363389,0.2901241,-3.916734,8.98E-05,2.55E-02,ENSG00000178567,EPM2AIP1
21,9.32E+02,-1.2088813,0.3106852,-3.891017,9.98E-05,2.78E-02,ENSG00000145908,ZNF300
8,7.08E+02,-1.357364,0.3324094,-4.08341,4.44E-05,1.47E-02,ENSG00000104343,UBE2W
46,1.60E+03,-1.3859907,0.304124,-4.557322,5.18E-06,3.20E-03,ENSG00000203880,PCMTD2
13,9.71E+02,-1.3982323,0.3389969,-4.124616,3.71E-05,1.35E-02,ENSG00000123066,MED13L
32,1.63E+03,-1.7165739,0.4147584,-4.138733,3.49E-05,1.31E-02,ENSG00000165699,TSC1
