,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
411,2.85E+02,39.8228059,6.3532598,6.26809,3.66E-10,1.69E-08,ENSG00000092054,MYH7
150,2.58E+03,14.9537846,2.1901523,6.827737,8.63E-12,5.17E-10,ENSG00000054598,FOXC1
3297,2.25E+03,14.6949219,1.4617161,10.053198,8.89E-24,2.05E-21,ENSG00000204619,PPP1R11
2995,1.26E+03,13.0452767,2.7444529,4.753325,2.00E-06,4.06E-05,ENSG00000187537,POTEG
3279,6.83E+02,12.8934415,1.4725346,8.755952,2.02E-18,2.65E-16,ENSG00000204498,NFKBIL1
3274,6.26E+02,12.8414598,1.4746302,8.708258,3.09E-18,3.94E-16,ENSG00000204439,C6orf47
3480,4.96E+02,12.769103,1.4917391,8.559877,1.13E-17,1.36E-15,ENSG00000241370,RPP21
3358,3.79E+02,11.8273301,3.4730982,3.405412,6.61E-04,5.31E-03,ENSG00000213588,ZBTB9
3266,2.83E+02,11.3535721,2.6777297,4.239999,2.24E-05,3.23E-04,ENSG00000204389,HSPA1A
1228,9.00E+01,11.1362275,3.2582377,3.417868,6.31E-04,5.14E-03,ENSG00000129170,CSRP3
1913,1.99E+02,11.1004211,1.5171123,7.316809,2.54E-13,1.86E-11,ENSG00000152939,MARVELD2
3294,4.68E+03,11.076421,3.0314825,3.653797,2.58E-04,2.50E-03,ENSG00000204592,HLA-E
2262,1.72E+02,10.6660997,1.5242813,6.997461,2.61E-12,1.65E-10,ENSG00000165646,SLC18A2
3476,1.88E+02,10.6203845,3.8840917,2.734329,6.25E-03,3.10E-02,ENSG00000241106,HLA-DOB
3413,4.41E+02,10.4099512,1.4742914,7.060986,1.65E-12,1.08E-10,ENSG00000221988,PPT2
2795,1.07E+02,10.2820623,1.5715582,6.542591,6.05E-11,3.12E-09,ENSG00000181649,PHLDA2
513,5.64E+02,10.1258384,1.5645848,6.471901,9.68E-11,4.78E-09,ENSG00000100983,GSS
2900,8.51E+01,10.0291251,1.6107595,6.226333,4.77E-10,2.17E-08,ENSG00000184788,SATL1
3149,1.14E+02,9.9801137,3.0599656,3.261512,1.11E-03,8.04E-03,ENSG00000197893,NRAP
2214,5.75E+01,9.555725,1.8463926,5.175348,2.27E-07,5.95E-06,ENSG00000164530,PI16
1828,8.91E+01,9.5334932,1.5997346,5.959422,2.53E-09,1.03E-07,ENSG00000148680,HTR7
1971,8.43E+01,9.4740387,1.6297821,5.813071,6.13E-09,2.31E-07,ENSG00000156150,ALX3
3259,2.74E+02,9.0189726,1.2343307,7.306772,2.74E-13,1.98E-11,ENSG00000204315,FKBPL
3010,1.17E+02,8.9325265,1.5097045,5.916738,3.28E-09,1.31E-07,ENSG00000187942,LDLRAD2
2197,2.51E+01,8.7494575,2.8495885,3.070428,2.14E-03,1.34E-02,ENSG00000164122,ASB5
603,3.14E+01,8.5245052,1.8889258,4.512885,6.40E-06,1.11E-04,ENSG00000104313,EYA1
1201,5.57E+01,8.4693619,1.8022541,4.699316,2.61E-06,5.05E-05,ENSG00000128052,KDR
3286,3.72E+01,8.3421295,1.8180789,4.588431,4.47E-06,8.11E-05,ENSG00000204542,C6orf15
3300,1.85E+03,8.3025587,0.4275626,19.418348,5.40E-84,7.36E-81,ENSG00000204642,HLA-F
455,2.23E+01,8.2900418,1.9376948,4.278301,1.88E-05,2.79E-04,ENSG00000099984,GSTT2
588,1.96E+03,8.2017769,2.7438947,2.9891,2.80E-03,1.66E-02,ENSG00000103512,NOMO1
2185,3.00E+01,8.15677,2.2313247,3.655573,2.57E-04,2.49E-03,ENSG00000163982,OTOP1
