ens_gene_id,symbol,chr,tagwise_dispersion,gene_type
ENSG00000001626,CFTR,7,1.078,cis
ENSG00000002745,WNT16,7,0.986,cis
ENSG00000002822,MAD1L1,7,0.119,cis
ENSG00000002933,TMEM176A,7,0.084,cis
ENSG00000004799,PDK4,7,0.084,cis
ENSG00000005020,SKAP2,7,0.117,cis
ENSG00000005421,PON1,7,0.224,cis
ENSG00000005471,ABCB4,7,0.61,cis
ENSG00000006377,DLX6,7,0.289,cis
ENSG00000006468,ETV1,7,0.534,cis
ENSG00000006530,AGK,7,1.491,cis
ENSG00000006747,SCIN,7,0.069,cis
ENSG00000008311,AASS,7,0.271,cis
ENSG00000013374,NUB1,7,0.269,cis
ENSG00000019991,HGF,7,0.657,cis
ENSG00000049540,ELN,7,0.079,cis
ENSG00000058404,CAMK2B,7,0.244,cis
ENSG00000064419,TNPO3,7,0.16,cis
ENSG00000070669,ASNS,7,0.085,cis
ENSG00000075213,SEMA3A,7,0.314,cis
ENSG00000075223,SEMA3C,7,0.071,cis
ENSG00000075618,FSCN1,7,0.06,cis
ENSG00000075624,ACTB,7,0.097,cis
ENSG00000077063,CTTNBP2,7,0.719,cis
ENSG00000078399,HOXA9,7,0.974,cis
ENSG00000078549,ADCYAP1R1,7,0.503,cis
ENSG00000085563,ABCB1,7,0.852,cis
ENSG00000086289,EPDR1,7,0.354,cis
ENSG00000086300,SNX10,7,0.165,cis
ENSG00000087085,ACHE,7,0.262,cis
ENSG00000087087,SRRT,7,0.53,cis
ENSG00000091128,LAMB4,7,0.22,cis
ENSG00000091129,NRCAM,7,0.575,cis
ENSG00000105784,RUNDC3B,7,0.141,cis
ENSG00000105821,DNAJC2,7,0.099,cis
ENSG00000105829,BET1,7,0.115,cis
ENSG00000105854,PON2,7,0.286,cis
ENSG00000105855,ITGB8,7,0.088,cis
ENSG00000105880,DLX5,7,0.516,cis
ENSG00000105894,PTN,7,0.192,cis
ENSG00000105928,GSDME,7,0.411,cis
ENSG00000105974,CAV1,7,0.192,cis
ENSG00000105996,HOXA2,7,0.742,cis
ENSG00000105997,HOXA3,7,0.381,cis
ENSG00000106004,HOXA5,7,0.428,cis
ENSG00000106006,HOXA6,7,0.327,cis
ENSG00000106034,CPED1,7,0.316,cis
ENSG00000106070,GRB10,7,0.073,cis
ENSG00000106077,ABHD11,7,0.064,cis
ENSG00000106113,CRHR2,7,0.148,cis
ENSG00000106123,EPHB6,7,0.24,cis
ENSG00000106211,HSPB1,7,0.065,cis
ENSG00000106236,NPTX2,7,1.269,cis
ENSG00000106258,CYP3A5,7,0.713,cis
ENSG00000106268,NUDT1,7,0.056,cis
ENSG00000106278,PTPRZ1,7,0.613,cis
ENSG00000106327,TFR2,7,0.13,cis
ENSG00000106400,ZNHIT1,7,0.061,cis
ENSG00000106483,SFRP4,7,0.315,cis
ENSG00000106484,MEST,7,0.215,cis
ENSG00000106511,MEOX2,7,0.997,cis
ENSG00000106536,POU6F2,7,0.366,cis
ENSG00000106537,TSPAN13,7,0.068,cis
ENSG00000106565,TMEM176B,7,0.067,cis
ENSG00000106571,GLI3,7,0.188,cis
ENSG00000106605,BLVRA,7,0.063,cis
ENSG00000106615,RHEB,7,0.053,cis
ENSG00000106624,AEBP1,7,1.048,cis
ENSG00000122550,KLHL7,7,0.12,cis
ENSG00000122592,HOXA7,7,0.752,cis
ENSG00000122641,INHBA,7,0.112,cis
ENSG00000122691,TWIST1,7,0.84,cis
ENSG00000122778,KIAA1549,7,0.164,cis
ENSG00000127399,LRRC61,7,0.145,cis
ENSG00000127412,TRPV5,7,0.388,cis
ENSG00000127914,AKAP9,7,0.109,cis
ENSG00000127928,GNGT1,7,0.291,cis
ENSG00000127951,FGL2,7,0.399,cis
ENSG00000127955,GNAI1,7,0.366,cis
ENSG00000127990,SGCE,7,0.951,cis
ENSG00000128536,CDHR3,7,0.651,cis
ENSG00000128564,VGF,7,0.102,cis
ENSG00000128567,PODXL,7,0.308,cis
ENSG00000128573,FOXP2,7,0.547,cis
ENSG00000128591,FLNC,7,0.249,cis
ENSG00000128596,CCDC136,7,0.225,cis
ENSG00000128606,LRRC17,7,0.565,cis
ENSG00000128617,OPN1SW,7,2.868,cis
ENSG00000130226,DPP6,7,0.349,cis
ENSG00000130305,NSUN5,7,0.111,cis
ENSG00000130429,ARPC1B,7,0.23,cis
ENSG00000130675,MNX1,7,0.099,cis
ENSG00000131558,EXOC4,7,0.05,cis
ENSG00000132437,DDC,7,0.154,cis
ENSG00000133561,GIMAP6,7,1.823,cis
ENSG00000135185,TMEM243,7,0.153,cis
ENSG00000135211,TMEM60,7,0.116,cis
ENSG00000135218,CD36,7,0.304,cis
ENSG00000136206,SPDYE1,7,0.891,cis
ENSG00000136231,IGF2BP3,7,0.28,cis
ENSG00000136238,RAC1,7,0.065,cis
ENSG00000143375,CGN,1,0.043,cis
ENSG00000143382,ADAMTSL4,1,0.115,cis
ENSG00000143401,ANP32E,1,1.104,cis
ENSG00000146574,CCZ1B,7,0.385,cis
ENSG00000146592,CREB5,7,0.26,cis
ENSG00000146674,IGFBP3,7,0.184,cis
ENSG00000146707,POMZP3,7,0.128,cis
ENSG00000146755,TRIM50,7,0.313,cis
ENSG00000146859,TMEM140,7,0.067,cis
ENSG00000146926,ASB10,7,0.722,cis
ENSG00000153956,CACNA2D1,7,1.143,cis
ENSG00000154415,PPP1R3A,7,0.31,cis
ENSG00000154710,RABGEF1,7,0.222,cis
ENSG00000154978,VOPP1,7,0.136,cis
ENSG00000154997,SEPTIN14,7,0.228,cis
ENSG00000155034,FBXL18,7,0.096,cis
ENSG00000155093,PTPRN2,7,0.645,cis
ENSG00000155660,PDIA4,7,0.586,cis
ENSG00000158516,CPA2,7,0.182,cis
ENSG00000159763,PIP,7,0.186,cis
ENSG00000160813,PPP1R35,7,0.093,cis
ENSG00000160862,AZGP1,7,0.048,cis
ENSG00000160963,COL26A1,7,0.198,cis
ENSG00000161048,NAPEPLD,7,0.156,cis
ENSG00000162836,ACP6,1,0.101,cis
ENSG00000163154,TNFAIP8L2,1,0.557,cis
ENSG00000163157,TMOD4,1,0.212,cis
ENSG00000164532,TBX20,7,0.293,cis
ENSG00000164597,COG5,7,2.09,cis
ENSG00000164604,GPR85,7,0.276,cis
ENSG00000164610,RP9,7,0.14,cis
ENSG00000164659,ELAPOR2,7,0.089,cis
ENSG00000164690,SHH,7,0.485,cis
ENSG00000164692,COL1A2,7,1.002,cis
ENSG00000164708,PGAM2,7,0.297,cis
ENSG00000164713,BRI3,7,0.056,cis
ENSG00000164778,EN2,7,0.094,cis
ENSG00000164849,GPR146,7,0.177,cis
ENSG00000164885,CDK5,7,0.081,cis
ENSG00000164897,TMUB1,7,0.119,cis
ENSG00000164898,FMC1,7,0.089,cis
ENSG00000165171,METTL27,7,0.103,cis
ENSG00000165215,CLDN3,7,0.144,cis
ENSG00000166924,NYAP1,7,0.218,cis
ENSG00000168090,COPS6,7,0.043,cis
ENSG00000169402,RSPH10B2,7,0.418,cis
ENSG00000169871,TRIM56,7,0.181,cis
ENSG00000169894,MUC3A,7,1.41,cis
ENSG00000169902,TPST1,7,0.483,cis
ENSG00000170265,ZNF282,7,1.6,cis
ENSG00000170381,SEMA3E,7,2.708,cis
ENSG00000170632,ARMC10,7,0.074,cis
ENSG00000170807,LMOD2,7,0.204,cis
ENSG00000172354,GNB2,7,0.09,cis
ENSG00000173114,LRRN3,7,0.47,cis
ENSG00000174697,LEP,7,0.206,cis
ENSG00000175877,TMEM270,7,0.268,cis
ENSG00000176125,UFSP1,7,0.172,cis
ENSG00000178826,TMEM139,7,0.048,cis
ENSG00000180535,BHLHA15,7,0.144,cis
ENSG00000181444,ZNF467,7,0.093,cis
ENSG00000181652,ATG9B,7,1.133,cis
ENSG00000184260,H2AC20,1,0.139,cis
ENSG00000184270,H2AC21,1,0.709,cis
ENSG00000184408,KCND2,7,0.167,cis
ENSG00000185055,EFCAB10,7,0.201,cis
ENSG00000185177,ZNF479,7,3.322,cis
ENSG00000185467,KPNA7,7,0.305,cis
ENSG00000185955,SPACDR,7,0.28,cis
ENSG00000187257,RSBN1L,7,0.089,cis
ENSG00000187260,WDR86,7,0.284,cis
ENSG00000188037,CLCN1,7,0.302,cis
ENSG00000188763,FZD9,7,0.158,cis
ENSG00000189056,RELN,7,0.815,cis
ENSG00000189320,FAM180A,7,0.421,cis
ENSG00000196262,PPIA,7,0.056,cis
ENSG00000196511,TPK1,7,0.154,cis
ENSG00000196715,VKORC1L1,7,0.85,cis
ENSG00000197024,ZNF398,7,0.243,cis
ENSG00000197123,ZNF679,7,1.54,cis
ENSG00000197461,PDGFA,7,0.069,cis
ENSG00000197993,KEL,7,1.096,cis
ENSG00000198074,AKR1B10,7,0.231,cis
ENSG00000198420,TCAF1,7,0.058,cis
ENSG00000203812,,,0.421,cis
ENSG00000203814,H2BC18,1,0.289,cis
ENSG00000205085,GARIN1A,7,1.629,cis
ENSG00000213413,PVRIG,7,0.441,cis
ENSG00000214102,WEE2,7,0.282,cis
ENSG00000214128,TMEM213,7,0.062,cis
ENSG00000214194,SMIM30,7,0.068,cis
ENSG00000214309,MBLAC1,7,0.153,cis
ENSG00000215018,COL28A1,7,0.134,cis
ENSG00000221836,OR2A5,7,1.308,cis
ENSG00000221933,OR2A25,7,2.195,cis
ENSG00000221970,OR2A1,7,0.96,cis
ENSG00000225556,C2CD4D,1,0.179,cis
ENSG00000227471,AKR1B15,7,0.089,cis
ENSG00000234545,FAM133B,7,0.148,cis
ENSG00000235631,RNF148,7,0.155,cis
ENSG00000236334,PPIAL4G,1,0.309,cis
ENSG00000240204,SMKR1,7,0.155,cis
ENSG00000240583,AQP1,7,0.125,cis
ENSG00000241258,CRCP,7,0.197,cis
ENSG00000241644,INMT,7,0.299,cis
ENSG00000248919,ATP5MF-PTCD1,7,0.114,cis
ENSG00000253293,HOXA10,7,0.326,cis
ENSG00000257743,MGAM2,7,0.152,cis
ENSG00000261115,TMEM178B,7,0.11,cis
ENSG00000263001,GTF2I,7,1.854,cis
ENSG00000264522,OTUD7B,1,0.63,cis
ENSG00000267645,"",7,2.414,cis
ENSG00000269955,FMC1-LUC7L2,7,0.224,cis
ENSG00000270617,URGCP-MRPS24,7,1.621,cis
ENSG00000271321,CTAGE6,7,0.341,cis
ENSG00000272391,POM121C,7,1.031,cis
ENSG00000272968,RBAK-RBAKDN,7,0.253,cis
