ens_gene_id,symbol,chr,tagwise_dispersion,gene_type
ENSG00000002746,HECW1,7,0.488,cis
ENSG00000005073,HOXA11,7,0.227,cis
ENSG00000005981,ASB4,7,0.41,cis
ENSG00000006377,DLX6,7,0.322,cis
ENSG00000048052,HDAC9,7,0.14,cis
ENSG00000048740,CELF2,10,0.356,cis
ENSG00000058091,CDK14,7,0.178,cis
ENSG00000065328,MCM10,10,0.111,cis
ENSG00000070669,ASNS,7,0.095,cis
ENSG00000075213,SEMA3A,7,0.339,cis
ENSG00000075223,SEMA3C,7,0.112,cis
ENSG00000075790,BCAP29,7,0.317,cis
ENSG00000079215,SLC1A3,5,0.193,cis
ENSG00000083720,OXCT1,5,0.109,cis
ENSG00000091136,LAMB1,7,0.114,cis
ENSG00000106113,CRHR2,7,0.263,cis
ENSG00000106484,MEST,7,0.264,cis
ENSG00000112964,GHR,5,0.103,cis
ENSG00000113389,NPR3,5,0.147,cis
ENSG00000113430,IRX4,5,0.264,cis
ENSG00000113494,PRLR,5,1.26,cis
ENSG00000120563,LYZL1,10,0.464,cis
ENSG00000128536,CDHR3,7,0.55,cis
ENSG00000128564,VGF,7,0.113,cis
ENSG00000128578,STRIP2,7,0.23,cis
ENSG00000130675,MNX1,7,0.166,cis
ENSG00000135218,CD36,7,0.299,cis
ENSG00000136206,SPDYE1,7,0.622,cis
ENSG00000146733,PSPH,7,0.109,cis
ENSG00000146859,TMEM140,7,0.158,cis
ENSG00000150051,MKX,10,0.329,cis
ENSG00000151388,ADAMTS12,5,0.14,cis
ENSG00000153956,CACNA2D1,7,0.778,cis
ENSG00000155428,TRIM74,7,0.857,cis
ENSG00000157927,RADIL,7,0.309,cis
ENSG00000158516,CPA2,7,0.225,cis
ENSG00000160999,SH2B2,7,0.225,cis
ENSG00000164362,TERT,5,0.431,cis
ENSG00000164619,BMPER,7,0.535,cis
ENSG00000164651,SP8,7,0.447,cis
ENSG00000165171,METTL27,7,0.121,cis
ENSG00000166448,TMEM130,7,0.112,cis
ENSG00000167011,NAT16,7,0.352,cis
ENSG00000168621,GDNF,5,0.331,cis
ENSG00000170381,SEMA3E,7,1.823,cis
ENSG00000170561,IRX2,5,0.153,cis
ENSG00000170775,GPR37,7,0.149,cis
ENSG00000170807,LMOD2,7,0.657,cis
ENSG00000175877,TMEM270,7,0.244,cis
ENSG00000180347,ITPRID1,7,0.211,cis
ENSG00000184270,H2AC21,1,0.572,cis
ENSG00000184408,KCND2,7,0.248,cis
ENSG00000188883,KLRG2,7,0.151,cis
ENSG00000189056,RELN,7,0.64,cis
ENSG00000196139,AKR1C3,10,0.193,cis
ENSG00000197993,KEL,7,0.697,cis
ENSG00000198879,SFMBT2,10,0.169,cis
ENSG00000204682,MIR1915HG,10,0.152,cis
ENSG00000205413,SAMD9,7,0.172,cis
ENSG00000213203,GIMAP1,7,0.235,cis
ENSG00000224940,PRRT4,7,0.25,cis
ENSG00000240204,SMKR1,7,0.152,cis
ENSG00000253293,HOXA10,7,0.281,cis
ENSG00000257335,MGAM,7,0.529,cis
ENSG00000261115,TMEM178B,7,0.287,cis
ENSG00000269897,COMMD3-BMI1,10,0.353,cis
ENSG00000270672,,,0.645,cis
ENSG00000272391,POM121C,7,0.921,cis
