ens_gene_id,symbol,chr,gene_type,tagwise_dispersion
ENSG00000000003,TSPAN6,X,trans_whole_genome,0.095
ENSG00000000419,DPM1,20,trans_whole_genome,0.09
ENSG00000000457,SCYL3,1,trans_whole_genome,0.108
ENSG00000000460,C1orf112,1,trans_whole_genome,0.112
ENSG00000000938,FGR,1,trans,0.455
ENSG00000001036,FUCA2,6,trans_whole_genome,0.088
ENSG00000001084,GCLC,6,trans_whole_genome,0.167
ENSG00000001167,NFYA,6,trans_whole_genome,0.108
ENSG00000001460,STPG1,1,trans_whole_genome,0.137
ENSG00000001461,NIPAL3,1,trans_whole_genome,0.119
ENSG00000001497,LAS1L,X,trans_whole_genome,0.094
ENSG00000001561,ENPP4,6,trans_whole_genome,0.127
ENSG00000001617,SEMA3F,3,trans_whole_genome,0.1
ENSG00000001629,ANKIB1,7,trans_whole_genome,0.095
ENSG00000001630,CYP51A1,7,trans_whole_genome,0.103
ENSG00000001631,KRIT1,7,trans_whole_genome,0.108
ENSG00000002016,RAD52,12,trans_whole_genome,0.157
ENSG00000002330,BAD,11,trans_whole_genome,0.114
ENSG00000002549,LAP3,4,trans_whole_genome,0.097
ENSG00000002586,CD99,X,trans_whole_genome,0.141
ENSG00000002587,HS3ST1,4,trans_whole_genome,0.23
ENSG00000002726,AOC1,7,trans_whole_genome,0.257
ENSG00000002746,HECW1,7,cis,0.442
ENSG00000002822,MAD1L1,7,trans_whole_genome,0.126
ENSG00000002834,LASP1,17,trans_whole_genome,0.116
ENSG00000002919,SNX11,17,trans_whole_genome,0.108
ENSG00000002933,TMEM176A,7,trans_whole_genome,0.411
ENSG00000003056,M6PR,12,trans_whole_genome,0.098
ENSG00000003096,KLHL13,X,trans,0.302
ENSG00000003137,CYP26B1,2,trans_whole_genome,0.234
ENSG00000003147,ICA1,7,trans_whole_genome,0.091
ENSG00000003249,DBNDD1,16,trans_whole_genome,0.105
ENSG00000003393,ALS2,2,trans_whole_genome,0.122
ENSG00000003400,CASP10,2,trans_whole_genome,0.281
ENSG00000003402,CFLAR,2,trans_whole_genome,0.124
ENSG00000003436,TFPI,2,trans_whole_genome,0.445
ENSG00000003509,NDUFAF7,2,trans_whole_genome,0.117
ENSG00000003756,RBM5,3,trans_whole_genome,0.122
ENSG00000003987,MTMR7,8,trans_whole_genome,0.237
ENSG00000003989,SLC7A2,8,trans_whole_genome,0.182
ENSG00000004059,ARF5,7,trans_whole_genome,0.1
ENSG00000004139,SARM1,17,trans_whole_genome,0.331
ENSG00000004142,POLDIP2,17,trans_whole_genome,0.094
ENSG00000004399,PLXND1,3,trans_whole_genome,0.115
ENSG00000004455,AK2,1,trans_whole_genome,0.1
ENSG00000004468,CD38,4,trans_whole_genome,0.291
ENSG00000004478,FKBP4,12,trans_whole_genome,0.089
ENSG00000004487,KDM1A,1,trans_whole_genome,0.107
ENSG00000004534,RBM6,3,trans_whole_genome,0.153
ENSG00000004660,CAMKK1,17,trans_whole_genome,0.126
ENSG00000004700,RECQL,12,trans_whole_genome,0.102
ENSG00000004766,VPS50,7,trans_whole_genome,0.117
ENSG00000004776,HSPB6,19,trans,0.256
ENSG00000004777,ARHGAP33,19,trans_whole_genome,0.19
ENSG00000004779,NDUFAB1,16,trans_whole_genome,0.089
ENSG00000004799,PDK4,7,trans_whole_genome,0.139
ENSG00000004809,SLC22A16,6,trans_whole_genome,0.313
ENSG00000004838,ZMYND10,3,trans_whole_genome,0.249
ENSG00000004846,ABCB5,7,trans_whole_genome,0.19
ENSG00000004864,SLC25A13,7,trans_whole_genome,0.105
ENSG00000004866,ST7,7,trans_whole_genome,0.108
ENSG00000004897,CDC27,17,trans_whole_genome,0.1
ENSG00000004939,SLC4A1,17,trans_whole_genome,0.279
ENSG00000004961,HCCS,X,trans_whole_genome,0.094
ENSG00000004975,DVL2,17,trans_whole_genome,0.114
ENSG00000005001,PRSS22,16,trans_whole_genome,0.129
ENSG00000005007,UPF1,19,trans_whole_genome,0.108
ENSG00000005020,SKAP2,7,trans_whole_genome,0.157
ENSG00000005022,SLC25A5,X,trans_whole_genome,0.094
ENSG00000005059,MCUB,4,trans,0.095
ENSG00000005073,HOXA11,7,cis,0.218
ENSG00000005075,POLR2J,7,trans_whole_genome,0.093
ENSG00000005100,DHX33,17,trans_whole_genome,0.129
ENSG00000005108,THSD7A,7,trans_whole_genome,0.319
ENSG00000005156,LIG3,17,trans_whole_genome,0.13
ENSG00000005175,RPAP3,12,trans_whole_genome,0.109
ENSG00000005187,ACSM3,16,trans_whole_genome,0.212
ENSG00000005189,REXO5,16,trans_whole_genome,0.123
ENSG00000005194,CIAPIN1,16,trans_whole_genome,0.096
ENSG00000005238,FAM214B,9,trans_whole_genome,0.123
ENSG00000005243,COPZ2,17,trans,0.247
ENSG00000005249,PRKAR2B,7,trans_whole_genome,0.242
ENSG00000005302,MSL3,X,trans_whole_genome,0.266
