"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","g_ID","Gene.name"
"1","  2209.64543"," -0.6876426","0.1996082"," -3.444961"," 5.711423e-04"," 7.902331e-03","ENSG00000000419","DPM1"
"2","  1707.80466"," -0.6365129","0.1865236"," -3.412505"," 6.436863e-04"," 8.643033e-03","ENSG00000000460","C1orf112"
"3","  3726.52285"," -0.6794415","0.1789133"," -3.797603"," 1.461023e-04"," 2.680944e-03","ENSG00000001561","ENPP4"
"4","  2736.05443","  0.7175123","0.2153800","  3.331378"," 8.641712e-04"," 1.086387e-02","ENSG00000002822","MAD1L1"
"5","   156.14031","  2.9066048","0.4091124","  7.104661"," 1.206178e-12"," 1.701959e-10","ENSG00000004776","HSPB6"
"6","   361.15971","  0.9454330","0.3433203","  2.753793"," 5.890900e-03"," 4.682965e-02","ENSG00000005243","COPZ2"
"7","    70.92239","  1.8246113","0.5064839","  3.602506"," 3.151643e-04"," 4.979352e-03","ENSG00000005471","ABCB4"
"8","  1954.58992","  0.8209826","0.1935204","  4.242358"," 2.211839e-05"," 5.877172e-04","ENSG00000005513","SOX8"
"9","  2315.60231"," -0.5577920","0.1872421"," -2.978988"," 2.892024e-03"," 2.729910e-02","ENSG00000005812","FBXL3"
"10","   516.17033","  2.0175494","0.3660095","  5.512287"," 3.542013e-08"," 2.309788e-06","ENSG00000006016","CRLF1"
"11","  1694.32688"," -0.7996070","0.2123062"," -3.766291"," 1.656909e-04"," 2.944657e-03","ENSG00000006634","DBF4"
"12","  5521.12870"," -0.4854623","0.1720776"," -2.821183"," 4.784690e-03"," 4.003876e-02","ENSG00000006652","IFRD1"
"13","   686.20052"," -0.6228251","0.2229288"," -2.793830"," 5.208788e-03"," 4.283410e-02","ENSG00000006747","SCIN"
"14","   815.57547","  9.1540345","1.4655904","  6.245970"," 4.211767e-10"," 4.128036e-08","ENSG00000006788","MYH13"
"15"," 39682.32871"," -1.1235984","0.2188589"," -5.133893"," 2.838090e-07"," 1.403440e-05","ENSG00000007062","PROM1"
"16","    53.62585","  4.3012940","1.0475314","  4.106124"," 4.023532e-05"," 9.475852e-04","ENSG00000008056","SYN1"
"17","   728.94257","  1.6800642","0.3391707","  4.953448"," 7.290985e-07"," 3.208033e-05","ENSG00000008196","TFAP2B"
"18","  1029.05895","  1.3786872","0.2296427","  6.003618"," 1.929683e-09"," 1.735442e-07","ENSG00000008517","IL32"
"19"," 59490.38035"," -0.8028063","0.2273876"," -3.530564"," 4.146752e-04"," 6.159168e-03","ENSG00000008988","RPS20"
