,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
11,1.43E+03,32.857874,5.1393934,6.393337,1.62E-10,8.07E-07,ENSG00000159251,ACTC1
18,2.74E+02,10.065607,2.1923013,4.591343,4.40E-06,5.05E-03,ENSG00000204315,FKBPL
13,1.67E+02,9.711968,2.3691628,4.099325,4.14E-05,2.81E-02,ENSG00000183793,NPIPA5
3,2.03E+02,5.184684,0.7929765,6.538257,6.22E-11,4.64E-07,ENSG00000111335,OAS2
5,5.40E+02,4.189406,0.7630959,5.490013,4.02E-08,1.12E-04,ENSG00000126709,IFI6
6,5.35E+01,4.075151,0.8814409,4.623284,3.78E-06,4.70E-03,ENSG00000133106,EPSTI1
1,1.93E+02,3.308853,0.6269886,5.277374,1.31E-07,2.44E-04,ENSG00000078081,LAMP3
14,3.61E+02,3.130696,0.7371986,4.246747,2.17E-05,1.73E-02,ENSG00000185745,IFIT1
8,4.17E+02,3.021398,0.593774,5.088464,3.61E-07,5.39E-04,ENSG00000137959,IFI44L
19,1.23E+03,2.571745,0.5043028,5.099605,3.40E-07,5.39E-04,ENSG00000204427,ABHD16A
16,1.18E+02,2.402792,0.5878791,4.087222,4.37E-05,2.83E-02,ENSG00000198959,TGM2
10,2.75E+03,1.713112,0.3213256,5.331392,9.75E-08,2.08E-04,ENSG00000157601,MX1
4,3.99E+02,1.604103,0.3790901,4.231458,2.32E-05,1.73E-02,ENSG00000119922,IFIT2
22,3.62E+04,1.452845,0.31807,4.567689,4.93E-06,5.25E-03,ENSG00000270672,MTRNR2L6
2,1.18E+03,1.425901,0.2598245,5.487941,4.07E-08,1.12E-04,ENSG00000111331,OAS3
9,1.01E+04,1.357176,0.314945,4.309249,1.64E-05,1.44E-02,ENSG00000142089,IFITM3
21,1.08E+06,1.279285,0.3155477,4.054174,5.03E-05,3.13E-02,ENSG00000269028,MTRNR2L12
7,6.37E+03,-2.085743,0.3813063,-5.469993,4.50E-08,1.12E-04,ENSG00000136167,LCP1
12,5.73E+02,-2.799377,0.6829552,-4.098917,4.15E-05,2.81E-02,ENSG00000167754,KLK5
17,2.94E+02,-4.065504,0.9230867,-4.40425,1.06E-05,1.06E-02,ENSG00000204228,HSD17B8
15,4.91E+02,-6.596401,0.9985474,-6.605997,3.95E-11,4.64E-07,ENSG00000198825,INPP5F
20,2.25E+03,-8.752623,2.064127,-4.240351,2.23E-05,1.73E-02,ENSG00000204619,PPP1R11
