,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
3762,2.04E+02,48.5844432,4.2764572,11.360909,6.55E-30,1.76E-27,ENSG00000196091,MYBPC1
2530,5.83E+02,48.1394474,4.7383114,10.159621,3.00E-24,5.22E-22,ENSG00000160808,MYL3
2478,1.43E+03,44.3267283,4.278172,10.361138,3.73E-25,6.99E-23,ENSG00000159251,ACTC1
1646,2.92E+02,41.8936478,4.7719472,8.779151,1.65E-18,1.81E-16,ENSG00000133020,MYH8
564,1.79E+02,41.0051288,4.9376978,8.304504,1.00E-16,8.81E-15,ENSG00000100362,PVALB
2912,4.07E+02,39.1151726,4.8740427,8.025201,1.01E-15,7.80E-14,ENSG00000168530,MYL1
1359,6.80E+02,38.5331735,4.9744343,7.746242,9.47E-15,6.56E-13,ENSG00000125414,MYH2
4362,1.42E+03,37.9588962,4.9071916,7.735361,1.03E-14,7.12E-13,ENSG00000264424,MYH4
908,1.82E+03,36.9125131,4.8944158,7.541761,4.64E-14,2.96E-12,ENSG00000109061,MYH1
480,2.85E+02,36.2955105,6.1799484,5.873109,4.28E-09,1.25E-07,ENSG00000092054,MYH7
1315,8.34E+00,26.2361877,8.0757844,3.248748,1.16E-03,6.79E-03,ENSG00000123454,DBH
3856,2.69E+02,24.963269,4.0666297,6.138565,8.33E-10,2.78E-08,ENSG00000197616,MYH6
2445,7.33E+01,23.8705983,4.6020565,5.186942,2.14E-07,4.28E-06,ENSG00000158022,TRIM63
3654,1.31E+02,23.8278511,3.7592913,6.338389,2.32E-10,8.46E-09,ENSG00000186439,TRDN
1626,2.15E+01,22.7404908,8.0754903,2.815989,4.86E-03,2.17E-02,ENSG00000132639,SNAP25
4003,9.11E+03,16.9140015,3.7043379,4.565999,4.97E-06,6.61E-05,ENSG00000204388,HSPA1B
4037,4.68E+03,15.9868983,3.4807381,4.592962,4.37E-06,5.88E-05,ENSG00000204592,HLA-E
4256,4.96E+02,13.2415972,2.0712965,6.392903,1.63E-10,6.11E-09,ENSG00000241370,RPP21
4021,6.83E+02,13.1599747,2.059061,6.39125,1.65E-10,6.16E-09,ENSG00000204498,NFKBIL1
4310,5.10E+02,13.120939,3.8733634,3.387479,7.05E-04,4.50E-03,ENSG00000253958,CLDN23
4016,6.26E+02,13.0462472,2.0603938,6.331919,2.42E-10,8.76E-09,ENSG00000204439,C6orf47
2541,6.76E+02,12.8585018,2.4124641,5.330028,9.82E-08,2.11E-06,ENSG00000161021,MAML1
3997,5.23E+02,12.8207414,3.1171054,4.113028,3.91E-05,3.82E-04,ENSG00000204366,ZBTB12
4115,3.79E+02,12.3378727,3.6102558,3.417451,6.32E-04,4.12E-03,ENSG00000213588,ZBTB9
3397,4.83E+02,12.0773521,2.6064852,4.633578,3.59E-06,4.95E-05,ENSG00000179941,BBS10
1198,2.72E+02,11.920705,3.8680777,3.081816,2.06E-03,1.09E-02,ENSG00000118655,DCLRE1B
4004,2.83E+02,11.9053522,2.9470483,4.039755,5.35E-05,4.99E-04,ENSG00000204389,HSPA1A
3991,2.74E+02,11.7750902,2.1412198,5.499244,3.81E-08,9.01E-07,ENSG00000204315,FKBPL
2995,2.68E+02,11.5543128,2.2208056,5.202757,1.96E-07,3.95E-06,ENSG00000170381,SEMA3E
2321,1.99E+02,11.4210521,2.0874429,5.471312,4.47E-08,1.04E-06,ENSG00000152939,MARVELD2
42,1.94E+02,11.3562662,3.938281,2.883559,3.93E-03,1.83E-02,ENSG00000006788,MYH13
632,7.49E+02,11.2962822,3.1850965,3.546606,3.90E-04,2.72E-03,ENSG00000101470,TNNC2
2753,1.72E+02,11.1478555,2.0919601,5.328905,9.88E-08,2.12E-06,ENSG00000165646,SLC18A2
4253,1.88E+02,11.0280927,3.9649523,2.781394,5.41E-03,2.36E-02,ENSG00000241106,HLA-DOB
3445,1.07E+02,11.0130852,2.1226629,5.188334,2.12E-07,4.26E-06,ENSG00000181649,PHLDA2
3746,1.73E+02,10.588108,2.927826,3.616372,2.99E-04,2.15E-03,ENSG00000188931,CFAP126
601,5.64E+02,10.5654836,1.8253183,5.788297,7.11E-09,1.96E-07,ENSG00000100983,GSS
369,8.50E+01,10.5185977,3.3119297,3.175972,1.49E-03,8.39E-03,ENSG00000081248,CACNA1S
4327,1.37E+02,10.4748733,2.138001,4.899377,9.61E-07,1.60E-05,ENSG00000256453,DND1
3532,1.67E+02,10.4212825,2.2630964,4.604878,4.13E-06,5.60E-05,ENSG00000183793,NPIPA5
3696,1.26E+03,10.0907534,2.3245237,4.340998,1.42E-05,1.63E-04,ENSG00000187537,POTEG
3574,8.51E+01,10.0571729,2.1487215,4.680538,2.86E-06,4.03E-05,ENSG00000184788,SATL1
4182,4.41E+02,9.988873,1.486251,6.720852,1.81E-11,8.07E-10,ENSG00000221988,PPT2
1157,4.88E+01,9.8816468,3.6554969,2.703229,6.87E-03,2.85E-02,ENSG00000116748,AMPD1
4376,4.37E+02,9.857361,1.1047047,8.923073,4.54E-19,5.30E-17,ENSG00000271043,MTRNR2L2
2390,8.43E+01,9.750169,2.1611133,4.511642,6.43E-06,8.22E-05,ENSG00000156150,ALX3
2228,8.91E+01,9.7337886,2.1411275,4.546104,5.46E-06,7.17E-05,ENSG00000148680,HTR7
4176,5.27E+01,9.523669,2.1568212,4.415604,1.01E-05,1.21E-04,ENSG00000221883,ARIH2OS
3524,3.17E+01,9.3559022,2.6704929,3.503437,4.59E-04,3.11E-03,ENSG00000183691,NOG
2062,2.91E+03,9.3291713,2.5074337,3.720605,1.99E-04,1.52E-03,ENSG00000143632,ACTA1
1546,6.65E+02,9.2832664,2.622485,3.539874,4.00E-04,2.78E-03,ENSG00000130598,TNNI2
2679,2.51E+01,9.2272453,3.0861814,2.989858,2.79E-03,1.39E-02,ENSG00000164122,ASB5
581,2.22E+01,9.0762604,3.061541,2.964605,3.03E-03,1.49E-02,ENSG00000100628,ASB2
4027,5.17E+01,9.0700137,3.1733058,2.858222,4.26E-03,1.95E-02,ENSG00000204539,CDSN
3904,2.19E+01,9.0045341,2.9816667,3.019967,2.53E-03,1.29E-02,ENSG00000198336,MYL4
1529,2.33E+01,8.9976651,2.3622024,3.809015,1.40E-04,1.13E-03,ENSG00000130383,FUT5
4238,3.82E+01,8.960118,2.3303783,3.84492,1.21E-04,9.99E-04,ENSG00000236761,CTAGE9
2698,7.41E+02,8.8477925,0.7860754,11.255654,2.17E-29,5.58E-27,ENSG00000164597,COG5
2742,1.46E+01,8.8247094,2.9398147,3.001791,2.68E-03,1.35E-02,ENSG00000165462,PHOX2A
3018,5.39E+01,8.812854,2.334387,3.775233,1.60E-04,1.26E-03,ENSG00000170909,OSCAR
1492,9.00E+01,8.8007795,3.1091575,2.830599,4.65E-03,2.08E-02,ENSG00000129170,CSRP3
4343,1.58E+02,8.7364896,1.5385631,5.678343,1.36E-08,3.51E-07,ENSG00000258873,DUXA
4316,4.30E+01,8.6466652,2.5178845,3.434099,5.95E-04,3.91E-03,ENSG00000254852,NPIPA2
3979,2.00E+03,8.6355181,1.4144863,6.105056,1.03E-09,3.34E-08,ENSG00000204262,COL5A2
3625,3.20E+01,8.6237837,2.2257261,3.874593,1.07E-04,9.01E-04,ENSG00000185774,KCNIP4
530,2.23E+01,8.6051988,2.3754,3.622632,2.92E-04,2.11E-03,ENSG00000099984,GSTT2
1681,2.37E+01,8.5471871,2.4666007,3.465169,5.30E-04,3.53E-03,ENSG00000134184,GSTM1
4168,1.99E+01,8.485697,2.7604465,3.074031,2.11E-03,1.12E-02,ENSG00000218336,TENM3
100,7.70E+02,8.4555431,2.0284533,4.168468,3.07E-05,3.14E-04,ENSG00000022267,FHL1
3215,2.29E+03,8.4485063,2.334651,3.618745,2.96E-04,2.14E-03,ENSG00000175084,DES
2634,1.71E+01,8.4340231,2.8228314,2.987788,2.81E-03,1.40E-02,ENSG00000163554,SPTA1
696,1.96E+03,8.3651633,2.5967124,3.221444,1.28E-03,7.34E-03,ENSG00000103512,NOMO1
