,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1967,132.08246,-23.3055189,4.7851891,-4.870344,1.11E-06,4.69E-05,ENSG00000270181,BIVM-ERCC5
1722,14.68526,-5.9832593,1.7481644,-3.422595,6.20E-04,8.41E-03,ENSG00000186910,SERPINA11
1734,15.03411,-4.9871471,1.4625364,-3.40993,6.50E-04,8.70E-03,ENSG00000187772,LIN28B
1905,40.96946,-4.8609664,0.931495,-5.218457,1.80E-07,9.53E-06,ENSG00000221874,ZNF816-ZNF321P
1402,16.01157,-4.0429877,1.2455068,-3.246058,1.17E-03,1.37E-02,ENSG00000165953,SERPINA12
958,19.27093,-3.9965108,1.0921534,-3.659294,2.53E-04,4.18E-03,ENSG00000138944,SHISAL1
1599,261.41295,-3.5815244,0.390804,-9.164503,4.98E-20,1.45E-17,ENSG00000177335,C8orf31
1198,285.09894,-3.513057,0.3862292,-9.095783,9.39E-20,2.61E-17,ENSG00000155897,ADCY8
1351,33.41663,-3.1286958,0.7516747,-4.1623,3.15E-05,7.83E-04,ENSG00000164484,TMEM200A
1270,91.17085,-3.0765092,0.5675317,-5.420859,5.93E-08,3.62E-06,ENSG00000162551,ALPL
1503,866.2652,-2.948507,0.2871033,-10.269846,9.64E-25,3.85E-22,ENSG00000170381,SEMA3E
98,266.35477,-2.8688744,0.3267638,-8.779657,1.64E-18,4.19E-16,ENSG00000060982,BCAT1
835,199.27201,-2.8205793,0.3370269,-8.369005,5.81E-17,1.22E-14,ENSG00000134827,TCN1
302,565.00852,-2.6982968,0.2404351,-11.222559,3.16E-29,1.92E-26,ENSG00000101670,LIPG
395,49.24407,-2.6502162,0.871084,-3.042435,2.35E-03,2.32E-02,ENSG00000107159,CA9
1873,122.11115,-2.5816897,0.4525838,-5.704335,1.17E-08,8.80E-07,ENSG00000205403,CFI
224,129.86326,-2.5645976,0.3892045,-6.589332,4.42E-11,5.06E-09,ENSG00000088320,REM1
1143,1586.43343,-2.5400215,0.2355416,-10.783748,4.11E-27,1.82E-24,ENSG00000151967,SCHIP1
339,20.26774,-2.5324148,0.9096392,-2.783977,5.37E-03,4.37E-02,ENSG00000104371,DKK4
924,25.28879,-2.4566998,0.8469324,-2.900703,3.72E-03,3.33E-02,ENSG00000137975,CLCA2
1038,371.97447,-2.4408469,0.2785388,-8.763041,1.90E-18,4.71E-16,ENSG00000144119,C1QL2
1829,168.61706,-2.4072393,0.4309717,-5.585608,2.33E-08,1.63E-06,ENSG00000198743,SLC5A3
1878,307.97789,-2.3317062,0.3209838,-7.264249,3.75E-13,5.58E-11,ENSG00000206432,TMEM200C
897,185.95071,-2.3012932,0.4137576,-5.561936,2.67E-08,1.82E-06,ENSG00000137273,FOXF2
338,121.38834,-2.2799998,0.5382831,-4.235689,2.28E-05,6.01E-04,ENSG00000104368,PLAT
1659,42.87329,-2.2735722,0.6315862,-3.599782,3.18E-04,5.02E-03,ENSG00000182585,EPGN
295,166.34631,-2.2444194,0.4694261,-4.781198,1.74E-06,6.89E-05,ENSG00000101439,CST3
1675,99.79773,-2.2226332,0.4273014,-5.201559,1.98E-07,1.03E-05,ENSG00000183798,EMILIN3
910,1251.06036,-2.20707,0.2122561,-10.398145,2.53E-25,1.03E-22,ENSG00000137673,MMP7
