SA919X7XB05402,SA919X7XB05378,SA919X7XB05604,ens_gene_id
1,7,1,ENSG00000124564
1083,573,875,ENSG00000178573
8,1,7,ENSG00000203857
853,700,832,ENSG00000204599
1682,1888,1888,ENSG00000105705
1580,2056,2313,ENSG00000155115
30,17,12,ENSG00000196337
487,463,450,ENSG00000176148
4057,2982,4292,ENSG00000139514
172,117,185,ENSG00000146411
31,15,7,ENSG00000138115
7,11,9,ENSG00000128383
2023,1621,1691,ENSG00000139324
28,11,17,ENSG00000273049
1741,2073,2187,ENSG00000135972
779,554,942,ENSG00000145623
152,126,184,ENSG00000157399
1,1,2,ENSG00000080618
66,96,166,ENSG00000162614
753,732,737,ENSG00000184056
2303,2632,2310,ENSG00000162300
3628,4550,5642,ENSG00000183684
1196,643,1071,ENSG00000205726
1,0,0,ENSG00000185974
990,681,702,ENSG00000223547
1685,1791,2143,ENSG00000121851
202,140,237,ENSG00000214212
87,39,64,ENSG00000102057
1714,2005,1640,ENSG00000025156
760,448,678,ENSG00000059728
1109,865,843,ENSG00000188811
0,0,0,ENSG00000186090
1433,1270,2009,ENSG00000174371
815,393,591,ENSG00000161692
5534,3391,3258,ENSG00000160200
1123,1226,1141,ENSG00000163002
224,329,157,ENSG00000150165
4887,3617,4841,ENSG00000162670
967,887,678,ENSG00000134285
1721,1378,1734,ENSG00000180011
13,1,87,ENSG00000129170
1,0,1,ENSG00000170848
6,4,13,ENSG00000214814
1523,1108,1303,ENSG00000187720
2811,2464,3127,ENSG00000140836
2,0,1,ENSG00000167941
4460,2791,3459,ENSG00000108509
0,0,1,ENSG00000152760
498,346,394,ENSG00000142733
7872,8470,7422,ENSG00000156675
219,152,220,ENSG00000177873
125,95,309,ENSG00000106484
81,67,40,ENSG00000104970
5593,5195,6175,ENSG00000069248
2526,2977,3731,ENSG00000184162
0,0,0,ENSG00000150261
143,74,118,ENSG00000113205
2321,1823,2163,ENSG00000123575
11,4,9,ENSG00000168148
72,41,43,ENSG00000170927
1786,1462,2140,ENSG00000011198
0,0,0,ENSG00000166573
36,14,60,ENSG00000010932
2,2,6,ENSG00000100433
2936,2959,2964,ENSG00000088766
1808,1286,1641,ENSG00000177663
30938,35864,40312,ENSG00000089327
1001,1165,1048,ENSG00000136936
3169,2503,3243,ENSG00000181555
202,90,107,ENSG00000136449
309,329,491,ENSG00000101400
2175,1496,1781,ENSG00000145685
960,1144,1006,ENSG00000114395
3,4,4,ENSG00000198010
83,46,41,ENSG00000186094
2951,3456,2753,ENSG00000180964
1196,1549,1468,ENSG00000196465
7146,6431,5000,ENSG00000135912
317,215,214,ENSG00000213865
5,1,3,ENSG00000250361
1605,1901,1867,ENSG00000168002
717,606,837,ENSG00000143036
12,2,9,ENSG00000162881
1024,674,742,ENSG00000133460
1271,1295,1173,ENSG00000138175
70,35,33,ENSG00000139574
170,92,100,ENSG00000151746
1305,991,1097,ENSG00000204138
28,28,28,ENSG00000198074
0,1,1,ENSG00000164047
0,0,1,ENSG00000133115
5936,5726,6320,ENSG00000167930
3377,3926,3013,ENSG00000134049
749,501,687,ENSG00000107789
5948,3685,3715,ENSG00000116001
22867,19492,20767,ENSG00000169398
10,9,5,ENSG00000174521
1082,933,678,ENSG00000170579
1654,936,1090,ENSG00000013441
686,612,851,ENSG00000125779
2489,2506,2952,ENSG00000114544
2868,2153,2261,ENSG00000100426
1550,1271,1563,ENSG00000130962
3471,3209,3515,ENSG00000187742
0,0,0,ENSG00000125903
97,65,66,ENSG00000196110
6249,6562,7301,ENSG00000090487
2903,2753,3190,ENSG00000111911
98,72,79,ENSG00000088386
1969,1208,2859,ENSG00000108439
0,0,0,ENSG00000214681
24,32,41,ENSG00000196747
4514,4284,5446,ENSG00000108946
27,24,29,ENSG00000182902
577,643,796,ENSG00000165312
765,460,1014,ENSG00000137177
96,72,96,ENSG00000172578
37,18,48,ENSG00000092377
0,0,0,ENSG00000186943
127,78,58,ENSG00000180071
3801,2116,2986,ENSG00000146281
0,0,0,ENSG00000184029
120,86,147,ENSG00000197168
13,13,7,ENSG00000134160
1201,1315,1496,ENSG00000060558
0,0,0,ENSG00000137731
7222,4825,8194,ENSG00000102837
0,1,0,ENSG00000104974
1327,1220,1120,ENSG00000177989
2235,1753,2234,ENSG00000014919
234,196,236,ENSG00000129465
86,189,161,ENSG00000261359
