,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1305,2.04E+02,40.6753851,5.1371952,7.91782,2.42E-15,4.34E-13,ENSG00000196091,MYBPC1
828,5.83E+02,37.1943947,5.8034484,6.409016,1.46E-10,1.38E-08,ENSG00000160808,MYL3
808,1.43E+03,33.089291,5.13937,6.438394,1.21E-10,1.17E-08,ENSG00000159251,ACTC1
966,4.07E+02,29.7229331,5.881624,5.053525,4.34E-07,2.00E-05,ENSG00000168530,MYL1
461,6.80E+02,27.7901347,6.0924339,4.561418,5.08E-06,1.70E-04,ENSG00000125414,MYH2
1267,1.31E+02,16.9330452,4.4508045,3.804491,1.42E-04,2.94E-03,ENSG00000186439,TRDN
1412,9.11E+03,16.8944429,4.3013883,3.927672,8.58E-05,1.94E-03,ENSG00000204388,HSPA1B
1438,4.68E+03,16.1064512,4.0114995,4.01507,5.94E-05,1.42E-03,ENSG00000204592,HLA-E
1339,2.69E+02,15.9555954,4.9806851,3.203494,1.36E-03,1.74E-02,ENSG00000197616,MYH6
1426,6.83E+02,13.6595804,2.0685647,6.60341,4.02E-11,4.26E-09,ENSG00000204498,NFKBIL1
1422,6.26E+02,13.1951884,2.0706475,6.372494,1.86E-10,1.71E-08,ENSG00000204439,C6orf47
833,6.76E+02,13.0055286,2.5787371,5.043371,4.57E-07,2.07E-05,ENSG00000161021,MAML1
1408,5.23E+02,12.6572447,3.5348131,3.580739,3.43E-04,5.96E-03,ENSG00000204366,ZBTB12
1471,3.79E+02,12.4542832,4.1798858,2.979575,2.89E-03,3.11E-02,ENSG00000213588,ZBTB9
1546,4.96E+02,12.3296333,2.0872114,5.907228,3.48E-09,2.43E-07,ENSG00000241370,RPP21
991,2.68E+02,12.0019394,2.3062762,5.204034,1.95E-07,9.87E-06,ENSG00000170381,SEMA3E
1413,2.83E+02,11.6618342,3.3090447,3.52423,4.25E-04,7.07E-03,ENSG00000204389,HSPA1A
1403,2.74E+02,11.6186178,2.1907528,5.303482,1.14E-07,6.08E-06,ENSG00000204315,FKBPL
1148,4.83E+02,11.3083848,2.8485259,3.969908,7.19E-05,1.66E-03,ENSG00000179941,BBS10
759,1.99E+02,11.1394542,2.1118221,5.274807,1.33E-07,6.99E-06,ENSG00000152939,MARVELD2
914,1.72E+02,11.0905439,2.1185041,5.235083,1.65E-07,8.51E-06,ENSG00000165646,SLC18A2
1588,1.37E+02,11.0860123,2.1861566,5.071006,3.96E-07,1.84E-05,ENSG00000256453,DND1
1210,1.67E+02,11.0019448,2.3675761,4.646923,3.37E-06,1.17E-04,ENSG00000183793,NPIPA5
1298,1.73E+02,10.9678534,3.2835526,3.34024,8.37E-04,1.19E-02,ENSG00000188931,CFAP126
208,5.64E+02,10.543557,1.9895602,5.299441,1.16E-07,6.17E-06,ENSG00000100983,GSS
782,8.43E+01,10.5213242,2.2203238,4.738644,2.15E-06,8.00E-05,ENSG00000156150,ALX3
728,8.91E+01,10.4942322,2.1911183,4.789441,1.67E-06,6.41E-05,ENSG00000148680,HTR7
1230,8.51E+01,10.2888339,2.2027728,4.670856,3.00E-06,1.06E-04,ENSG00000184788,SATL1
1170,1.07E+02,10.2809306,2.1649296,4.748852,2.05E-06,7.64E-05,ENSG00000181649,PHLDA2
1505,4.41E+02,10.1570109,1.5081115,6.73492,1.64E-11,1.77E-09,ENSG00000221988,PPT2
1000,5.39E+01,9.5933099,2.4704748,3.883185,1.03E-04,2.25E-03,ENSG00000170909,OSCAR
1501,5.27E+01,9.3122965,2.2167635,4.200853,2.66E-05,7.31E-04,ENSG00000221883,ARIH2OS
1579,4.30E+01,9.0769063,2.7286963,3.326463,8.80E-04,1.23E-02,ENSG00000254852,NPIPA2
1538,3.82E+01,9.0585379,2.4666222,3.672446,2.40E-04,4.52E-03,ENSG00000236761,CTAGE9
