,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
903,8.34E+00,26.2994004,8.4531268,3.111204,1.86E-03,1.32E-02,ENSG00000123454,DBH
2852,2.25E+03,14.1455224,1.4618381,9.676531,3.79E-22,4.73E-20,ENSG00000204619,PPP1R11
2613,1.26E+03,13.6432172,2.752357,4.956921,7.16E-07,1.41E-05,ENSG00000187537,POTEG
2832,6.26E+02,12.5944241,1.4749426,8.538925,1.35E-17,1.06E-15,ENSG00000204439,C6orf47
3069,5.10E+02,12.1756968,3.7786976,3.222194,1.27E-03,9.74E-03,ENSG00000253958,CLDN23
2835,6.83E+02,11.9974063,1.4731293,8.144164,3.82E-16,2.61E-14,ENSG00000204498,NFKBIL1
410,5.70E+02,11.8464919,2.7701723,4.276446,1.90E-05,2.69E-04,ENSG00000101347,SAMHD1
2849,4.68E+03,11.7759174,3.0753142,3.829175,1.29E-04,1.40E-03,ENSG00000204592,HLA-E
118,2.58E+03,11.7663756,1.8514131,6.355348,2.08E-10,7.62E-09,ENSG00000054598,FOXC1
471,1.96E+03,11.7253835,2.8439928,4.12286,3.74E-05,4.77E-04,ENSG00000103512,NOMO1
1593,1.99E+02,11.5657717,1.5174518,7.621838,2.50E-14,1.48E-12,ENSG00000152939,MARVELD2
1921,1.72E+02,10.9707553,1.5249056,7.194383,6.27E-13,3.16E-11,ENSG00000165646,SLC18A2
3021,4.96E+02,10.2920088,1.4941103,6.888386,5.64E-12,2.51E-10,ENSG00000241370,RPP21
1632,8.43E+01,10.2146063,1.6302295,6.265747,3.71E-10,1.31E-08,ENSG00000156150,ALX3
2819,9.11E+03,9.9195335,3.2851305,3.019525,2.53E-03,1.69E-02,ENSG00000204388,HSPA1B
1594,1.93E+02,9.9124294,1.5547864,6.375428,1.82E-10,6.75E-09,ENSG00000152942,RAD17
2511,8.51E+01,9.8258358,1.6126656,6.092916,1.11E-09,3.70E-08,ENSG00000184788,SATL1
1007,5.57E+01,9.7337153,1.8016772,5.402586,6.57E-08,1.59E-06,ENSG00000128052,KDR
3099,1.58E+02,9.6650628,1.5362233,6.291444,3.15E-10,1.13E-08,ENSG00000258873,DUXA
2836,4.15E+01,9.2032012,1.9614517,4.692035,2.71E-06,4.70E-05,ENSG00000204516,MICB
1586,1.67E+02,9.1201586,1.6565211,5.50561,3.68E-08,9.34E-07,ENSG00000152253,SPC25
2419,1.07E+02,8.9673911,1.5765152,5.68811,1.28E-08,3.57E-07,ENSG00000181649,PHLDA2
1848,3.00E+01,8.9673856,2.2319222,4.017786,5.87E-05,7.09E-04,ENSG00000163982,OTOP1
2999,3.82E+01,8.8697797,1.8770484,4.725387,2.30E-06,4.05E-05,ENSG00000236761,CTAGE9
2802,2.00E+03,8.7338778,1.4647902,5.962545,2.48E-09,7.85E-08,ENSG00000204262,COL5A2
2996,6.45E+03,8.2456253,0.3980119,20.71703,2.43E-95,7.95E-92,ENSG00000234769,WASH4P
1210,3.10E+01,8.2259239,2.0661995,3.981186,6.86E-05,8.08E-04,ENSG00000136160,EDNRB
2846,1.94E+01,8.225922,2.2698041,3.624067,2.90E-04,2.80E-03,ENSG00000204577,LILRB3
1877,5.75E+01,8.1782915,1.8339169,4.459467,8.22E-06,1.27E-04,ENSG00000164530,PI16
3050,6.84E+01,7.9956792,1.5967974,5.007322,5.52E-07,1.12E-05,ENSG00000244752,CRYBB2
2820,2.83E+02,7.9851851,2.3184207,3.444235,5.73E-04,5.03E-03,ENSG00000204389,HSPA1A
2582,1.82E+01,7.9538418,2.2039959,3.608828,3.08E-04,2.95E-03,ENSG00000186431,FCAR
1519,8.91E+01,7.8483375,1.2353589,6.353083,2.11E-10,7.72E-09,ENSG00000148680,HTR7
2729,1.27E+01,7.8406265,2.6406565,2.969196,2.99E-03,1.94E-02,ENSG00000197953,AADACL2
1755,6.76E+02,7.8346951,1.4013477,5.590829,2.26E-08,6.00E-07,ENSG00000161021,MAML1
2643,1.73E+02,7.8046548,2.2873426,3.412106,6.45E-04,5.51E-03,ENSG00000188931,CFAP126
2815,5.23E+02,7.7366126,2.5425593,3.042844,2.34E-03,1.59E-02,ENSG00000204366,ZBTB12
2964,6.26E+01,7.5345453,1.6999529,4.432208,9.33E-06,1.42E-04,ENSG00000223865,HLA-DPB1
1022,3.25E+01,7.5113275,1.8491164,4.062117,4.86E-05,6.00E-04,ENSG00000128617,OPN1SW
