,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1143,8.34E+00,25.6353456,8.4531268,3.032647,2.42E-03,1.31E-02,ENSG00000123454,DBH
3504,9.11E+03,16.9112078,3.5827159,4.72022,2.36E-06,3.25E-05,ENSG00000204388,HSPA1B
3539,2.25E+03,13.900931,1.4618381,9.509213,1.92E-21,1.75E-19,ENSG00000204619,PPP1R11
3247,1.26E+03,13.3986262,2.752357,4.868055,1.13E-06,1.65E-05,ENSG00000187537,POTEG
3655,4.41E+02,12.4002342,1.4919669,8.311333,9.46E-17,5.39E-15,ENSG00000221988,PPT2
3598,3.79E+02,12.0446832,3.4731885,3.467904,5.25E-04,3.65E-03,ENSG00000213588,ZBTB9
3783,5.10E+02,11.9311064,3.7786976,3.157465,1.59E-03,9.30E-03,ENSG00000253958,CLDN23
3536,4.68E+03,11.8431644,3.0956044,3.8258,1.30E-04,1.11E-03,ENSG00000204592,HLA-E
2714,3.19E+02,11.8268178,1.6178905,7.310024,2.67E-13,1.07E-11,ENSG00000172175,MALT1
3520,6.83E+02,11.7528148,1.4731293,7.978128,1.49E-15,7.49E-14,ENSG00000204498,NFKBIL1
1022,2.72E+02,11.5511374,3.7726341,3.061823,2.20E-03,1.22E-02,ENSG00000118655,DCLRE1B
2003,1.99E+02,11.3211803,1.5174518,7.460652,8.61E-14,3.67E-12,ENSG00000152939,MARVELD2
3517,6.26E+02,10.9125409,1.4365032,7.5966,3.04E-14,1.35E-12,ENSG00000204439,C6orf47
2415,1.72E+02,10.7261639,1.5249056,7.033986,2.01E-12,7.12E-11,ENSG00000165646,SLC18A2
2200,6.76E+02,10.4777564,1.61122,6.502996,7.87E-11,2.29E-09,ENSG00000161021,MAML1
592,1.96E+03,10.0937965,2.7705425,3.643256,2.69E-04,2.06E-03,ENSG00000103512,NOMO1
3721,4.96E+02,10.0474174,1.4941103,6.724683,1.76E-11,5.54E-10,ENSG00000241370,RPP21
2354,7.41E+02,9.9753781,0.8946735,11.149742,7.18E-29,1.18E-26,ENSG00000164597,COG5
2055,8.43E+01,9.9700149,1.6302295,6.115713,9.61E-10,2.46E-08,ENSG00000156150,ALX3
501,5.64E+02,9.6387553,1.5649401,6.159185,7.31E-10,1.90E-08,ENSG00000100983,GSS
3137,8.51E+01,9.5812444,1.6126656,5.941247,2.83E-09,6.71E-08,ENSG00000184788,SATL1
1268,5.57E+01,9.489124,1.8016772,5.266828,1.39E-07,2.46E-06,ENSG00000128052,KDR
3488,2.00E+03,9.1983311,1.4782538,6.22243,4.90E-10,1.29E-08,ENSG00000204262,COL5A2
3650,6.21E+01,8.8639754,1.6090737,5.508744,3.61E-08,7.10E-07,ENSG00000221933,OR2A25
1346,2.35E+01,8.7757436,2.2177595,3.957031,7.59E-05,6.88E-04,ENSG00000130950,NUTM2F
3023,1.07E+02,8.7227997,1.5765152,5.532963,3.15E-08,6.26E-07,ENSG00000181649,PHLDA2
2314,3.00E+01,8.7227944,2.2319222,3.908198,9.30E-05,8.18E-04,ENSG00000163982,OTOP1
2657,5.39E+01,8.695576,1.8822284,4.61983,3.84E-06,4.99E-05,ENSG00000170909,OSCAR
2090,5.69E+01,8.6537576,1.7141394,5.048456,4.45E-07,7.10E-06,ENSG00000157654,PALM2-AKAP2
3699,3.82E+01,8.6251883,1.8770484,4.595081,4.33E-06,5.57E-05,ENSG00000236761,CTAGE9
3287,1.73E+02,8.6233338,2.3512522,3.66755,2.45E-04,1.90E-03,ENSG00000188931,CFAP126
3525,5.17E+01,8.5960263,2.956904,2.907104,3.65E-03,1.83E-02,ENSG00000204539,CDSN
3696,6.45E+03,8.5759235,0.4133584,20.746945,1.31E-95,3.48E-92,ENSG00000234769,WASH4P
781,3.61E+01,8.3563736,1.6688521,5.007258,5.52E-07,8.61E-06,ENSG00000109927,TECTA
3532,2.66E+02,8.3457625,0.9209939,9.061692,1.28E-19,9.42E-18,ENSG00000204576,PRR3
2389,7.95E+02,8.2923588,0.6467548,12.821487,1.24E-37,4.06E-35,ENSG00000165097,KDM1B
1615,2.05E+01,8.1711559,2.0172135,4.050714,5.11E-05,4.92E-04,ENSG00000138813,C4orf17
3371,4.30E+02,7.897631,2.6188035,3.01574,2.56E-03,1.38E-02,ENSG00000197594,ENPP1
3121,2.06E+01,7.8393132,2.1277087,3.684392,2.29E-04,1.79E-03,ENSG00000184304,PRKD1
3761,6.84E+01,7.7574338,1.5769228,4.919349,8.68E-07,1.30E-05,ENSG00000244752,CRYBB2
3213,1.82E+01,7.7092506,2.2039959,3.497852,4.69E-04,3.31E-03,ENSG00000186431,FCAR
1913,8.91E+01,7.6214872,1.2389627,6.151507,7.68E-10,1.99E-08,ENSG00000148680,HTR7
3391,1.27E+01,7.5960354,2.6406565,2.876571,4.02E-03,1.98E-02,ENSG00000197953,AADACL2
2975,1.73E+01,7.5662938,2.116862,3.574297,3.51E-04,2.59E-03,ENSG00000179242,CDH4
2635,2.68E+02,7.5544329,1.1018783,6.855959,7.08E-12,2.35E-10,ENSG00000170381,SEMA3E
646,3.16E+01,7.501073,1.8760313,3.998373,6.38E-05,5.93E-04,ENSG00000105409,ATP1A3
2004,1.93E+02,7.3705694,0.8971056,8.215944,2.11E-16,1.16E-14,ENSG00000152942,RAD17
3801,1.37E+02,7.2878208,1.0694889,6.814303,9.47E-12,3.07E-10,ENSG00000256453,DND1
1285,3.25E+01,7.2667362,1.8491164,3.929843,8.50E-05,7.59E-04,ENSG00000128617,OPN1SW
3542,1.85E+03,7.2616247,0.424688,17.098729,1.52E-65,1.87E-62,ENSG00000204642,HLA-F
3505,2.83E+02,7.1779576,2.2985869,3.12277,1.79E-03,1.03E-02,ENSG00000204389,HSPA1A
3257,1.29E+01,7.1512604,1.9845595,3.60345,3.14E-04,2.35E-03,ENSG00000187754,SSX7
1767,1.68E+01,7.0257211,2.6582516,2.642986,8.22E-03,3.51E-02,ENSG00000143627,PKLR
522,5.70E+02,6.9754734,2.3908959,2.917514,3.53E-03,1.78E-02,ENSG00000101347,SAMHD1
2019,1.14E+01,6.9355288,2.2860142,3.033896,2.41E-03,1.31E-02,ENSG00000153684,GOLGA8F
1842,9.64E+00,6.9355283,2.358203,2.941023,3.27E-03,1.68E-02,ENSG00000146039,SLC17A4
3541,1.65E+01,6.8882204,2.4881759,2.768382,5.63E-03,2.60E-02,ENSG00000204632,HLA-G
3573,1.09E+01,6.8882173,2.7471674,2.507389,1.22E-02,4.82E-02,ENSG00000205927,OLIG2
1417,1.24E+01,6.8393151,2.1538687,3.175363,1.50E-03,8.83E-03,ENSG00000133561,GIMAP6
3663,1.53E+01,6.7886856,2.4030851,2.824988,4.73E-03,2.26E-02,ENSG00000224712,NPIPA3
31,1.55E+01,6.6817721,2.2313821,2.994454,2.75E-03,1.46E-02,ENSG00000007171,NOS2
604,3.14E+01,6.6636153,1.8660473,3.570979,3.56E-04,2.61E-03,ENSG00000104313,EYA1
3515,2.94E+03,6.643922,0.3161941,21.012164,5.08E-98,1.62E-94,ENSG00000204435,CSNK2B
3501,5.23E+02,6.5966771,2.5230131,2.614603,8.93E-03,3.76E-02,ENSG00000204366,ZBTB12
3816,1.58E+02,6.5845842,0.7848418,8.389696,4.87E-17,2.82E-15,ENSG00000258873,DUXA
1540,8.91E+00,6.5662965,2.2360683,2.936537,3.32E-03,1.70E-02,ENSG00000136939,OR1L4
3533,1.94E+01,6.5624972,2.2482893,2.918885,3.51E-03,1.78E-02,ENSG00000204577,LILRB3
1136,1.63E+02,6.5306097,0.9136793,7.147595,8.83E-13,3.27E-11,ENSG00000123342,MMP19
1599,1.03E+02,6.5259702,0.9690705,6.734257,1.65E-11,5.20E-10,ENSG00000138411,HECW2
2283,1.71E+01,6.5048925,2.538818,2.562174,1.04E-02,4.23E-02,ENSG00000163554,SPTA1
3723,6.74E+00,6.3736503,2.430674,2.622174,8.74E-03,3.70E-02,ENSG00000241476,SSX2
3490,8.02E+02,6.3671793,0.3677363,17.314526,3.66E-67,4.87E-64,ENSG00000204267,TAP2
1820,7.37E+01,5.9620201,1.0030718,5.943762,2.79E-09,6.64E-08,ENSG00000145113,MUC4
1558,7.36E+02,5.9209033,1.0992218,5.38645,7.19E-08,1.33E-06,ENSG00000137310,TCF19
3544,1.07E+03,5.9068821,0.9621725,6.139109,8.30E-10,2.13E-08,ENSG00000204655,MOG
3527,3.72E+01,5.8130299,1.7948263,3.23877,1.20E-03,7.35E-03,ENSG00000204542,C6orf15
3519,8.83E+03,5.7486894,0.2920071,19.686815,2.80E-86,4.47E-83,ENSG00000204469,PRRC2A
3440,1.43E+01,5.724364,1.8446984,3.103144,1.91E-03,1.09E-02,ENSG00000198812,LRRC10
1186,1.16E+01,5.6907232,1.9582235,2.906064,3.66E-03,1.84E-02,ENSG00000125257,ABCC4
1950,2.42E+01,5.6817778,1.9155254,2.966172,3.02E-03,1.57E-02,ENSG00000149968,MMP3
1240,2.91E+02,5.5663643,0.6587752,8.449566,2.92E-17,1.74E-15,ENSG00000126953,TIMM8A
3770,6.73E+01,5.5037204,0.919715,5.984159,2.18E-09,5.25E-08,ENSG00000249222,ATP5MGL
3523,5.67E+03,5.4195379,0.2668157,20.311918,1.01E-91,2.02E-88,ENSG00000204525,HLA-C
3738,1.62E+01,5.377472,1.9927869,2.698468,6.97E-03,3.09E-02,ENSG00000242574,HLA-DMB
2687,1.96E+01,5.3006541,1.7194267,3.082803,2.05E-03,1.15E-02,ENSG00000171714,ANO5
2661,6.29E+01,5.2886879,1.0492179,5.0406,4.64E-07,7.36E-06,ENSG00000170989,S1PR1
3576,9.96E+03,5.2741822,0.3241041,16.27311,1.53E-59,1.75E-56,ENSG00000206503,HLA-A
3659,1.67E+03,5.2539905,0.4002383,13.127157,2.30E-39,8.36E-37,ENSG00000223501,VPS52
224,1.30E+03,5.2391348,0.4653025,11.259632,2.08E-29,3.49E-27,ENSG00000070047,PHRF1
3706,5.61E+01,5.2345536,1.063507,4.921974,8.57E-07,1.29E-05,ENSG00000239511,POM121L7P
