"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","g_ID","Gene.name"
"1","2.515805e+03","  0.9747056","0.3192173","  3.053423"," 2.262464e-03"," 1.997126e-02","ENSG00000001084","GCLC"
"2","3.101974e+03"," -0.7455907","0.2131968"," -3.497194"," 4.701802e-04"," 5.805518e-03","ENSG00000001167","NFYA"
"3","4.074741e+03"," -1.0483500","0.2356070"," -4.449570"," 8.604245e-06"," 1.948230e-04","ENSG00000002586","CD99"
"4","9.880552e+02","  1.5129746","0.3081753","  4.909461"," 9.132728e-07"," 2.601077e-05","ENSG00000002822","MAD1L1"
"5","6.976179e+02"," -4.7543466","1.0752493"," -4.421623"," 9.796237e-06"," 2.178896e-04","ENSG00000002933","TMEM176A"
"6","4.266828e+01","  2.7586977","0.9424080","  2.927286"," 3.419342e-03"," 2.720166e-02","ENSG00000003096","KLHL13"
"7","6.313329e+03","  0.7538214","0.1996005","  3.776651"," 1.589514e-04"," 2.357567e-03","ENSG00000003249","DBNDD1"
"8","1.201654e+03"," -0.8258020","0.2257976"," -3.657266"," 2.549194e-04"," 3.487382e-03","ENSG00000003393","ALS2"
"9","1.932105e+03"," -2.5383658","0.2460117","-10.318071"," 5.838416e-25"," 1.564695e-22","ENSG00000003436","TFPI"
"10","1.294424e+03"," -1.6561130","0.4629099"," -3.577614"," 3.467444e-04"," 4.499662e-03","ENSG00000003989","SLC7A2"
"11","1.334554e+01"," -7.5762755","2.5337375"," -2.990158"," 2.788331e-03"," 2.320959e-02","ENSG00000004939","SLC4A1"
"12","2.146589e+03","  1.3039355","0.3340186","  3.903781"," 9.470137e-05"," 1.517822e-03","ENSG00000005001","PRSS22"
"13","2.229840e+03"," -1.0696451","0.2566564"," -4.167615"," 3.078039e-05"," 6.026321e-04","ENSG00000005156","LIG3"
"14","2.092272e+02"," -1.3609808","0.3492879"," -3.896444"," 9.761542e-05"," 1.556895e-03","ENSG00000005187","ACSM3"
"15","1.444792e+03","  1.6869457","0.2743937","  6.147902"," 7.851455e-10"," 4.036339e-08","ENSG00000005302","MSL3"
"16","3.631384e+03","  0.8288041","0.2673144","  3.100484"," 1.932045e-03"," 1.768481e-02","ENSG00000005483","KMT2E"
"17","1.626740e+03","  0.5733554","0.1984014","  2.889876"," 3.853940e-03"," 2.987397e-02","ENSG00000005882","PDK2"
"18","6.115265e+03","  1.1244054","0.1656907","  6.786169"," 1.151500e-11"," 7.560126e-10","ENSG00000006327","TNFRSF12A"
"19","9.591123e+02","  5.3902000","0.5070245"," 10.631045"," 2.137042e-26"," 6.469698e-24","ENSG00000006530","AGK"
"20","9.063132e+02"," -0.6110307","0.1994022"," -3.064313"," 2.181706e-03"," 1.944740e-02","ENSG00000006607","FARP2"
"21","8.453030e+02"," -1.5308386","0.3776561"," -4.053525"," 5.045163e-05"," 9.083517e-04","ENSG00000006747","SCIN"
"22","2.230381e+03","  0.8227948","0.2254532","  3.649515"," 2.627358e-04"," 3.576358e-03","ENSG00000006831","ADIPOR2"
"23","2.407613e+03","  0.6857078","0.2047169","  3.349542"," 8.094539e-04"," 9.020418e-03","ENSG00000007080","CCDC124"
"24","1.549218e+01","  6.3761329","2.2267648","  2.863407"," 4.191124e-03"," 3.180896e-02","ENSG00000007171","NOS2"
"25","8.256882e+03"," -0.7324792","0.2149270"," -3.408037"," 6.543197e-04"," 7.641335e-03","ENSG00000007202","KIAA0100"
"26","4.349722e+02"," -0.7894901","0.2694378"," -2.930138"," 3.388112e-03"," 2.705855e-02","ENSG00000007341","ST7L"
"27","2.585276e+03"," -0.8889744","0.2217961"," -4.008070"," 6.121707e-05"," 1.060145e-03","ENSG00000007545","CRAMP1"
"28","3.795118e+03"," -0.4964040","0.1578912"," -3.143962"," 1.666769e-03"," 1.576872e-02","ENSG00000008083","JARID2"
"29","6.877361e+02"," -4.8723895","0.4796968","-10.157226"," 3.077052e-24"," 7.621764e-22","ENSG00000008086","CDKL5"
"30","5.405107e+02"," -1.5928726","0.4805552"," -3.314651"," 9.175763e-04"," 9.953906e-03","ENSG00000008300","CELSR3"
"31","3.345779e+02"," -1.7979750","0.5122688"," -3.509827"," 4.483977e-04"," 5.570217e-03","ENSG00000008311","AASS"
"32","4.341189e+03","  1.1645359","0.2180556","  5.340545"," 9.266757e-08"," 3.322214e-06","ENSG00000008952","SEC62"
"33","8.154834e+02"," -0.5632917","0.2069933"," -2.721305"," 6.502477e-03"," 4.423741e-02","ENSG00000009830","POMT2"
"34","6.756054e+03","  0.7372576","0.2731115","  2.699475"," 6.944899e-03"," 4.630310e-02","ENSG00000009954","BAZ1B"
"35","1.508676e+03","  1.0805877","0.3102340","  3.483137"," 4.955747e-04"," 6.050534e-03","ENSG00000010404","IDS"
"36","6.198189e+02","  1.9637074","0.3428575","  5.727473"," 1.019374e-08"," 4.455809e-07","ENSG00000011198","ABHD5"
"37","8.177148e+03"," -0.7288069","0.2477303"," -2.941937"," 3.261662e-03"," 2.626682e-02","ENSG00000012822","CALCOCO1"
"38","2.224545e+03","  1.4239922","0.2108121","  6.754793"," 1.430397e-11"," 9.279418e-10","ENSG00000013275","PSMC4"
"39","1.160037e+03"," -0.9229344","0.2289371"," -4.031389"," 5.544823e-05"," 9.799650e-04","ENSG00000013523","ANGEL1"
"40","4.810198e+03","  0.7989439","0.2373836","  3.365623"," 7.637087e-04"," 8.640215e-03","ENSG00000014164","ZC3H3"
"41","3.202244e+03"," -0.6422233","0.1986636"," -3.232717"," 1.226190e-03"," 1.243533e-02","ENSG00000014914","MTMR11"
"42","4.772671e+02"," -2.3069065","0.7663660"," -3.010189"," 2.610850e-03"," 2.223179e-02","ENSG00000016602","CLCA4"
"43","5.357081e+03","  0.6465396","0.2007002","  3.221420"," 1.275572e-03"," 1.280900e-02","ENSG00000017797","RALBP1"
"44","1.298068e+03"," -0.8344319","0.2521544"," -3.309211"," 9.355936e-04"," 1.006918e-02","ENSG00000018189","RUFY3"
"45","3.538179e+02"," -1.6461907","0.3235209"," -5.088360"," 3.611736e-07"," 1.131124e-05","ENSG00000019485","PRDM11"
"46","1.578327e+03","  0.7594392","0.2221406","  3.418732"," 6.291365e-04"," 7.399370e-03","ENSG00000019995","ZRANB1"
"47","2.090780e+03"," -1.0224344","0.3551715"," -2.878706"," 3.993106e-03"," 3.069078e-02","ENSG00000020181","ADGRA2"
"48","1.020514e+03"," -1.3869292","0.2862684"," -4.844857"," 1.267031e-06"," 3.504809e-05","ENSG00000020922","MRE11"
"49","3.249873e+03","  1.4462212","0.2011935","  7.188210"," 6.564647e-13"," 4.991574e-11","ENSG00000023191","RNH1"
"50","2.431869e+03","  0.7858966","0.1967990","  3.993397"," 6.513330e-05"," 1.113807e-03","ENSG00000023228","NDUFS1"
