,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1899,5.83E+02,41.9260079,5.6329385,7.443008,9.84E-14,9.70E-12,ENSG00000160808,MYL3
1858,1.43E+03,41.6800884,4.8062632,8.672036,4.24E-18,7.20E-16,ENSG00000159251,ACTC1
2862,2.04E+02,41.5269902,5.0097339,8.289261,1.14E-16,1.67E-14,ENSG00000196091,MYBPC1
422,1.79E+02,33.2542867,6.0217876,5.522328,3.35E-08,1.09E-06,ENSG00000100362,PVALB
1236,2.92E+02,33.0509029,5.6240078,5.876753,4.18E-09,1.68E-07,ENSG00000133020,MYH8
660,1.82E+03,25.4114342,5.7015532,4.456932,8.31E-06,1.34E-04,ENSG00000109061,MYH1
3341,1.42E+03,22.0041376,5.7502684,3.826628,1.30E-04,1.38E-03,ENSG00000264424,MYH4
2774,1.31E+02,16.6836071,4.2227294,3.950906,7.79E-05,8.94E-04,ENSG00000186439,TRDN
3092,4.68E+03,16.0660133,5.3670124,2.993474,2.76E-03,1.61E-02,ENSG00000204592,HLA-E
3062,9.11E+03,15.990025,5.4182487,2.951143,3.17E-03,1.80E-02,ENSG00000204388,HSPA1B
2935,2.69E+02,14.9645295,4.7242909,3.167572,1.54E-03,1.01E-02,ENSG00000197616,MYH6
1376,6.96E+02,13.7949614,2.0821351,6.625392,3.46E-11,2.29E-09,ENSG00000137331,IER3
3256,4.96E+02,13.4132743,2.0949913,6.402544,1.53E-10,8.71E-09,ENSG00000241370,RPP21
3078,6.83E+02,13.2032684,2.0826755,6.33957,2.30E-10,1.24E-08,ENSG00000204498,NFKBIL1
3074,6.26E+02,12.9921923,2.0856509,6.229323,4.68E-10,2.39E-08,ENSG00000204439,C6orf47
3044,3.86E+02,12.9574086,2.1076611,6.147767,7.86E-10,3.77E-08,ENSG00000204287,HLA-DRA
1908,6.76E+02,12.8145077,2.8693859,4.465941,7.97E-06,1.30E-04,ENSG00000161021,MAML1
2255,2.68E+02,12.6260487,2.1424722,5.893215,3.79E-09,1.54E-07,ENSG00000170381,SEMA3E
3057,5.23E+02,12.5074799,3.9206819,3.190129,1.42E-03,9.48E-03,ENSG00000204366,ZBTB12
2579,4.83E+02,12.2166805,3.0467087,4.009796,6.08E-05,7.27E-04,ENSG00000179941,BBS10
3314,2.62E+02,12.0778807,2.1352697,5.656373,1.55E-08,5.47E-07,ENSG00000255633,MTRNR2L9
3052,2.74E+02,11.9160155,2.1928058,5.434141,5.51E-08,1.69E-06,ENSG00000204315,FKBPL
2061,1.72E+02,11.275657,2.1776813,5.177827,2.24E-07,5.84E-06,ENSG00000165646,SLC18A2
