,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
3798,6.79E+02,25.8444185,3.0744525,8.406186,4.24E-17,4.59E-15,ENSG00000256043,CTSO
2191,7.33E+01,24.8312584,4.6071858,5.38968,7.06E-08,1.92E-06,ENSG00000158022,TRIM63
3511,9.11E+03,16.4160264,3.5827147,4.582008,4.61E-06,7.29E-05,ENSG00000204388,HSPA1B
3543,4.68E+03,15.714572,3.3209096,4.732008,2.22E-06,3.93E-05,ENSG00000204592,HLA-E
172,2.58E+03,15.047919,2.1901523,6.870718,6.39E-12,3.63E-10,ENSG00000054598,FOXC1
3546,2.25E+03,14.7890564,1.4617161,10.117598,4.62E-24,9.76E-22,ENSG00000204619,PPP1R11
3237,1.26E+03,14.5679937,2.752257,5.293108,1.20E-07,3.08E-06,ENSG00000187537,POTEG
3527,6.83E+02,12.987576,1.4725346,8.819878,1.15E-18,1.50E-16,ENSG00000204498,NFKBIL1
3522,6.26E+02,12.9355943,1.4746302,8.772094,1.75E-18,2.20E-16,ENSG00000204439,C6orf47
3727,4.96E+02,12.8632374,1.4917391,8.622981,6.52E-18,7.84E-16,ENSG00000241370,RPP21
564,5.64E+02,12.6619299,1.8677828,6.779123,1.21E-11,6.60E-10,ENSG00000100983,GSS
3784,5.10E+02,12.541613,3.7785326,3.319176,9.03E-04,6.18E-03,ENSG00000253958,CLDN23
2077,1.99E+02,11.1945555,1.5171123,7.378858,1.60E-13,1.17E-11,ENSG00000152939,MARVELD2
2066,1.67E+02,10.8928987,1.6703923,6.521162,6.98E-11,3.27E-09,ENSG00000152253,SPC25
2470,1.72E+02,10.7602342,1.5242813,7.059218,1.67E-12,1.04E-10,ENSG00000165646,SLC18A2
3724,1.88E+02,10.7145185,3.8840917,2.758565,5.81E-03,2.79E-02,ENSG00000241106,HLA-DOB
3027,1.07E+02,10.3761967,1.5715582,6.60249,4.04E-11,1.98E-09,ENSG00000181649,PHLDA2
3598,1.09E+02,10.2362857,1.8876872,5.42266,5.87E-08,1.63E-06,ENSG00000213402,PTPRCAP
3693,5.42E+01,9.7643192,1.6842426,5.797454,6.73E-09,2.29E-07,ENSG00000231852,CYP21A2
536,9.26E+01,9.739653,1.7645808,5.519528,3.40E-08,9.88E-07,ENSG00000100365,NCF4
1978,8.91E+01,9.6276277,1.5997346,6.018266,1.76E-09,6.74E-08,ENSG00000148680,HTR7
2145,8.43E+01,9.5681731,1.6297821,5.87083,4.34E-09,1.52E-07,ENSG00000156150,ALX3
199,5.57E+02,9.5271404,2.3768829,4.00825,6.12E-05,6.74E-04,ENSG00000063587,ZNF275
3658,6.21E+01,9.4815872,1.605812,5.904544,3.54E-09,1.27E-07,ENSG00000221933,OR2A25
3755,6.84E+01,9.4716365,1.6089019,5.887019,3.93E-09,1.39E-07,ENSG00000244752,CRYBB2
3528,4.15E+01,8.8589522,1.9600476,4.519764,6.19E-06,9.43E-05,ENSG00000204516,MICB
2393,2.51E+01,8.8435917,2.8495885,3.103463,1.91E-03,1.15E-02,ENSG00000164122,ASB5
3704,6.45E+03,8.6892033,0.4051497,21.446896,4.88E-102,1.17E-98,ENSG00000234769,WASH4P
3453,1.46E+01,8.671738,2.8277792,3.066625,2.16E-03,1.27E-02,ENSG00000198848,CES1
695,1.01E+03,8.5706567,2.7631669,3.101751,1.92E-03,1.15E-02,ENSG00000104879,CKM
1322,5.57E+01,8.5634963,1.8022541,4.751548,2.02E-06,3.61E-05,ENSG00000128052,KDR
3534,3.72E+01,8.4362639,1.8180789,4.640208,3.48E-06,5.75E-05,ENSG00000204542,C6orf15
503,2.23E+01,8.3841763,1.9376948,4.326882,1.51E-05,2.05E-04,ENSG00000099984,GSTT2
2379,3.00E+01,8.2509044,2.2313247,3.697761,2.18E-04,1.95E-03,ENSG00000163982,OTOP1
2354,1.71E+01,8.1546865,2.5244893,3.230232,1.24E-03,8.01E-03,ENSG00000163554,SPTA1
3548,1.85E+03,8.0440979,0.4081844,19.707019,1.88E-86,2.85E-83,ENSG00000204642,HLA-F
3824,2.34E+01,7.9260665,2.1004022,3.773595,1.61E-04,1.50E-03,ENSG00000261739,GOLGA8S
652,1.96E+03,7.8848351,2.7389802,2.878749,3.99E-03,2.08E-02,ENSG00000103512,NOMO1
1226,5.25E+01,7.8252697,1.3269147,5.897342,3.69E-09,1.32E-07,ENSG00000124253,PCK1
3839,4.37E+02,7.8194124,0.6401045,12.215838,2.56E-34,1.19E-31,ENSG00000271043,MTRNR2L2
821,7.68E+00,7.7724302,3.0351335,2.56082,1.04E-02,4.42E-02,ENSG00000108823,SGCA
3492,2.00E+03,7.7292499,1.4634705,5.281452,1.28E-07,3.26E-06,ENSG00000204262,COL5A2
1328,1.75E+01,7.689023,2.5598332,3.00372,2.67E-03,1.50E-02,ENSG00000128322,IGLL1
3137,8.51E+01,7.6644092,1.2400451,6.18075,6.38E-10,2.61E-08,ENSG00000184788,SATL1
553,2.22E+01,7.6545209,2.7928146,2.740791,6.13E-03,2.92E-02,ENSG00000100628,ASB2
3540,2.66E+02,7.6260643,0.7565035,10.080673,6.73E-24,1.34E-21,ENSG00000204576,PRR3
2017,2.42E+01,7.5616178,1.8425376,4.103915,4.06E-05,4.79E-04,ENSG00000149968,MMP3
16,1.39E+01,7.5061664,2.0681842,3.629351,2.84E-04,2.41E-03,ENSG00000004848,ARX
3436,3.27E+01,7.4666363,2.1100675,3.538577,4.02E-04,3.21E-03,ENSG00000198719,DLL1
1509,2.66E+01,7.3917593,1.9229191,3.84403,1.21E-04,1.20E-03,ENSG00000134201,GSTM5
3802,1.37E+02,7.3749535,1.068267,6.903661,5.07E-12,2.91E-10,ENSG00000256453,DND1
1338,3.25E+01,7.3578462,1.8039441,4.078755,4.53E-05,5.24E-04,ENSG00000128617,OPN1SW
3254,1.17E+02,7.3327321,1.2450597,5.889462,3.87E-09,1.37E-07,ENSG00000187942,LDLRAD2
3200,1.82E+01,7.2967107,2.2024641,3.312976,9.23E-04,6.28E-03,ENSG00000186431,FCAR
3520,2.94E+03,7.274654,0.2900831,25.077832,8.68E-139,7.25E-135,ENSG00000204435,CSNK2B
1416,2.35E+01,7.2509067,2.221098,3.26456,1.10E-03,7.27E-03,ENSG00000130950,NUTM2F
3283,1.07E+01,7.2509057,2.4253315,2.989655,2.79E-03,1.55E-02,ENSG00000188778,ADRB3
1397,6.65E+02,7.217127,2.6866198,2.686322,7.22E-03,3.31E-02,ENSG00000130598,TNNI2
3661,4.41E+02,7.1619978,0.5908304,12.121917,8.08E-34,3.55E-31,ENSG00000221988,PPT2
3288,1.73E+02,7.1551897,2.390589,2.993066,2.76E-03,1.54E-02,ENSG00000188931,CFAP126
2539,1.35E+01,7.1546887,2.5317404,2.825996,4.71E-03,2.37E-02,ENSG00000166947,EPB42
2971,1.73E+01,7.0246324,2.1158955,3.319933,9.00E-04,6.16E-03,ENSG00000179242,CDH4
2876,2.31E+02,6.9740513,0.6494153,10.738969,6.68E-27,1.83E-24,ENSG00000175806,MSRA
1303,9.87E+01,6.9501671,2.4159135,2.876828,4.02E-03,2.08E-02,ENSG00000127252,PLAAT1
3814,1.58E+02,6.923321,0.9190542,7.533093,4.96E-14,3.87E-12,ENSG00000258873,DUXA
1657,4.86E+01,6.9079313,1.9349994,3.569991,3.57E-04,2.91E-03,ENSG00000138100,TRIM54
2524,2.06E+01,6.9033454,1.8389375,3.753986,1.74E-04,1.61E-03,ENSG00000166670,MMP10
1825,2.91E+03,6.8575717,2.6319155,2.605544,9.17E-03,3.99E-02,ENSG00000143632,ACTA1
3451,8.91E+00,6.8512984,2.6068726,2.628168,8.58E-03,3.79E-02,ENSG00000198842,DUSP27
3512,2.83E+02,6.8246813,2.3064186,2.958995,3.09E-03,1.68E-02,ENSG00000204389,HSPA1A
94,7.70E+02,6.8049438,2.09008,3.255829,1.13E-03,7.44E-03,ENSG00000022267,FHL1
2957,8.57E+00,6.7885618,2.6362676,2.575065,1.00E-02,4.28E-02,ENSG00000178597,PSAPL1
2802,1.73E+01,6.7229745,2.4865623,2.703723,6.86E-03,3.18E-02,ENSG00000173432,SAA1
3525,8.83E+03,6.6628418,0.299069,22.278612,5.96E-110,1.99E-106,ENSG00000204469,PRRC2A
3582,9.96E+03,6.653096,0.3256318,20.431346,8.80E-93,1.63E-89,ENSG00000206503,HLA-A
1793,2.34E+01,6.5508631,2.3002765,2.847859,4.40E-03,2.24E-02,ENSG00000143028,SYPL2
1876,1.43E+01,6.5411047,2.1736349,3.009293,2.62E-03,1.47E-02,ENSG00000144771,LRTM1
3531,5.67E+03,6.5264871,0.2705252,24.125248,1.36E-128,5.67E-125,ENSG00000204525,HLA-C
1237,9.81E+01,6.5191734,2.000066,3.259479,1.12E-03,7.37E-03,ENSG00000124701,APOBEC2
2533,9.16E+00,6.5061683,2.1782705,2.98685,2.82E-03,1.56E-02,ENSG00000166862,CACNG2
3699,1.18E+01,6.5061681,1.9988649,3.254931,1.13E-03,7.45E-03,ENSG00000233608,TWIST2
3585,1.97E+01,6.4693417,1.8189229,3.556688,3.76E-04,3.04E-03,ENSG00000212710,CTAGE1
3728,6.74E+00,6.4666374,2.4221642,2.669777,7.59E-03,3.44E-02,ENSG00000241476,SSX2
3329,1.62E+01,6.4556301,1.8735806,3.445611,5.70E-04,4.26E-03,ENSG00000196581,AJAP1
2564,2.63E+03,6.4392316,0.4310459,14.938621,1.85E-50,1.19E-47,ENSG00000167608,TMC4
41,1.55E+01,6.4259956,2.2267648,2.885799,3.90E-03,2.04E-02,ENSG00000007171,NOS2
1977,1.33E+02,6.4119032,1.2792265,5.012328,5.38E-07,1.14E-05,ENSG00000148677,ANKRD1
318,3.34E+02,6.3834409,2.1070852,3.029512,2.45E-03,1.40E-02,ENSG00000077522,ACTN2
2483,7.91E+01,6.3777967,2.2396688,2.847652,4.40E-03,2.25E-02,ENSG00000165887,ANKRD2
1804,2.03E+02,6.3349912,2.2549306,2.809395,4.96E-03,2.47E-02,ENSG00000143318,CASQ1
2265,1.56E+01,6.2802582,1.8833433,3.334633,8.54E-04,5.93E-03,ENSG00000160801,PTH1R
2854,2.29E+03,6.2781768,2.4582246,2.553948,1.07E-02,4.48E-02,ENSG00000175084,DES
3665,1.67E+03,6.2395981,0.4117427,15.154121,7.12E-52,4.76E-49,ENSG00000223501,VPS52
1079,6.13E+02,6.2372858,1.0458886,5.963623,2.47E-09,9.16E-08,ENSG00000117479,SLC19A2
668,3.14E+01,6.179165,1.5897668,3.886837,1.02E-04,1.04E-03,ENSG00000104313,EYA1
1200,1.63E+02,6.139697,0.77791,7.892554,2.96E-15,2.64E-13,ENSG00000123342,MMP19
3308,2.70E+03,6.1346943,1.9229713,3.190216,1.42E-03,8.94E-03,ENSG00000196296,ATP2A1
