mainsite,origin,pdxid,sample_id,bulk_sid,bulk_original_sid
Metastasis,SupraSpinal,X08472112251,SA919X7XB05691,SA919X7XB05691,SA919X7XB05691
Primary,Primary,X08472112251,SA919X7XB05402,SA919X7XB05402,SA919X7XB05402
Metastasis,VentralSpinal,X08472112251,SA919X7XB05692,SA919X7XB05692,SA919X7XB05692
Primary,Primary,X08472112252,SA919X7XB05378,SA919X7XB05378,SA919X7XB05378
Metastasis,SupraSpinal,X08472112252,SA919X7XB05604,SA919X7XB05604,SA919X7XB05604
Primary,Primary,X0847216,SA919X3XB08939,SA919X3XB08939,SA_2403_AT9931
Primary,Primary,X08472164,SA919X4XB09563,SA919X4XB09563,SA_2406_AT9934
Metastasis,Axillary,X08472164,SA919X4XB40503,SA919X4XB40503,SA_2404_AT9932
Metastasis,VentralSpinal,X08472164,SA919X4XB40509,SA919X4XB40509,SA_2405_AT9933
Primary,Primary,X08472112253,SA919X7XB05298,,
Metastasis,VentralSpinal,X08472112253,SA919X7XB05588,,
Metastasis,VentralSpinal,X08472112254,SA919X7XB05608,,
Primary,Primary,X08472112254,SA919X7XB05289,,
Primary,Primary,X08472161,SA919X4XB09552,,
