,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
42,671.6169,-3.1746022,0.2712499,-11.703606,1.22E-31,1.41E-27,ENSG00000101439,CST3
77,290.5222,-1.866172,0.3843534,-4.855354,1.20E-06,9.22E-04,ENSG00000115457,IGFBP2
180,220.3456,-1.8182818,0.3853682,-4.718298,2.38E-06,1.24E-03,ENSG00000163207,IVL
179,11617.3835,-1.7784661,0.3224801,-5.514964,3.49E-08,5.74E-05,ENSG00000162896,PIGR
181,3333.0496,-1.7177603,0.3505134,-4.900699,9.55E-07,9.22E-04,ENSG00000163209,SPRR3
28,811.3488,-1.5162107,0.3075231,-4.930396,8.21E-07,9.22E-04,ENSG00000077274,CAPN6
117,1412.7645,-1.4652052,0.3817628,-3.837999,1.24E-04,1.64E-02,ENSG00000137331,IER3
204,553.104,-1.4306168,0.4254993,-3.362207,7.73E-04,4.08E-02,ENSG00000169020,ATP5ME
103,196.7873,-1.3983405,0.313973,-4.453696,8.44E-06,3.35E-03,ENSG00000130513,GDF15
229,13906.6661,-1.3952755,0.3944421,-3.537339,4.04E-04,3.10E-02,ENSG00000177954,RPS27
95,223.743,-1.3651267,0.3154696,-4.327285,1.51E-05,5.11E-03,ENSG00000124102,PI3
226,314.5772,-1.3554054,0.3564359,-3.802662,1.43E-04,1.79E-02,ENSG00000177335,C8orf31
211,754.458,-1.3500474,0.3428546,-3.937667,8.23E-05,1.26E-02,ENSG00000172382,PRSS27
144,604.6653,-1.3285797,0.405041,-3.280112,1.04E-03,4.61E-02,ENSG00000149582,TMEM25
223,6092.9004,-1.3252587,0.3834801,-3.455873,5.49E-04,3.51E-02,ENSG00000176046,NUPR1
120,306.7625,-1.324118,0.3354718,-3.947032,7.91E-05,1.26E-02,ENSG00000137868,STRA6
63,741.9913,-1.32086,0.3667151,-3.60187,3.16E-04,2.78E-02,ENSG00000111678,C12orf57
200,601.942,-1.3089492,0.3098899,-4.223916,2.40E-05,7.05E-03,ENSG00000167749,KLK4
52,700.6656,-1.3064116,0.2977915,-4.387,1.15E-05,4.13E-03,ENSG00000105655,ISYNA1
43,631.7705,-1.2845044,0.3677693,-3.492691,4.78E-04,3.29E-02,ENSG00000101670,LIPG
