,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
1449,2.84E+02,-23.7487104,5.94837476,-3.99247,6.54E-05,6.70E-04,ENSG00000132639,SNAP25
1216,1.05E+02,-22.3914849,5.94875028,-3.764065,1.67E-04,1.48E-03,ENSG00000123454,DBH
2205,2.25E+03,-5.6552273,0.29232181,-19.345896,2.21E-83,1.06E-79,ENSG00000160683,CXCR5
2147,8.61E+02,-5.594048,0.96969195,-5.768892,7.98E-09,2.92E-07,ENSG00000158022,TRIM63
3184,1.95E+02,-5.1851106,1.85248808,-2.798998,5.13E-03,2.43E-02,ENSG00000198336,MYL4
3117,8.52E+01,-5.1582597,1.28960353,-3.99988,6.34E-05,6.53E-04,ENSG00000196811,CHRNG
1179,1.23E+02,-4.6776953,0.95007469,-4.923503,8.50E-07,1.63E-05,ENSG00000122180,MYOG
17,2.19E+02,-4.6048803,0.5992751,-7.684084,1.54E-14,1.79E-12,ENSG00000004776,HSPB6
1462,2.40E+03,-4.5991677,1.08713019,-4.230558,2.33E-05,2.78E-04,ENSG00000133020,MYH8
1660,5.82E+01,-4.5987902,1.12502614,-4.087719,4.36E-05,4.72E-04,ENSG00000138136,LBX1
610,6.02E+02,-4.5780439,0.39648515,-11.546571,7.68E-31,5.84E-28,ENSG00000102109,PCSK1N
343,3.95E+02,-4.5024922,0.51376616,-8.763699,1.89E-18,4.26E-16,ENSG00000078328,RBFOX1
1267,5.62E+03,-4.386877,0.94483318,-4.643018,3.43E-06,5.36E-05,ENSG00000125414,MYH2
2346,2.64E+02,-4.3837884,0.69536243,-6.304322,2.89E-10,1.50E-08,ENSG00000164122,ASB5
856,2.36E+02,-4.2881844,0.7725265,-5.550857,2.84E-08,8.61E-07,ENSG00000111046,MYF6
894,1.49E+02,-4.2442535,0.72439761,-5.859011,4.66E-09,1.81E-07,ENSG00000112183,RBM24
1676,6.20E+02,-4.1953065,1.02046345,-4.111178,3.94E-05,4.33E-04,ENSG00000138435,CHRNA1
811,1.21E+03,-4.1715843,1.19912576,-3.478855,5.04E-04,3.71E-03,ENSG00000109063,MYH3
3163,1.16E+03,-4.1546508,0.35370136,-11.746211,7.39E-32,6.27E-29,ENSG00000197893,NRAP
2341,6.45E+01,-4.1528979,0.96595992,-4.299245,1.71E-05,2.14E-04,ENSG00000164093,PITX2
2480,2.62E+02,-4.111343,0.59535985,-6.905644,5.00E-12,3.78E-10,ENSG00000167549,CORO6
2684,6.26E+01,-4.1076087,0.99747708,-4.117998,3.82E-05,4.23E-04,ENSG00000172995,ARPP21
2620,4.06E+02,-4.0287572,0.55062144,-7.316746,2.54E-13,2.34E-11,ENSG00000170807,LMOD2
804,7.82E+01,-4.0106422,0.88561832,-4.528635,5.94E-06,8.58E-05,ENSG00000108823,SGCA
2426,8.72E+02,-3.9815803,0.78809272,-5.052172,4.37E-07,9.14E-06,ENSG00000165887,ANKRD2
2913,5.47E+03,-3.9683557,0.58537647,-6.779151,1.21E-11,8.39E-10,ENSG00000183091,NEB
2371,8.46E+02,-3.9353798,0.40673314,-9.675582,3.83E-22,1.54E-19,ENSG00000164708,PGAM2
555,2.60E+02,-3.9319878,0.59841631,-6.570656,5.01E-11,3.16E-09,ENSG00000100628,ASB2
3461,1.26E+04,-3.9201341,0.70718966,-5.543257,2.97E-08,8.90E-07,ENSG00000264424,MYH4
2529,8.15E+01,-3.8967054,0.98250453,-3.966094,7.31E-05,7.36E-04,ENSG00000168334,XIRP1
1658,5.08E+02,-3.848059,1.03456552,-3.719493,2.00E-04,1.71E-03,ENSG00000138100,TRIM54
1344,1.15E+03,-3.8301959,0.95808008,-3.997783,6.39E-05,6.58E-04,ENSG00000129170,CSRP3
809,1.71E+04,-3.826559,0.92037864,-4.157592,3.22E-05,3.66E-04,ENSG00000109061,MYH1
1916,3.95E+02,-3.8177473,1.12746309,-3.38614,7.09E-04,4.87E-03,ENSG00000147166,ITGB1BP2
43,1.31E+03,-3.7611346,0.76578893,-4.911451,9.04E-07,1.71E-05,ENSG00000006788,MYH13
2131,2.94E+02,-3.7406839,0.54248593,-6.895449,5.37E-12,4.00E-10,ENSG00000157119,KLHL40
1343,7.34E+01,-3.739628,1.06885059,-3.498738,4.67E-04,3.49E-03,ENSG00000129152,MYOD1
3016,1.25E+03,-3.6846107,0.6750307,-5.458434,4.80E-08,1.34E-06,ENSG00000186439,TRDN
