C_vs_B_DE_gene,connect_to_cis_gene,significant_pathway
NEB,VIM_NEB_0.922: direct_1st_layer,
MYBPC1,VIM_MYBPC1_0.908: direct_1st_layer,
MYL3,VIM_MYL3_0.906: direct_1st_layer,myogenesis
DES,VIM_DES_0.904: direct_1st_layer,myogenesis
ACTN2,VIM_ACTN2_0.902: direct_1st_layer,myogenesis
TF,VIM_TF_0.902: direct_1st_layer,
TNNI2,VIM_TNNI2_0.899: direct_1st_layer,myogenesis
MYBPC2,VIM_MYBPC2_0.899: direct_1st_layer,
TNNC2,VIM_TNNC2_0.899: direct_1st_layer,myogenesis
CEACAM6,VIM_CEACAM6_0.815: direct_1st_layer,
SPARC,VIM_SPARC_0.483: direct_1st_layer,myogenesis_emt
SOCS2,GHR_SOCS2_0.997: direct_1st_layer,
IGFBP3,GHR_IGFBP3_0.752: direct_1st_layer,myogenesis_emt
CD36,MED10_CD36_0.899: direct_1st_layer,myogenesis
PCK1,MED10_PCK1_0.899: direct_1st_layer,
PVALB,GAD2_PVALB_0.752: direct_1st_layer,myogenesis
TNNC1,SDHA_TNNC1_0.401: direct_1st_layer,myogenesis
MMP7,CDH6_MMP7_0.814: direct_1st_layer,
ACTA1,MYO3A_ACTA1_0.92: direct_1st_layer,myogenesis
CST3,PDZD2_CST3_0.621: direct_1st_layer,
HLA-DQB1,ZEB1_HLA-DQB1_0.8: direct_1st_layer,
HLA-DRA,ZEB1_HLA-DRA_0.8: direct_1st_layer,
CACNA1S,CACNB2_CACNA1S_0.921: direct_1st_layer,
ATP2A1,CACNB2_ATP2A1_0.567: direct_1st_layer,myogenesis
TMEM130,PLCXD3_TMEM130_0.411: direct_1st_layer,
AGT,ITIH2_AGT_0.714: direct_1st_layer,
FOXF2,TPPP_FOXF2_0.675: direct_1st_layer,
EGLN3,CUL2_EGLN3_0.933: direct_1st_layer,
COL1A1,ITGB1_COL1A1_0.969: direct_1st_layer,myogenesis_emt
COL5A2,ITGB1_COL5A2_0.915: direct_1st_layer,emt_angiogenesis
COL3A1,ITGB1_COL3A1_0.912: direct_1st_layer,myogenesis_emt_angiogenesis
COL1A2,ITGB1_COL1A2_0.91: direct_1st_layer,emt
COL5A1,ITGB1_COL5A1_0.91: direct_1st_layer,emt
LAMB1,ITGB1_LAMB1_0.906: direct_1st_layer,
COL6A3,ITGB1_COL6A3_0.906: direct_1st_layer,myogenesis_emt
FBN1,ITGB1_FBN1_0.904: direct_1st_layer,emt
LAMC3,ITGB1_LAMC3_0.903: direct_1st_layer,
