ens_gene_id,symbol,chr,tagwise_dispersion,gene_type
ENSG00000000003,TSPAN6,X,0.108,trans
ENSG00000000419,DPM1,20,0.119,trans
ENSG00000000457,SCYL3,1,0.137,trans
ENSG00000000460,C1orf112,1,0.142,trans
ENSG00000000938,FGR,1,0.389,trans
ENSG00000001036,FUCA2,6,0.178,trans
ENSG00000001084,GCLC,6,0.127,trans
ENSG00000001167,NFYA,6,0.239,trans
ENSG00000001460,STPG1,1,0.313,trans
ENSG00000001461,NIPAL3,1,0.216,trans
ENSG00000001497,LAS1L,X,0.109,trans
ENSG00000001561,ENPP4,6,0.128,trans
ENSG00000001617,SEMA3F,3,0.158,trans
ENSG00000001626,CFTR,7,1.481,trans
ENSG00000001629,ANKIB1,7,0.147,trans
ENSG00000001630,CYP51A1,7,0.179,trans
ENSG00000001631,KRIT1,7,0.118,trans
ENSG00000002016,RAD52,12,0.264,trans
ENSG00000002330,BAD,11,0.141,trans
ENSG00000002549,LAP3,4,0.211,trans
ENSG00000002586,CD99,X,0.345,trans
ENSG00000002587,HS3ST1,4,0.179,trans
ENSG00000002726,AOC1,7,0.323,trans
ENSG00000002745,WNT16,7,0.726,trans
ENSG00000002746,HECW1,7,0.609,trans
ENSG00000002822,MAD1L1,7,0.103,trans
ENSG00000002834,LASP1,17,0.205,trans
ENSG00000002919,SNX11,17,0.171,trans
ENSG00000002933,TMEM176A,7,1.024,trans
ENSG00000003056,M6PR,12,0.178,trans
ENSG00000003096,KLHL13,X,2.136,trans
ENSG00000003137,CYP26B1,2,0.24,trans
ENSG00000003147,ICA1,7,0.125,trans
ENSG00000003249,DBNDD1,16,0.087,trans
ENSG00000003393,ALS2,2,0.268,trans
ENSG00000003400,CASP10,2,0.215,trans
ENSG00000003402,CFLAR,2,0.187,trans
ENSG00000003436,TFPI,2,0.772,trans
ENSG00000003509,NDUFAF7,2,0.133,trans
ENSG00000003756,RBM5,3,0.189,trans
ENSG00000003987,MTMR7,8,0.227,trans
ENSG00000003989,SLC7A2,8,0.474,trans
ENSG00000004059,ARF5,7,0.107,trans
ENSG00000004139,SARM1,17,1.038,trans
ENSG00000004142,POLDIP2,17,0.126,trans
ENSG00000004399,PLXND1,3,0.183,trans
ENSG00000004455,AK2,1,0.175,trans
ENSG00000004468,CD38,4,0.329,trans
ENSG00000004478,FKBP4,12,0.202,trans
ENSG00000004487,KDM1A,1,0.246,trans
ENSG00000004534,RBM6,3,0.275,trans
ENSG00000004660,CAMKK1,17,0.237,trans
ENSG00000004700,RECQL,12,0.107,trans
ENSG00000004766,VPS50,7,0.173,trans
ENSG00000004776,HSPB6,19,1.455,trans
ENSG00000004777,ARHGAP33,19,0.299,trans
ENSG00000004779,NDUFAB1,16,0.162,trans
ENSG00000004799,PDK4,7,0.138,trans
ENSG00000004809,SLC22A16,6,0.547,trans
ENSG00000004838,ZMYND10,3,0.238,trans
ENSG00000004846,ABCB5,7,0.177,trans
ENSG00000004848,ARX,X,2.249,trans
ENSG00000004864,SLC25A13,7,0.174,trans
ENSG00000004866,ST7,7,0.104,trans
ENSG00000004897,CDC27,17,0.119,trans
ENSG00000004939,SLC4A1,17,0.212,trans
ENSG00000004961,HCCS,X,0.179,trans
ENSG00000004975,DVL2,17,0.207,trans
ENSG00000005001,PRSS22,16,0.139,trans
ENSG00000005007,UPF1,19,0.192,trans
ENSG00000005020,SKAP2,7,0.15,trans
ENSG00000005022,SLC25A5,X,0.091,trans
ENSG00000005059,MCUB,4,0.141,trans
ENSG00000005073,HOXA11,7,0.439,trans
ENSG00000005075,POLR2J,7,0.132,trans
ENSG00000005100,DHX33,17,0.258,trans
ENSG00000005102,MEOX1,17,0.425,trans
ENSG00000005108,THSD7A,7,0.384,trans
ENSG00000005156,LIG3,17,0.369,trans
ENSG00000005175,RPAP3,12,0.177,trans
ENSG00000005187,ACSM3,16,0.503,trans
ENSG00000005189,REXO5,16,0.167,trans
ENSG00000005194,CIAPIN1,16,0.144,trans
ENSG00000005238,ATOSB,9,0.147,trans
ENSG00000005243,COPZ2,17,0.265,trans
ENSG00000005249,PRKAR2B,7,0.174,trans
ENSG00000005302,MSL3,X,0.153,trans
