x,y,edge_type
IL2RA,GAB2,driver_cover_connected
IL2RA,STAT5A,driver_cover_connected
IL2RA,IKZF3,driver_cover_connected
IL2RA,SYK,driver_cover_connected
IL2RA,INPP5D,driver_cover_connected
IL2RA,IL17D,driver_cover_connected
IL2RA,STAT5B,driver_cover_connected
IL2RA,PTPN11,driver_cover_connected
DCLRE1C,MRE11,driver_cover_connected
DCLRE1C,NSD2,driver_cover_connected
DCLRE1C,MDC1,driver_cover_connected
DCLRE1C,POLL,driver_cover_connected
TERT,ESR1,driver_cover_connected
TERT,MTOR,driver_cover_connected
TERT,ANKRD28,driver_cover_connected
APBB1IP,PACSIN2,driver_cover_connected
APBB1IP,TLN2,driver_cover_connected
APBB1IP,ITGB3,driver_cover_connected
GTPBP4,NOP16,driver_cover_connected
GTPBP4,GNL3L,driver_cover_connected
AKR1C2,UGT2A1,driver_cover_connected
AKR1C2,AKR1C1,driver_cover_connected
PTGER4,GNB4,driver_cover_connected
PTGER4,CREB3L4,driver_cover_connected
PTGER4,CREB3L1,driver_cover_connected
