DOB,Transplant Date,,Transplant site,Age at transplant,Strain,Tumor ID,Patient ID,SA ID,Passage,Source type,Treatment naive/pre,Date of Dx,Age at Dx,Metastasis,Mets at Dx,Date of mets Dx,Mets site,SQL Barcode,Cage,Comments for surgery,Wound dehiscence,,,DLP ID,10X ID,Intrathoracic Mass,Histology,Cell suspension vol (ul),Last tumor palpation,,Next tumor palpation,,Primary tumor removal,12 wks from PTR,16 wks from PTR,Euthanize,PTR-Mets,Time to mets detection,PET/CT,Second surgery,8wks after PTR,Metastasis,metastatic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2017,2/7/18,R,SQ,8wks,NRG,X0028-121D13233,CBX028,SA609,,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2362,HL180207,"Tumor extremely soft & bloody, difficult to dissect. (collected for Hakwoo)",,,,,,,,,3/2/18,palpable,,,Euthenized (2018-03-05),,,3/5/18,,,,,,,,,1484.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2017,2/7/18,L,SQ,8wks,NRG,X0028-121D13234,CBX028,SA609,,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2363,HL180207,"Tumor extremely soft, highly vascularized, difficult to dissect, peritoneum punctured during dissection so euthenized",,,,,,,,,3/2/18,palpable,,,Euthenized (2018-03-06),,,3/6/18,,,, ,,,,,1093.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/6/18,R,MFP(fragment),13wks,NRG,X0028-121D132341,CBX028,SA609,10,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2444,HL180306,"Tumor highly vascularized, bleeding during surgery, not attached to skin, there's posibility of remnant MFP",,"Tumor relapse after 1wk of PTR, probably from remnant MFP./ 2nd surgery; tumor attached to skin, tumor and MFP removed, some bleeding","distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, tumor was firmly attached to skin, no intraperitoneal invasion",,,,,,3/27/18,non-palpable,4/3/18,4/3/18,4/3/18,,,5/11/18,,,,11/04/2018 (recurred tumor),5/29/18,no,,4/3/18,584.7,,,4/11/18,310.0 (recurred tumor),5/10/18,"604.7, 368.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/6/18,L,MFP(fragment),13wks,NRG,X0028-121D132342,CBX028,SA609,10,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2445,HL180306,"Tumor highly vascularized, tumor removed well with minor bleeding, small residual mammary gland was also removed.",,,,,,,,,22/07/2018,non-palpable,,5/3/18,5/3/18,7/26/18,8/23/18,8/27/18,,,8/22/18,,6/27/18,,,5/3/18,1080.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/6/18,B,MFP,13wks,NRG,X0028-121D132343,CBX028,SA609,10,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2446,HL180306,"Matrigel leaked during injection/ Tumor highly vascularized, not attached to skin, minor bleeding during removal",,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, huge relapsed tumor invading into peritoneal cavity",,,,,,4/3/18,non-palpable,,4/3/18,4/9/18,,,5/11/18,,,,,6/4/18,no,,4/5/18,104.4,4/9/18,694.2,,,5/10/18,1370.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/6/18,N,MFP,13wks,NRG,X0028-121D132344,CBX028,SA609,10,Primary tumor,Naive,4-Jun-08,43,Yes,No,28-Mar-13,Bone,2447,HL180306,"Matrigel leaked during injection/ not attached to skin, minor bleeding during removal, MFP removed",,"Tumor relapse after 1wk of PTR, probably from remnant MFP./ 2nd surgery; tumor attached to flank, about 2x3mm, peritoneum opened while removing the tumor, bleeding(+), only subq and skin closed because peritoneum was difficult to identify.","distant organ(brain, lung, liver) harvested, grossly clean without metastasis, tumor was firmly attached to skin, no intraperitoneal invasion",,,,,,4/9/18,palpable,,4/9/18,4/10/18,,,5/11/18,,,,17/04/2018 (recurred tumor),6/5/18,no,,4/10/18,461.3,4/17/18,palpable (recurred tumor),,,5/10/18,"587.6, 346.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/12/18,R,MFP,13wks,NRG,X0046-3301,CBX046,SA605,4,Primary tumor,Naive,11-Oct-13,64,Yes,No,24-Nov-14,"Bone, Liver",2461,HL180312,Matrigel leaked during injection,,,,,,,,300,22/07/2018,non-palpable,5/23/18,,,,,1/3/19,,42 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/12/18,R,MFP,13wks,NRG,X0046-3301,CBX046,SA605,4,Primary tumor,Naive,11-Oct-13,64,Yes,No,24-Nov-14,"Bone, Liver",2461,HL180312,"Matrigel leaked during injection, minor wound dehiscence",minor wound dehiscence,,no organ collection,,,,,300,22/07/2018,non-palpable,5/23/18,,,,,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/12/18,L,MFP,13wks,NRG,X0046-3302,CBX046,SA605,4,Primary tumor,Naive,11-Oct-13,64,Yes,No,24-Nov-14,"Bone, Liver",2462,HL180312,Matrigel leaked during injection,,,"distant organ(brain, lung, liver, inguinal LN_fatpad) harvested, grossly clean without metastasis, enlarged spleen/ FFPE, FFx2,VFx2 for brain, lung, liver",,,,"Negative for metastasis in liver, lung, brain.",300,5/16/18,grainy palpable,5/23/18,5/24/18,7/25/18,10/17/18,11/14/18,12/7/18,,,11/7/18,,,,,5/24/18,14.0,5/28/18,16.4,5/31/18,25.5,04/06/2018,25.5,6/7/18,80,6/11/18,84.2,6/14/18,116.3,6/18/18,150.4,6/21/18,225.8,6/25/18,267.4,6/28/18,290.4,7/3/18,316.1,7/9/18,432.6,7/12/18,643.3,7/16/18,652.5,19/07/2018,704.5,7/23/18,832.4,7/25/18,1183.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017,3/12/18,B,MFP,13wks,NRG,X0046-3303,CBX046,SA605,4,Primary tumor,Naive,11-Oct-13,64,Yes,No,24-Nov-14,"Bone, Liver",2463,HL180312,,,,"distant organ(brain, lung, liver), grossly clean without metastasis, huge spleen",,,,"Micrometastasis in lung (poor fixation). No metastatic cells in liver, brain.",300,22/07/2018,non-palpable,5/23/18,,9/16/18,11/11/18,12/9/18,1/3/19,,42 weeks,,,,,,,,7/19/18,63.8,7/23/18,74.1,7/26/18,97.8,7/30/18,97.8,8/2/18,97.8,8/7/18,129.9,8/9/18,138.4,8/13/18,145.9,8/16/18,213,8/20/18,224.5,8/23/18,282.3,8/28/18,300.2,8/30/18,353.8,9/4/18,457.7,9/6/18,530,9/10/18,540.2,9/13/18,854.2,9/16/18,1195.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
