sample_id,mainsite,origin,pdxid,note,experiment,SA_ID,AT Barcode _LC_ID,library_uid,Experiment_condition,XP UID,QC Ax UID
SA919X7XB05691,Metastasis,SupraSpinal,X0847-2112251,,main_experiment,SA919,58686-BB,A96204B,A,XP10743,AX8565
SA919X7XB05691,Metastasis,SupraSpinal,X0847-2112251,,main_experiment,SA919,58686-BB,A96204B,B,XP10743,AX8608
SA919X7XB05402,Primary,Primary,X0847-2112251,,main_experiment,SA919,58688-BB,A96200A,A,XP10618,AX8609
SA919X7XB05692,Metastasis,VentralSpinal,X0847-2112251,,main_experiment,SA919,58687-BB,A96229A,A,XP10744,AX8611
SA919X7XB05692,Metastasis,VentralSpinal,X0847-2112251,,main_experiment,SA919,58687-BB,A96229A,B,XP10744,AX8612
SA919X7XB05378,Primary,Primary,X0847-2112252,,main_experiment,SA919,58689-BB,A96117B,A,XP10844,AX8613
SA919X7XB05604,Metastasis,SupraSpinal,X0847-2112252,,main_experiment,SA919,58690-BB,A96117A,A,XP10833,AX8614
SA919X3XB08939,Primary,Primary,X0847-216,,main_experiment,SA919,58693-BB,A98232B,A,XP10857,AX8615
SA919X3XB08939,Primary,Primary,X0847-216,,main_experiment,SA919,58693-BB,A98306A,A,XP10715,AX8616
SA919X4XB09563,Primary,Primary,X0847-2164,,main_experiment,SA919,58700-BB,A98261B,A,XP10765,AX8617
SA919X4XB40503,Metastasis,Axillary,X0847-2164,,main_experiment,SA919,58694-BB,A98217B,A,XP10913,AX8618
SA919X4XB40509,Metastasis,VentralSpinal,X0847-2164,,main_experiment,SA919,58695-BB,A98217A,A,XP10859,AX8619
SA919X7XB05298,Primary,Primary,X0847-2112253,,main_experiment,SA919,58698-BB,A98300B,A,XP10728,AX8620
SA919X7XB05588,Metastasis,VentralSpinal,X0847-2112253,,main_experiment,SA919,58691-BB,A98290A,A,XP10689,AX8621
SA919X7XB05588,Metastasis,VentralSpinal,X0847-2112253,,main_experiment,SA919,58691-BB,A98299A,A,XP10628,AX8622
SA919X7XB05298,Primary,Primary,X0847-2112253,,main_experiment,SA919,58764-BB,A98236A,A,XP10908,AX7077
SA919X7XB05298,Primary,Primary,X0847-2112253,,main_experiment,SA919,58698-BB,A98236A,B,XP10908,AX8623
SA919X7XB05608,Metastasis,VentralSpinal,X0847-2112254,,main_experiment,SA919,58692-BB,A98293A,A,XP10714,AX8624
SA919X7XB05289,Primary,Primary,X0847-2112254,,main_experiment,SA919,58766-BB,A98181A,A,XP10762,AX7078
SA919X7XB05289,Primary,Primary,X0847-2112254,,main_experiment,SA919,58699-BB,A98181A,B,XP10762,AX8625
SA919X4XB09552,Primary,Primary,X0847-2161,,main_experiment,SA919,58697-BB,A108836B,A,XP11141,AX8626
AT11424,Primary,Primary,X0847-216421122521,,mixing_experiment,SA919,AT11424,A130839B,A,XP11523,AX8627
AT13696,Metastasis,Axillary,X0847-216421122521,,mixing_experiment,SA919,AT13696,A130854B,A,XP11548,AX8628
AT13692,Metastasis,Lumbar,X0847-216421122521,,mixing_experiment,SA919,AT13692,A130854A,A,XP11547,AX8629
AT13688,Metastasis,Anterior_Neck,X0847-216421122521,,mixing_experiment,SA919,AT13688,A138912A,A,XP11549,AX8630
AT13684,Metastasis,Posterior_Neck,X0847-216421122521,,mixing_experiment,SA919,AT13684,A138912B,A,XP11550,AX8631
AT11344,Primary,Primary,X0847-216421122524,,mixing_experiment,SA919,AT11344,A138959A,A,XP11567,AX8632
AT13638,Metastasis,Anterior_Neck,X0847-216421122524,,mixing_experiment,SA919,AT13638,A138963A,A,XP11565,AX8633
AT13634,Metastasis,Posterior_Neck,X0847-216421122524,,mixing_experiment,SA919,AT13634,A138963B,A,XP11566,AX8634
AT11417,Primary,Primary,X0847-216421122538,,mixing_experiment,SA919,AT11391,A98166B,A,XP10687,AX8635
AT13752,Metastasis,Axillary,X0847-216421122538,,mixing_experiment,SA919,AT13752,A130841B,A,XP11525,AX8636
AT11368,Primary,Primary,X0847-216421122537,,mixing_experiment,SA919,AT11367,A98166A,A,XP11302,AX8637
AT13700,Metastasis,Lumbar,X0847-216421122537,,mixing_experiment,SA919,AT13700,A130841A,A,XP11524,AX8638
AT13582,Primary,Primary,X0847-21122516,,mixing_experiment,SA919,AT13582,A138967B,A,XP11544,AX8639
AT13804,Metastasis,Posterior_Neck,X0847-21122516,,mixing_experiment,SA919,AT13804,A138895B,A,XP11538,AX8640
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,12968-CL,A98254A,A,XP10721,AX8641
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98254A,B,XP10721,AX8642
SA535X4XB05985,Metastasis,Axillary,X0011-2364,,main_experiment,SA535,57993-BB,A118855A,A,XP11172,AX8643
SA535X4XB05985,Metastasis,Axillary,X0011-2364,,main_experiment,SA535,58534-BB,A118855A,B,XP11172,AX8644
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58541-BB,A98244A,A,XP11136,AX9012
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98244A,B,XP11136,AX8645
SA535X4XB05391,Primary,Primary,X0011-2361,,main_experiment,SA535,58519-BB,A96201B,A,XP10811,AX8646
SA535X4XB05730,Metastasis,Tumor_Recur,X0011-2361,,main_experiment,SA535,58522-BB,A95721B,A,XP11087,AX8647
SA535X4XB05723,Metastasis,Axillary,X0011-2361,,main_experiment,SA535,58520-BB,A95731A,A,XP10789,AX8648
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58528-BB,A98232A,A,XP10856,AX8649
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58528-BB,A98277B,A,XP10699,AX8650
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58528-BB,A98261A,A,XP10854,AX8651
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58528-BB,A98197B,A,XP10884,AX8652
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58528-BB,A98165A,A,XP10782,AX8653
SA535X4XB05649,Primary,Primary,X0011-2362,,main_experiment,SA535,58496-BB,A98165A,B,XP10782,AX8654
SA535X4XB09106,Metastasis,Right_Axillary,X0011-2362,,main_experiment,SA535,58523-BB,A96121A,A,XP10930,AX8655
SA535X4XB09106,Metastasis,Right_Axillary,X0011-2362,,main_experiment,SA535,58523-BB,A96253A,A,XP10878,AX8656
SA535X4XB09113,Metastasis,Inguinal,X0011-2362,,main_experiment,SA535,58531-BB,A98269A,A,XP10666,AX8657
SA535X4XB09113,Metastasis,Inguinal,X0011-2362,,main_experiment,SA535,58531-BB,A98194B,A,XP10707,AX8658
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98277A,A,XP10679,AX8659
SA535X4XB09109,Metastasis,Left_Axillary,X0011-2362,,main_experiment,SA535,58529-BB,A98197A,A,XP10785,AX8660
SA535X4XB05462,Primary,Primary,X0011-2363,,main_experiment,SA535,58530-BB,A98194A,A,XP10706,AX8661
