bulk_sid,sample_id,mainsite,origin,pdxid,experiment,SA_ID
SA919X3XB08939,SA919X3XB08939,Primary,Primary,X0847-216,main_experiment,SA919
SA919X4XB09563,SA919X4XB09563,Primary,Primary,X0847-2164,main_experiment,SA919
SA919X4XB40503,SA919X4XB40503,Metastasis,Axillary,X0847-2164,main_experiment,SA919
SA919X4XB40509,SA919X4XB40509,Metastasis,VentralSpinal,X0847-2164,main_experiment,SA919
SA919X7XB05691,SA919X7XB05691,Metastasis,SupraSpinal,X0847-2112251,main_experiment,SA919
SA919X7XB05402,SA919X7XB05402,Primary,Primary,X0847-2112251,main_experiment,SA919
SA919X7XB05692,SA919X7XB05692,Metastasis,VentralSpinal,X0847-2112251,main_experiment,SA919
SA919X7XB05378,SA919X7XB05378,Primary,Primary,X0847-2112252,main_experiment,SA919
SA919X7XB05604,SA919X7XB05604,Metastasis,SupraSpinal,X0847-2112252,main_experiment,SA919
AT22909,AT13804,Metastasis,PosteriorNeck,X0847-21122516,mixing_experiment,SA919
AT22908,AT13582,Primary,Primary,X0847-21122516,mixing_experiment,SA919
AT24184,AT13688,Metastasis,AnteriorNeck,X0847-216421122521,mixing_experiment,SA919
AT24185,AT13696,Metastasis,Axillary,X0847-216421122521,mixing_experiment,SA919
AT22911,AT13692,Metastasis,Lumbar,X0847-216421122521,mixing_experiment,SA919
AT24181,AT13684,Metastasis,PosteriorNeck,X0847-216421122521,mixing_experiment,SA919
AT24180,AT11424,Primary,Primary,X0847-216421122521,mixing_experiment,SA919
AT23065,AT13634,Metastasis,PosteriorNeck,X0847-216421122524,mixing_experiment,SA919
AT23064,AT11344,Primary,Primary,X0847-216421122524,mixing_experiment,SA919
AT24182,AT13700,Metastasis,Lumbar,X0847-216421122537,mixing_experiment,SA919
AT22910,AT11367,Primary,Primary,X0847-216421122537,mixing_experiment,SA919
AT24179,AT13752,Metastasis,Axillary,X0847-216421122538,mixing_experiment,SA919
AT24183,AT11391,Primary,Primary,X0847-216421122538,mixing_experiment,SA919
