clone_id,pct_cells,library_id,mainsite,transplanted_mouse
A,82.258064516129,A130839B,Primary,04342 - primary
C,17.741935483871,A130839B,Primary,04342 - primary
C,100,A130854B,Metastasis,04342 - axillary
C,100,A130854A,Metastasis,04342 - lumbar
C,100,A138912A,Metastasis,04342 - anterior neck
C,5.04065040650407,A138912B,Metastasis,04342 - posterior neck
C10,94.9593495934959,A138912B,Metastasis,04342 - posterior neck
A,81.664656212304,A138959A,Primary,04345 - primary
C,18.335343787696,A138959A,Primary,04345 - primary
C,100,A138963A,Metastasis,04345 - anterior neck
C,100,A138963B,Metastasis,04345 - posterior neck
A,55.9322033898305,A98166B,Primary,04334 - primary
A01,26.6949152542373,A98166B,Primary,04334 - primary
B,17.3728813559322,A98166B,Primary,04334 - primary
A,97.2027972027972,A130841B,Metastasis,04334 - axillary
A02,2.7972027972028,A130841B,Metastasis,04334 - axillary
A,94.6768060836502,A98166A,Primary,04333 - primary
C,5.32319391634981,A98166A,Primary,04333 - primary
C,96.4114832535885,A130841A,Metastasis,04333 - lumbar
C11,3.58851674641148,A130841A,Metastasis,04333 - lumbar
B0,7.18562874251497,A138967B,Primary,04410 - primary
C,87.8243512974052,A138967B,Primary,04410 - primary
C0,4.99001996007984,A138967B,Primary,04410 - primary
C,100,A138895B,Metastasis,04410 - posterior neck
