library_id,median_nreads_per_cell,std_nreads_per_cell,median_coverage_depth,std_coverage_depth,median_coverage_breadth,std_coverage_breadth,median_quality,std_quality
A108836B,1747049.5,415419.370529784,0.042865,0.00834199304031209,0.0407005638900561,0.00765403016632821,1,0.00800499843847581
A96117A,817928.5,197471.397031882,0.014681,0.00380332770628199,0.014217243293844,0.00361475041734483,0.998,0.0109319076662188
A96117B,1817943,473376.126178372,0.042653,0.0132735741700212,0.0403620899995,0.012138155705266,1,0.00924441999697188
A96200A,3177032,1183392.22751452,0.07671,0.0296861423310982,0.0711014727612619,0.0261995075501081,0.996,0.0245472314878698
A96204B,1185311,384136.773191418,0.0253245,0.00805474521823582,0.0242353786045063,0.00751800376800744,1,0.010512448267378
A96229A,1624182,416020.008063142,0.022359,0.00744095184711722,0.021349043728993,0.00689952637831561,0.988,0.0438593513182671
A98181A,3765173.5,1588864.2942563,0.0933745,0.0372433831804198,0.0858132827991,0.0328712404200566,0.998,0.0224481149875028
A98217A,747681.5,129662.024692192,0.020355,0.00329426512341699,0.0195337989217211,0.00311057152004832,1,0.018569257891478
A98217B,962671,177224.859629348,0.024912,0.00474384607737074,0.0238102851314519,0.00443762631036946,1,0.00269226772432379
A98232B,2280466,689315.1108017,0.0618295,0.0181290022936476,0.0580766314222223,0.0165968346111375,1,0.0189946408255196
A98236A,2618657.5,844545.471054279,0.0688795,0.0202449515436426,0.0645383437528294,0.0183986349414716,1,0.0113819985301521
A98261B,1049245.5,359141.183841189,0.0293725,0.00928667894955784,0.0279671499827476,0.00869291720347074,0.998,0.0325757690310035
A98290A,1432926.5,354138.839471193,0.031939,0.00848517851911551,0.0304044016286801,0.00791305582189845,1,0.000598765448679673
A98293A,1958758,610519.780174555,0.042845,0.00766644517503704,0.0407276179252,0.0069128411029868,0.998,0.0121842990301922
A98299A,1214973.5,275572.46301049,0.028713,0.00556430192511818,0.02750384648995,0.00521277810846941,1,0.0123474519078772
A98300B,2002450,632366.959393981,0.051036,0.0149502207523574,0.0482487243337753,0.013760943534602,1,0.0011085320429173
A98306A,3177275.5,1123875.46959286,0.080455,0.0260988418434606,0.0747718442486535,0.0234909011492574,1,0.0129613668327626
