library_id,sample,ncells
A98254A,SA535X4XB09109,24
A118855A,SA535X4XB05985,0
A98244A,SA535X4XB09109,113
A96201B,SA535X4XB05391,339
A95721B,SA535X4XB05730,270
A95731A,SA535X4XB05723,123
A98232A,SA535X4XB05649,27
A98277B,SA535X4XB05649,15
A98261A,SA535X4XB05649,47
A98197B,SA535X4XB05649,139
A98165A,SA535X4XB05649,515
A96121A,SA535X4XB09106,240
A96253A,SA535X4XB09106,108
A98269A,SA535X4XB09113,275
A98194B,SA535X4XB09113,145
A98277A,SA535X4XB09109,64
A98197A,SA535X4XB09109,56
A98194A,SA535X4XB05462,2
A98169A,SA535X4XB05462,127
A98174A,SA535X4XB05462,147
A98282B,SA535X4XB05662,49
A98296A,SA535X4XB05662,5
A98296A,SA535X4XB05667,48
A98294B,SA535X4XB05667,11
A98169B,SA535X4XB05667,51
A95697A,SA535X4XB02498,46
A98163A,SA535X4XB02498,297
A98210A,SA535X4XB02498,303
A98262A,SA535X4XB05985,0
A98303B,SA535X4XB05985,0
A98262B,SA535X4XB05989,77
A98303A,SA535X4XB05989,274
