library_id,jira_ticket
A98254A,SC-3143
A118855A,SC-4141
A98244A,SC-3658
A96201B,SC-3784
A95721B,SC-2912
A95731A,SC-3003
A98232A,SC-3173
A98277B,SC-2716
A98261A,SC-3213
A98197B,SC-3403
A98165A,SC-3377
A96121A,SC-3070
A96253A,SC-3010
A98269A,SC-2913
A98194B,SC-2914
A98277A,SC-2705
A98197A,SC-3409
A98194A,SC-2718
A98169A,SC-3312
A98174A,SC-3553
A98282B,SC-2771
A98296A,SC-2772
A98296A,SC-2772
A98294B,SC-2732
A98169B,SC-3310
A95697A,SC-2744
A98163A,SC-3264
A98210A,SC-3580
A98262A,SC-2785
A98303B,SC-3572
A98262B,SC-2735
A98303A,SC-3894
