library_id,sample,ncells
A98254A,SA535X4XB09109,321
A118855A,SA535X4XB05985,143
A98244A,SA535X4XB09109,254
A96201B,SA535X4XB05391,1311
A95721B,SA535X4XB05730,993
A95731A,SA535X4XB05723,806
A98232A,SA535X4XB05649,868
A98277B,SA535X4XB05649,854
A98261A,SA535X4XB05649,938
A98197B,SA535X4XB05649,840
A98165A,SA535X4XB05649,1581
A96121A,SA535X4XB09106,835
A96253A,SA535X4XB09106,532
A98269A,SA535X4XB09113,762
A98194B,SA535X4XB09113,723
A98277A,SA535X4XB09109,521
A98197A,SA535X4XB09109,407
A98194A,SA535X4XB05462,806
A98169A,SA535X4XB05462,1041
A98174A,SA535X4XB05462,1308
A98282B,SA535X4XB05662,924
A98296A,SA535X4XB05662,226
A98296A,SA535X4XB05667,663
A98294B,SA535X4XB05667,1019
A98169B,SA535X4XB05667,630
A95697A,SA535X4XB02498,819
A98163A,SA535X4XB02498,1036
A98210A,SA535X4XB02498,1003
A98262A,SA535X4XB05985,1183
A98303B,SA535X4XB05985,580
A98262B,SA535X4XB05989,841
A98303A,SA535X4XB05989,846
