clone_id,pct_cells,mainsite,transplanted_mouse
A,4.69798657718121,Primary,M2112251_X7_Primary
B,95.3020134228188,Primary,M2112251_X7_Primary
A,2.1505376344086,Metastasis,M2112252_X7_SupraSpinal
B,9.67741935483871,Metastasis,M2112252_X7_SupraSpinal
C,88.1720430107527,Metastasis,M2112252_X7_SupraSpinal
A,99.6820349761526,Metastasis,M2164_X4_Axillary
B,0.317965023847377,Metastasis,M2164_X4_Axillary
A,98.8095238095238,Primary,M2164_X4_Primary
B,1.19047619047619,Primary,M2164_X4_Primary
A,0.512104283054002,Primary,M2112253_X7_Primary
B,23.463687150838,Primary,M2112253_X7_Primary
C,1.02420856610801,Primary,M2112253_X7_Primary
