transplanted_mouse,Expected,Achieved Results,prop_cell_clones
04342 - primary,1A : 1C,1.64A : 0.06B : 0.3C,A-82.26_C-17.74
04342 - axillary,1A : 1C,"",C-100
04342 - lumbar,1A : 1C,"",C-100
04342 - anterior neck,1A : 1C,"",C-100
04342 - posterior neck,1A : 1C,"",C-5.04_C1-94.96
04345 - primary,1A : 1C,"",A-81.66_C-18.34
04345 - anterior neck,1A : 1C,"",C-100
04345 - posterior neck,1A : 1C,"",C-100
04334 - primary,1A : 0.25B,1(A+ A1) : 0.25B,A-55.93_A0-26.69_B-17.37
04334 - axillary,1A : 0.25B,0.03A : 1.21B,A-97.2_A0-2.8
04333 - primary,1A : 0.25B,1A : 0.05B : 0.2 C,A-94.68_C-5.32
04333 - lumbar,1A : 0.25B,1.25 (C+C1),C-96.41_C1-3.59
04410 - primary,1B:1C,"",B0-7.19_C-87.82_C0-4.99
04410 - posterior neck,1B:1C,"",C-100
