"","library_id","grouping","mainsite","origin","pdxid","sample_id","jira_ticket"
"1","A98254A","A98254A","Metastasis","Left_Axillary","X0011_2362","SA535X4XB09109","SC-3143"
"2","A118855A","A118855A","Metastasis","Axillary","X0011_2364","SA535X4XB05985","SC-4141"
"3","A98244A","A98244A","Metastasis","Left_Axillary","X0011_2362","SA535X4XB09109","SC-3658"
"4","A96201B","A96201B","Primary","Primary","X0011_2361","SA535X4XB05391","SC-3784"
"5","A95721B","A95721B","Metastasis","Tumor_Recur","X0011_2361","SA535X4XB05730","SC-2912"
"6","A95731A","A95731A","Metastasis","Axillary","X0011_2361","SA535X4XB05723","SC-3003"
"7","A98232A","A98232A","Primary","Primary","X0011_2362","SA535X4XB05649","SC-3173"
"8","A98277B","A98277B","Primary","Primary","X0011_2362","SA535X4XB05649","SC-2716"
"9","A98261A","A98261A","Primary","Primary","X0011_2362","SA535X4XB05649","SC-3213"
"10","A98197B","A98197B","Primary","Primary","X0011_2362","SA535X4XB05649","SC-3403"
"11","A98165A","A98165A","Primary","Primary","X0011_2362","SA535X4XB05649","SC-3377"
"12","A96121A","A96121A","Metastasis","Right_Axillary","X0011_2362","SA535X4XB09106","SC-3070"
"13","A96253A","A96253A","Metastasis","Right_Axillary","X0011_2362","SA535X4XB09106","SC-3010"
"14","A98269A","A98269A","Metastasis","Inguinal","X0011_2362","SA535X4XB09113","SC-2913"
"15","A98194B","A98194B","Metastasis","Inguinal","X0011_2362","SA535X4XB09113","SC-2914"
"16","A98277A","A98277A","Metastasis","Left_Axillary","X0011_2362","SA535X4XB09109","SC-2705"
"17","A98197A","A98197A","Metastasis","Left_Axillary","X0011_2362","SA535X4XB09109","SC-3409"
"18","A98194A","A98194A","Primary","Primary","X0011_2363","SA535X4XB05462","SC-2718"
"19","A98169A","A98169A","Primary","Primary","X0011_2363","SA535X4XB05462","SC-3312"
"20","A98174A","A98174A","Primary","Primary","X0011_2363","SA535X4XB05462","SC-3553"
"21","A98282B","A98282B","Metastasis","Tumor_Recur","X0011_2363","SA535X4XB05662","SC-2771"
"22","A98296A_SA535X4XB05662","A98296A","Metastasis","Tumor_Recur","X0011_2363","SA535X4XB05662","SC-2772"
"23","A98296A_SA535X4XB05667","A98296A","Metastasis","Axillary","X0011_2363","SA535X4XB05667","SC-2772"
"24","A98294B","A98294B","Metastasis","Axillary","X0011_2363","SA535X4XB05667","SC-2732"
"25","A98169B","A98169B","Metastasis","Axillary","X0011_2363","SA535X4XB05667","SC-3310"
"26","A95697A","A95697A","Primary","Primary","X0011_2364","SA535X4XB02498","SC-2744"
"27","A98163A","A98163A","Primary","Primary","X0011_2364","SA535X4XB02498","SC-3264"
"28","A98210A","A98210A","Primary","Primary","X0011_2364","SA535X4XB02498","SC-3580"
"29","A98262A","A98262A","Metastasis","Axillary","X0011_2364","SA535X4XB05985","SC-2785"
"30","A98303B","A98303B","Metastasis","Axillary","X0011_2364","SA535X4XB05985","SC-3572"
"31","A98262B","A98262B","Metastasis","Inguinal","X0011_2364","SA535X4XB05989","SC-2735"
"32","A98303A","A98303A","Metastasis","Inguinal","X0011_2364","SA535X4XB05989","SC-3894"
