,library_id,jira_ticket
0,A98254A,SC-3143
1,A118855A,SC-4141
2,A98244A,SC-3658
3,A96201B,SC-3784
4,A95721B,SC-2912
5,A95731A,SC-3003
6,A98232A,SC-3173
7,A98277B,SC-2716
8,A98261A,SC-3213
9,A98197B,SC-3403
10,A98165A,SC-3377
11,A96121A,SC-3070
12,A96253A,SC-3010
13,A98269A,SC-2913
14,A98194B,SC-2914
15,A98277A,SC-2705
16,A98197A,SC-3409
17,A98194A,SC-2718
18,A98169A,SC-3312
19,A98174A,SC-3553
20,A98282B,SC-2771
21,A98294B,SC-2732
22,A98169B,SC-3310
23,A95697A,SC-2744
24,A98163A,SC-3264
25,A98210A,SC-3580
26,A98262A,SC-2785
27,A98303B,SC-3572
28,A98262B,SC-2735
29,A98303A,SC-3894
