,library_id,jira_ticket,available_breakpoints,available_haplotype,available_variant_calling,available_snv_genotyping
0,A98254A,SC-3143,TRUE,TRUE,TRUE,TRUE
1,A118855A,SC-4141,TRUE,TRUE,TRUE,TRUE
2,A98244A,SC-3658,TRUE,TRUE,TRUE,TRUE
3,A96201B,SC-3784,TRUE,TRUE,TRUE,TRUE
4,A95721B,SC-2912,TRUE,TRUE,TRUE,TRUE
5,A95731A,SC-3003,TRUE,TRUE,TRUE,TRUE
6,A98232A,SC-3173,TRUE,TRUE,TRUE,TRUE
7,A98277B,SC-2716,TRUE,TRUE,TRUE,TRUE
8,A98261A,SC-3213,TRUE,TRUE,TRUE,TRUE
9,A98197B,SC-3403,TRUE,TRUE,TRUE,TRUE
10,A98165A,SC-3377,TRUE,TRUE,TRUE,TRUE
11,A96121A,SC-3070,TRUE,TRUE,TRUE,TRUE
12,A96253A,SC-3010,TRUE,TRUE,TRUE,TRUE
13,A98269A,SC-2913,TRUE,TRUE,TRUE,TRUE
14,A98194B,SC-2914,TRUE,TRUE,TRUE,TRUE
15,A98277A,SC-2705,TRUE,TRUE,TRUE,TRUE
16,A98197A,SC-3409,TRUE,TRUE,TRUE,TRUE
17,A98194A,SC-2718,TRUE,TRUE,TRUE,TRUE
18,A98169A,SC-3312,TRUE,TRUE,TRUE,TRUE
19,A98174A,SC-3553,TRUE,TRUE,TRUE,TRUE
20,A98282B,SC-2771,TRUE,TRUE,TRUE,TRUE
21,A98296A,SC-2772,TRUE,TRUE,TRUE,TRUE
22,A98296A,SC-2772,TRUE,TRUE,TRUE,TRUE
23,A98294B,SC-2732,TRUE,TRUE,TRUE,TRUE
24,A98169B,SC-3310,TRUE,TRUE,TRUE,TRUE
25,A95697A,SC-2744,TRUE,TRUE,TRUE,TRUE
26,A98163A,SC-3264,TRUE,TRUE,TRUE,TRUE
27,A98210A,SC-3580,TRUE,TRUE,FALSE,FALSE
28,A98262A,SC-2785,TRUE,TRUE,TRUE,TRUE
29,A98303B,SC-3572,TRUE,TRUE,TRUE,TRUE
30,A98262B,SC-2735,TRUE,TRUE,TRUE,TRUE
31,A98303A,SC-3894,TRUE,TRUE,TRUE,TRUE
