library_id,jira_ticket,available_breakpoints,available_haplotype,available_variant_calling,available_snv_genotyping,snv_prediction
A96201B,SC-3784,True,True,True,True,AVAIL
A95721B,SC-2912,True,True,True,True,UNCHECK
A95731A,SC-3003,True,True,True,True,UNCHECK
A98232A,SC-3173,True,True,True,True,UNCHECK
A98277B,SC-2716,True,True,True,True,UNCHECK
A98261A,SC-3213,True,True,True,True,UNCHECK
A98197B,SC-3403,True,True,True,True,UNCHECK
A98165A,SC-3377,True,True,True,True,UNCHECK
A96121A,SC-3070,True,True,True,True,UNCHECK
A96253A,SC-3010,True,True,True,True,UNCHECK
A98269A,SC-2913,True,True,True,True,UNCHECK
A98194B,SC-2914,True,True,True,True,UNCHECK
A98277A,SC-2705,True,True,True,True,UNCHECK
A98197A,SC-3409,True,True,True,True,UNCHECK
A98194A,SC-2718,True,True,True,True,UNCHECK
A98169A,SC-3312,True,True,True,True,UNCHECK
A98174A,SC-3553,True,True,True,True,UNCHECK
A98282B,SC-2771,True,True,True,True,UNCHECK
A98296A,SC-2772,True,True,True,True,UNCHECK
A98294B,SC-2732,True,True,True,True,UNCHECK
A95697A,SC-2744,True,True,True,True,UNCHECK
A98163A,SC-3264,True,True,True,True,UNCHECK
A98262A,SC-2785,True,True,True,True,UNCHECK
A98303B,SC-3572,True,True,True,True,UNCHECK
A98262B,SC-2735,True,True,True,True,UNCHECK
