library_id,jira_ticket,atlas_AX_id
A98269A,SC-2913,AX8657
A98303A,SC-3894,AX8670
A96253A,SC-3010,AX8656
A98194B,SC-2914,AX8658
A98262B,SC-2735,AX8669
A98254A,SC-3143,AX8641
A98254A,SC-3143,AX8642
A98197A,SC-3409,AX8660
A98277A,SC-2705,AX8659
A96121A,SC-3070,AX8655
A98282B,SC-2771,AX8664
A98296A,SC-2772,AX8671
A98296A,SC-2772,AX8672
A95731A,SC-3003,AX8648
A95721B,SC-2912,AX8647
A98169B,SC-3310,AX8666
A98294B,SC-2732,AX8665
A118855A,SC-4141,AX8643
A118855A,SC-4141,AX8644
A98244A,SC-3658,AX9012
A98244A,SC-3658,AX8645
A96201B,SC-3784,AX8646
A98232A,SC-3173,AX8649
A98277B,SC-2716,AX8650
A98261A,SC-3213,AX8651
A98197B,SC-3403,AX8652
A98165A,SC-3377,AX8653
A98165A,SC-3377,AX8654
A98194A,SC-2718,AX8661
A98169A,SC-3312,AX8662
A98174A,SC-3553,AX8663
A98296A,SC-2772,
A95697A,SC-2744,AX8347
A98163A,SC-3264,AX8510
A98210A,SC-3580,AX8465
A98262A,SC-2785,AX8667
A98303B,SC-3572,AX8668
A98170A,SC-8348,
A98191A,SC-7995,
A98170B,SC-8024,
