library_id,jira_ticket
A96200A,SC-1751
A96204B,SC-1546
A96229A,SC-1547
A96117B,SC-2074
A96117A,SC-2075
A98300B,SC-2661
A98236B,SC-2622
A98290A,SC-2678
A98299A,SC-2679
A98181B,SC-2633
A98293A,SC-2714
A98232B,SC-2886
A98306A,SC-2928
A98261B,SC-2887
A98217B,SC-3202
A98217A,SC-3200
A96204B,SC-3756
A96200A,SC-3755
A96229A,SC-3137
A96117B,SC-2911
A96117A,SC-3748
A98232B,SC-3178
A98306A,SC-3188
A98261B,SC-3212
A98217B,SC-3348
A98217A,SC-3309
A98300B,SC-3268
A98290A,SC-3273
A98299A,SC-3110
A98236A,SC-3793
A98293A,SC-3097
A98181A,SC-3073
A108836B,SC-3675
