AT ID/ LC ID,ATiM Patient ID,ATiM Consent ID,Anatomic Source From Mouse,Consent Study,Sample Type,Processing Type,Processing Date,Transplant Name,Created By,Date Created,Stock Status,Position In Box,Legacy Information (Colossus ID),Mouse of Origin,Replicate Number,Additional Notes,Passage,Colossus Notes,Found In Inventory
46481-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-02-15 12:00,X0011-2,peirew@bccrc.ca,2020-06-10 0:40,out of stock,,SA535X1XB00174,X0011,2,,1,,FALSE
46487-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-02-15 12:00,X0011-2,peirew@bccrc.ca,2020-06-10 0:40,in stock,"H9,",SA535X1XB00174,X0011,2,,1,,FALSE
58511-BB,CID0001373,PBC0002732,,,Tissue,,0000-00-00 00:00:00,X0011-2,bpotvin@bccrc.ca,2021-06-09 14:40,out of stock,,SA535X1XB00174,X0011,2,,1,LC Sample UID: 58511-BB / Patient UID: CID0001373,FALSE
46471-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-02-15 12:00,X0011-3,peirew@bccrc.ca,2020-06-10 0:39,in stock,"F7,",SA535X1XB00175,X0011,3,,1,,FALSE
46477-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-02-15 12:00,X0011-4,peirew@bccrc.ca,2020-06-10 0:40,in stock,"G5,",SA535X1XB00176,X0011,4,,1,,FALSE
46595-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2013-06-18 12:00,X0011-21,peirew@bccrc.ca,2020-06-10 0:42,in stock,"F3,",SA535X2XB00197,X0011,1,,2,,FALSE
48613-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2013-06-18 12:00,X0011-21,peirew@bccrc.ca,2020-06-10 1:18,in stock,H6,SA535X2XB00197,X0011,1,,2,,FALSE
49651-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-06-18 12:00,X0011-21,peirew@bccrc.ca,2020-06-10 1:37,in stock,A6,SA535X2XB00197,X0011,1,,2,,FALSE
49652-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-06-18 12:00,X0011-21,peirew@bccrc.ca,2020-06-10 1:37,in stock,A7,SA535X2XB00197,X0011,1,,2,,FALSE
49658-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-15 12:00,X0011-21,peirew@bccrc.ca,2020-06-10 1:37,in stock,B7,SA535X2XB00197,X0011,1,,2,,FALSE
46598-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2013-07-15 12:00,X0011-22,peirew@bccrc.ca,2020-06-10 0:42,in stock,"F6,",SA535X2XB00258,X0011,2,,2,,FALSE
48623-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-15 12:00,X0011-22,peirew@bccrc.ca,2020-06-10 1:18,in stock,I7,SA535X2XB00258,X0011,2,,2,,FALSE
49657-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-15 12:00,X0011-22,peirew@bccrc.ca,2020-06-10 1:37,in stock,B6,SA535X2XB00258,X0011,2,,2,,FALSE
49668-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-23 12:00,X0011-23,peirew@bccrc.ca,2020-06-10 1:37,in stock,D4,SA535X2XB00259,X0011,3,,2,,FALSE
49669-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-23 12:00,X0011-23,peirew@bccrc.ca,2020-06-10 1:37,out of stock,,SA535X2XB00259,X0011,3,,2,,FALSE
46596-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2013-07-18 12:00,X0011-24,peirew@bccrc.ca,2020-06-10 0:42,out of stock,,SA535X2XB00260,X0011,4,,2,,FALSE
48653-BB,CID0001373,PBC0002732,,,Tissue,FF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-18 12:00,X0011-24,peirew@bccrc.ca,2020-06-10 1:19,in stock,A1,SA535X2XB00260,X0011,4,,2,,FALSE
49665-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-18 12:00,X0011-24,peirew@bccrc.ca,2020-06-10 1:37,in stock,C9,SA535X2XB00260,X0011,4,,2,,FALSE
49666-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-18 12:00,X0011-24,peirew@bccrc.ca,2020-06-10 1:37,in stock,D1,SA535X2XB00260,X0011,4,,2,,FALSE
49667-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER,2013-07-18 12:00,X0011-24,peirew@bccrc.ca,2020-06-10 1:37,in stock,D2,SA535X2XB00260,X0011,4,,2,,FALSE
46597-BB,CID0001373,PBC0002732,,,Tissue,VF SCALPEL ORGANOIDS WITH STOMACHER FOR TRANSPLANT,2013-07-12 12:00,X0011-31,peirew@bccrc.ca,2020-06-10 0:42,in stock,"F5,",SA535X2XB00261,X0011,1,,2,,FALSE
