SourceClone,TargetClone,CNA_Distance
B,A,0.077
C,A,0.341
C,B,0.373
D,A,0.153
D,B,0.201
D,C,0.293
E,A,0.209
E,B,0.231
E,C,0.331
E,D,0.205
F,A,0.244
F,B,0.267
F,C,0.304
F,D,0.168
F,E,0.045
G,A,0.168
G,B,0.227
G,C,0.327
G,D,0.153
G,E,0.209
G,F,0.24
H,A,0.229
H,B,0.261
H,C,0.328
H,D,0.168
H,E,0.257
H,F,0.221
H,G,0.204
I,A,0.31
I,B,0.329
I,C,0.381
I,D,0.243
I,E,0.39
I,F,0.371
I,G,0.314
I,H,0.372
J,A,0.403
J,B,0.423
J,C,0.475
J,D,0.339
J,E,0.492
J,F,0.473
J,G,0.362
J,H,0.383
J,I,0.141
K,A,0.331
K,B,0.35
K,C,0.381
K,D,0.263
K,E,0.373
K,F,0.355
K,G,0.341
K,H,0.394
K,I,0.046
K,J,0.17
L,A,0.361
L,B,0.352
L,C,0.39
L,D,0.283
L,E,0.378
L,F,0.36
L,G,0.361
L,H,0.414
L,I,0.094
L,J,0.221
L,K,0.071
M,A,0.31
M,B,0.33
M,C,0.384
M,D,0.244
M,E,0.39
M,F,0.371
M,G,0.316
M,H,0.374
M,I,0.004
M,J,0.138
M,K,0.043
M,L,0.094
N,A,0.328
N,B,0.355
N,C,0.371
N,D,0.287
N,E,0.404
N,F,0.385
N,G,0.331
N,H,0.335
N,I,0.116
N,J,0.249
N,K,0.153
N,L,0.193
N,M,0.118
O,A,0.319
O,B,0.347
O,C,0.381
O,D,0.264
O,E,0.334
O,F,0.316
O,G,0.338
O,H,0.373
O,I,0.125
O,J,0.25
O,K,0.125
O,L,0.168
O,M,0.122
O,N,0.205
P,A,0.301
P,B,0.321
P,C,0.394
P,D,0.235
P,E,0.375
P,F,0.356
P,G,0.311
P,H,0.352
P,I,0.047
P,J,0.183
P,K,0.088
P,L,0.139
P,M,0.046
P,N,0.157
P,O,0.166
Q,A,0.309
Q,B,0.329
Q,C,0.376
Q,D,0.253
Q,E,0.4
Q,F,0.381
Q,G,0.326
Q,H,0.372
Q,I,0.017
Q,J,0.156
Q,K,0.06
Q,L,0.109
Q,M,0.019
Q,N,0.13
Q,O,0.14
Q,P,0.057
R,A,0.317
R,B,0.333
R,C,0.377
R,D,0.25
R,E,0.395
R,F,0.377
R,G,0.331
R,H,0.36
R,I,0.068
R,J,0.184
R,K,0.107
R,L,0.149
R,M,0.068
R,N,0.147
R,O,0.124
R,P,0.11
R,Q,0.082
S,A,0.309
S,B,0.329
S,C,0.375
S,D,0.253
S,E,0.4
S,F,0.381
S,G,0.326
S,H,0.372
S,I,0.015
S,J,0.154
S,K,0.059
S,L,0.107
S,M,0.017
S,N,0.129
S,O,0.138
S,P,0.057
S,Q,0.002
S,R,0.081
T,A,0.347
T,B,0.365
T,C,0.437
T,D,0.3
T,E,0.397
T,F,0.42
T,G,0.342
T,H,0.416
T,I,0.148
T,J,0.235
T,K,0.189
T,L,0.216
T,M,0.151
T,N,0.262
T,O,0.259
T,P,0.148
T,Q,0.16
T,R,0.201
T,S,0.158
