SA_id,Tumor_ID,sample_id,dlp_library_id,mainsite,origin
SA919,X0847-2112251,SA919X7XB05691,A96204B,Metastasis,SupraSpinal
SA919,X0847-2112251,SA919X7XB05402,A96200A,Primary,Primary
SA919,X0847-2112251,SA919X7XB05692,A96229A,Metastasis,VentralSpinal
SA919,X0847-2112252,SA919X7XB05378,A96117B,Primary,Primary
SA919,X0847-2112252,SA919X7XB05604,A96117A,Metastasis,SupraSpinal
SA919,X0847-216,SA919X3XB08939,A98232B,Primary,Primary
SA919,X0847-216,SA919X3XB08939,A98306A,Primary,Primary
SA919,X0847-2164,SA919X4XB09563,A98261B,Primary,Primary
SA919,X0847-2164,SA919X4XB40503,A98217B,Metastasis,Axillary
SA919,X0847-2164,SA919X4XB40509,A98217A,Metastasis,VentralSpinal
SA919,X0847-2112253,SA919X7XB05298,A98300B,Primary,Primary
SA919,X0847-2112253,SA919X7XB05588,A98290A,Metastasis,VentralSpinal
SA919,X0847-2112253,SA919X7XB05588,A98299A,Metastasis,VentralSpinal
SA919,X0847-2112253,SA919X7XB05298,A98236A,Primary,Primary
SA919,X0847-2112254,SA919X7XB05608,A98293A,Metastasis,VentralSpinal
SA919,X0847-2112254,SA919X7XB05289,A98181A,Primary,Primary
SA919,X0847-2161,SA919X4XB09552,A108836B,Primary,Primary
