SA_id,Tumor_ID,sample_id,tenx_library_id,origin,mainsite,Noted,analysis_status,sid_query,nb_cells_introns
SA535,X0011-2361,SA535X4XB05391,SCRNA10X_SA_CHIP0077_004,Primary,Primary,535 cells,included,SA535X4XB05391,1062
SA535,X0011-2361,SA535X4XB05391,SCRNA10X_SA_CHIP0213_001,Primary,Primary,458 cells,included,SA535X4XB05391,589
SA535,X0011-2361,SA535X4XB05730,SCRNA10X_SA_CHIP0213_003,Tumor_Recur,Tumor_Recur,364 cells,included,SA535X4XB05730,773
SA535,X0011-2361,SA535X4XB05723,SCRNA10X_SA_CHIP0213_002,Axillary,Metastasis,474 cells,included,SA535X4XB05723,641
SA535,X0011-2363,SA535X4XB05462,SCRNA10X_SA_CHIP0176_001,Primary,Primary,369 cells,included,SA535X4XB05462,460
SA535,X0011-2364,SA535X4XB02498,SCRNA10X_SA_CHIP0176_002,Primary,Primary,20 cells,excluded,SA535X4XB02498,30
SA535,X0011-2363,SA535X4XB05462,SCRNA10X_SA_CHIP0220_001,Primary,Primary,930 cells (2935 cells total),included,51679-BB,1259
SA535,X0011-2363,SA535X4XB05662,SCRNA10X_SA_CHIP0220_002,Tumor_Recur,Tumor_Recur,2229 cells (3444 cells in total),included,51878-BB,2640
SA535,X0011-2364,SA535X4XB05989,SCRNA10X_SA_CHIP0215_003,Inguinal,Metastasis,3 cells (14842 cells in total),excluded,SA535X4XB05989,8
SA535,X0011-2361,SA535X4XB05723,SCRNA10X_SA_CHIP0239_001,Axillary,Metastasis,68 cells (1335 in total),included,AT11872,163
SA535,X0011-2362,SA535X4XB09113,SCRNA10X_SA_CHIP0239_005,Inguinal,Metastasis,561 filtered cells (2451 in total),included,AT11876,911
SA535,X0011-2361,SA535X4XB05391,SCRNA10X_SA_CHIP0239_003,Primary,Primary,1 filtered cells (273458 cells in total) - tumour dissociation issue,excluded,AT11871,163
SA535,X0011-2362,SA535X4XB05649,SCRNA10X_SA_CHIP0239_006,Primary,Primary,616 cells after doublet detection (1573 cells in total),included,AT11874,772
SA535,X0011-2362,SA535X4XB09106,SCRNA10X_SA_CHIP0239_004,Right Axillary,Metastasis,886 cells after doublet detection (1848 in total),included,AT11875,1184
SA535,X0011-2363,SA535X4XB05462,SCRNA10X_SA_CHIP0239_007,Primary,Primary,92 cells after doublet detection (190 in total),included,AT11877,153
SA535,X0011-2363,SA535X4XB05662,SCRNA10X_SA_CHIP0239_008,Tumor_Recur,Tumor_Recur,629 cells (1608 cells in total),included,AT11878,887
