SA_id,Tumor_ID,sample_id,tenx_library_id,passage,origin,mainsite,library_id,batch_info
SA919,X0847-2112251,SA919X7XB05402,SCRNA10X_SA_CHIP0077_002,X7,Primary,Primary,SCRNA10X_SA_CHIP0077_002,CHIP0077
SA919,X0847-2112251,SA919X7XB05691,SCRNA10X_SA_CHIP0077_001,X7,Supraspinal,Metastasis,SCRNA10X_SA_CHIP0077_001,CHIP0077
SA919,X0847-2112251,SA919X7XB05692,SCRNA10X_SA_CHIP0077_003,X7,Ventral_spinal,Metastasis,SCRNA10X_SA_CHIP0077_003,CHIP0077
SA919,X0847-2112252,SA919X7XB05378,SCRNA10X_SA_CHIP0078_001,X7,Primary,Primary,SCRNA10X_SA_CHIP0078_001,CHIP0078
SA919,X0847-2112252,SA919X7XB05604,SCRNA10X_SA_CHIP0078_002,X7,Supraspinal,Metastasis,SCRNA10X_SA_CHIP0078_002,CHIP0078
SA919,X0847-216,SA919X3XB08939,SCRNA10X_SA_CHIP0191_001,X3,Primary,Primary,SCRNA10X_SA_CHIP0191_001,CHIP0191
SA919,X0847-2164,SA919X4XB09563,SCRNA10X_SA_CHIP0190_003,X4,Primary,Primary,SCRNA10X_SA_CHIP0190_003,CHIP0190
SA919,X0847-2164,SA919X4XB40503,SCRNA10X_SA_CHIP0190_001,X4,Axillary,Metastasis,SCRNA10X_SA_CHIP0190_001,CHIP0190
SA919,X0847-2164,SA919X4XB40509,SCRNA10X_SA_CHIP0190_002,X4,Ventral_spinal,Metastasis,SCRNA10X_SA_CHIP0190_002,CHIP0190
SA919,X0847-2161,SA919X4XB09552,SCRNA10X_SA_CHIP0191_002,X4,Primary,Primary,SCRNA10X_SA_CHIP0191_002,CHIP0191
