gene_symbol,gene,attribute,Reference
SNRPF,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
EIF4EL3,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
HNRPAB,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
DHPS,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
PTTG1,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
COL1A1,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
COL1A2,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
LMNB1,,positive,"Nature Genetics volume 33, pages 49–54 (2003)"
ACTG2,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
MYLK,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
MYH11,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
CNN1,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
HLA-DPB1,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
RUNX1,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
MT3,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
NR4A1,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
RBM5,,negative,"Nature Genetics volume 33, pages 49–54 (2003)"
IFI6,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CHGB,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IFI27,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AQP3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
B2M,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
UPK1B,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SLPI,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SNCG,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CFD,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IGFBP3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TXNRD1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
POLR2L,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LY6E,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
BSG,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ASS1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CYBA,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS13,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CLU,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL26,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
NQO1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TSPAN4,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
GAPDH,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL18A,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
HLA-B,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS23,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL27A,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
S100A4,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL23A,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL12,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TM4SF20,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CTSB,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT19,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ALDH3A1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AKR1B1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CES1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AKR1B10,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SERPINE2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LGALS1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IGFL2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LGALS3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ANXA13,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AKR1C3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ALDH1A1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CD70,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SH3BGRL3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ANXA3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CAPG,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ANXA2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
HMGA1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
EPHX1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT8,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
GCNT3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CDH17,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IGFBP6,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RAB11FIP1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MAP1B,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MT-CO1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
NRG1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
S100A10,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TSPAN8,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LCN2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
NEAT1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS4Y1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CST3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TIMP1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AGR3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LYZ,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CD63,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TPPP3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CRABP2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FN1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TM4SF4,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CRIP2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CST4,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PSAP,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ETFB,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
REG4,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PRKCDBP,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TNNT1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SEPW1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL5,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TFF1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PRSS3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MT-CO2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
DPYSL3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TAGLN2,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CEACAM6,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MUC5AC,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MT-CO3,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MT-CYB,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MT-ATP6,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CRIP1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
STC1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ATP1B1,,positive,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT6A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CCL20,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PMEPA1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IL8,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT17,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FN1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
C12ORF75,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TM4SF20,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CXCL5,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SPP1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TSPAN8,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PGM2L1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
GLIPR1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TGFBI,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
HSPA1A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
LGALS4,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IL32,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TNFAIP3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
NFKBIA,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AMIGO2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RND1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CFI,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
JUN,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ETS2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
KRT7,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MAP7,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
IGFL2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
HPD,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
INSL4,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FGA,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CHGB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MUC5B,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CPS1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CFD,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ASS1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
ISG20,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PRSS23,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FOS,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
BASP1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
MFAP5,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
FKBP11,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
S100P,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RABAC1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SLC26A2,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPS16,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RSPO3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
SLPI,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
AKAP12,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TESC,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL10,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
CP,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
TMED3,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPLP1,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
PPIB,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
RPL13A,,negative,"J. J. Quinn et al., Science 10.1126/science.abc1944 (2021)"
