Positive,Negative
SH3BGRL3,JUN
YBX1,EFNA1
PRDX1,FDPS
S100A4,CXCL1
CRABP2,CXCL2
KCNK1,DAB2
COX20,SEPP1
HPCAL1,HMGCS1
MALL,TGFBI
TIPARP,EGR1
SQSTM1,DUSP1
HLA-A,SOX4
HLA-C,SRSF3
HLA-B,MARCKS
HMGA1,EBP
ARPC1B,INSL4
G6PD,B4GALT1
PDLIM2,IDI1
CLU,SLC3A2
ASPH,PGM2L1
TPD52,FXYD2
CDH17,C1S
AK1,PDE3A
C9ORF16,KRT7
FAM107B,FOS
CD9,SEC11A
OAS1,IL32
TSC22D1,SLC7A5
LGALS3,UBB
IFI27,IGFBP4
AHNAK2,ACTG1
CRIP2,MKKS
B2M,TGM2
GCNT3,PMEPA1
NQO1,IER2
PMP22,DNAJB1
LGALS3BP,DMKN
PPDPF,EIF3K
OAZ1,ZFP36
AC006262.5,FOSB
EMP3,PPP1R15A
ETFB,
TNNT1,
LGALS1,
APP,
CSTB,
MT-ND4,
MT-CYB,
