Positive,Negative
IFI6,KRT6A
CHGB,CCL20
IFI27,CXCL3
AQP3,PMEPA1
B2M,CXCL1
UPK1B,IL8
SLPI,CXCL2
SNCG,KRT17
CFD,FN1
IGFBP3,C12ORF75
TXNRD1,TM4SF20
POLR2L,CXCL5
LY6E,SPP1
BSG,TSPAN8
ASS1,PGM2L1
CYBA,GLIPR1
RPS13,TGFBI
CLU,HSPA1A
RPL26,LGALS4
NQO1,IL32
TSPAN4,TNFAIP3
GAPDH,NFKBIA
RPL18A,AMIGO2
RPS2,RND1
HLA-B,CFI
RPS23,JUN
RPL27A,ETS2
S100A4,KRT7
RPL23A,MAP7
RPL12,IGFL2
TM4SF20,HPD
CTSB,INSL4
KRT19,FGA
ALDH3A1,CHGB
AKR1B1,MUC5B
CES1,CPS1
AKR1B10,CFD
SERPINE2,ASS1
LGALS1,ISG20
IGFL2,PRSS23
LGALS3,FOS
ANXA13,BASP1
AKR1C3,MFAP5
ALDH1A1,FKBP11
CD70,S100P
SH3BGRL3,RABAC1
ANXA3,SLC26A2
CAPG,RPS16
ANXA2,RSPO3
HMGA1,SLPI
EPHX1,AKAP12
KRT8,TESC
GCNT3,RPL10
CDH17,CP
IGFBP6,TMED3
RAB11FIP1,RPLP1
MAP1B,PPIB
MT-CO1,RPL13A
NRG1,SSR4
S100A10,FKBP2
TSPAN8,CXCL8
LCN2,KRT81
NEAT1,ACTG1
RPS4Y1,RPS19
CST3,CEACAM5
TIMP1,RPS3
AGR3,RPS5
LYZ,EEF1A1
CD63,VIM
TPPP3,RPL18A
CRABP2,ALDH1A1
FN1,RPSA
TM4SF4,RPS24
CRIP2,ACTB
CST4,DUSP1
PSAP,RHOB
ETFB,RPL18
REG4,FAM83A
PRKCDBP,MSLN
TNNT1,FGB
SEPW1,DKK1
CXCL5,RPS3A
TFF1,RPS4Y1
PRSS3,FXYD2
MT-CO2,ID3
DPYSL3,EFNA1
TAGLN2,FOSB
CEACAM6,RIMKLB
MUC5AC,JUNB
MT-CO3,CASC15
MT-CYB,CYP24A1
MT-ATP6,ATP6V1A
CRIP1,LDHB
STC1,FGG
ATP1B1,PHPT1
,ANXA4
,SOX4
