BlockID,SA ID,XenoID,Ki67 %,Damian_annotation,Histological Evidence (as recorded in Masterfile)
2487,SA919,X0847-2112251,35,non-met,
02487NeckM,SA919,X0847-2112251,40,met,Tumour cells in cervical (NeckM) and lumbar (SpinM) mass
02487SpinM,SA919,X0847-2112251,35,met,Tumour cells in cervical (NeckM) and lumbar (SpinM) mass
2488,SA919,X0847-2112252,30,non-met,
02488NeckM,SA919,X0847-2112252,40,met,Tumour cells in cervical (NeckM) mass
2489,SA919,X0847-2112253,1,non-met,
02489Bone,SA919,X0847-2112253,35,met,Tumour cells in lumbar spinal mass(Bone)
2490,SA919,X0847-2112254,50,non-met,
02490SpinM,SA919,X0847-2112254,40,met,Tumour cells in lumbar spinal mass(SpineM)
02495TuRec,SA535,X0011-2361,15,non-met,
02495AxiM,SA535,X0011-2361,25,met,Tumour cells in ALN
2496,SA535,X0011-2362,25,non-met,
02496R.AxiM,SA535,X0011-2362,30,met,Huge mass in left inguinal area (14x12x10). Metastatic mass in both axillary area (10x8x6). ; Histology not reported
02496L.AxiM,SA535,X0011-2362,40,met,Huge mass in left inguinal area (14x12x10). Metastatic mass in both axillary area (10x8x6). ; Histology not reported
02496InGMass,SA535,X0011-2362,25,met,Huge mass in left inguinal area (14x12x10). Metastatic mass in both axillary area (10x8x6). ; Histology not reported
2497,SA535,X0011-2363,25,non-met,
02497TuRec,SA535,X0011-2363,30,non-met,
02497ALN,SA535,X0011-2363,25,met,"Metastatic mass on left axillary area, possibly LN (ALN)"
2498,SA535,X0011-2364,30,non-met,
02498AxiM,SA535,X0011-2364,35,met,"Metastatic mass on left axillary area (12x10x8), possibly LN (ALN)"
02498IngM,SA535,X0011-2364,30,met,"Metastatic mass on left inguinal area (10x8x8), similar characteristics."
2798,SA1142,X2673-11,15,non-met,
2800,SA1142,X2673-13,15,non-met,
02958L.Kid,SA919,X0847-2112253M2,25,met,"Tumour cells in kidney mass, left kidney infiltrating tumour cells"
2959,SA919,X0847-2112253M3,30,non-met,
02959NeckM,SA919,X0847-2112253M3,35,met,"Tumour cells in neck mass, axillary mass, flank mass, abd mass, kidney mass."
02959L.AxiM,SA919,X0847-2112253M3,35,met,"Tumour cells in neck mass, axillary mass, flank mass, abd mass, kidney mass."
02959FlankM,SA919,X0847-2112253M3,25,met,"Tumour cells in neck mass, axillary mass, flank mass, abd mass, kidney mass."
