SourceClone,TargetClone,CNA_Distance
B,A,336
C,A,1490
C,B,1634
D,A,668
D,B,880
D,C,1284
E,A,914
E,B,1010
E,C,1447
E,D,895
F,A,1066
F,B,1166
F,C,1332
F,D,736
F,E,197
G,A,735
G,B,994
G,C,1429
G,D,668
G,E,914
G,F,1049
H,A,1000
H,B,1140
H,C,1433
H,D,734
H,E,1125
H,F,966
H,G,892
I,A,1355
I,B,1438
I,C,1667
I,D,1062
I,E,1705
I,F,1622
I,G,1375
I,H,1629
J,A,1761
J,B,1851
J,C,2080
J,D,1481
J,E,2151
J,F,2068
J,G,1585
J,H,1677
J,I,618
K,A,1447
K,B,1531
K,C,1669
K,D,1149
K,E,1634
K,F,1551
K,G,1492
K,H,1725
K,I,201
K,J,745
L,A,1581
L,B,1539
L,C,1707
L,D,1236
L,E,1653
L,F,1577
L,G,1581
L,H,1813
L,I,413
L,J,967
L,K,310
M,A,1358
M,B,1443
M,C,1678
M,D,1069
M,E,1706
M,F,1623
M,G,1382
M,H,1635
M,I,19
M,J,603
M,K,186
M,L,410
N,A,1437
N,B,1551
N,C,1621
N,D,1256
N,E,1767
N,F,1684
N,G,1449
N,H,1466
N,I,506
N,J,1089
N,K,670
N,L,845
N,M,515
O,A,1396
O,B,1517
O,C,1668
O,D,1153
O,E,1463
O,F,1382
O,G,1480
O,H,1632
O,I,549
O,J,1094
O,K,547
O,L,734
O,M,532
O,N,898
P,A,1317
P,B,1404
P,C,1722
P,D,1026
P,E,1642
P,F,1559
P,G,1362
P,H,1538
P,I,207
P,J,799
P,K,385
P,L,607
P,M,202
P,N,689
P,O,727
Q,A,1351
Q,B,1438
Q,C,1644
Q,D,1106
Q,E,1748
Q,F,1665
Q,G,1427
Q,H,1627
Q,I,74
Q,J,681
Q,K,261
Q,L,476
Q,M,83
Q,N,568
Q,O,612
Q,P,250
R,A,1387
R,B,1457
R,C,1650
R,D,1094
R,E,1730
R,F,1649
R,G,1450
R,H,1574
R,I,296
R,J,803
R,K,466
R,L,654
R,M,299
R,N,643
R,O,541
R,P,482
R,Q,360
S,A,1353
S,B,1440
S,C,1640
S,D,1105
S,E,1748
S,F,1665
S,G,1426
S,H,1627
S,I,67
S,J,674
S,K,257
S,L,469
S,M,76
S,N,563
S,O,605
S,P,248
S,Q,7
S,R,355
T,A,1518
T,B,1598
T,C,1910
T,D,1313
T,E,1736
T,F,1837
T,G,1495
T,H,1821
T,I,646
T,J,1030
T,K,828
T,L,945
T,M,659
T,N,1148
T,O,1134
T,P,649
T,Q,699
T,R,878
T,S,692
