chr,cell_id,total_reads,total_copy,clone_id
10,SA919X4XB40509-A98217A-R03-C08,11076,185.74880616799,A
10,SA919X4XB40509-A98217A-R03-C09,8678,190.508705465638,A
10,SA919X4XB40509-A98217A-R03-C11,8324,181.851737567089,A
10,SA919X4XB40509-A98217A-R03-C13,11495,174.25128425843,A
10,SA919X4XB40509-A98217A-R03-C17,8754,184.099119240592,A
10,SA919X4XB40509-A98217A-R03-C19,9668,194.536198480894,A
10,SA919X4XB40509-A98217A-R03-C22,6435,179.389740327289,A
10,SA919X4XB40509-A98217A-R03-C23,10958,192.907629839186,A
10,SA919X4XB40509-A98217A-R03-C24,9033,179.906233690615,A
10,SA919X4XB40509-A98217A-R03-C30,12163,200.0258075695,A
10,SA919X4XB40509-A98217A-R03-C34,6160,187.853246644258,A
10,SA919X4XB40509-A98217A-R03-C35,9584,187.92612858371,A
10,SA919X4XB40509-A98217A-R03-C41,8236,188.123843841067,A
10,SA919X4XB40509-A98217A-R03-C43,11984,190.690551888377,A
10,SA919X4XB40509-A98217A-R03-C54,9538,188.337923302003,A
10,SA919X4XB40509-A98217A-R03-C55,7896,178.08802050299,A
10,SA919X4XB40509-A98217A-R03-C56,11472,199.354691332561,A
10,SA919X4XB40509-A98217A-R03-C63,10844,194.836279329628,A
10,SA919X4XB40509-A98217A-R03-C66,10670,186.887971765729,A
10,SA919X4XB40509-A98217A-R03-C67,8865,176.370740746498,A
10,SA919X4XB40509-A98217A-R04-C11,8934,187.514053562425,A
10,SA919X4XB40509-A98217A-R04-C12,8943,187.357511665824,A
10,SA919X4XB40509-A98217A-R04-C13,11015,190.711021495523,A
10,SA919X4XB40509-A98217A-R04-C14,10210,192.811045696174,A
10,SA919X4XB40509-A98217A-R04-C16,10598,190.372647654017,A
10,SA919X4XB40509-A98217A-R04-C17,10674,189.179981711982,A
10,SA919X4XB40509-A98217A-R04-C18,8423,189.983550481814,A
10,SA919X4XB40509-A98217A-R04-C19,9064,193.01364395532,A
10,SA919X4XB40509-A98217A-R04-C23,8746,183.505316207818,A
10,SA919X4XB40509-A98217A-R04-C26,9634,187.088206304567,A
10,SA919X4XB40509-A98217A-R04-C28,9572,191.545246228645,A
10,SA919X4XB40509-A98217A-R04-C29,7672,187.679346151176,A
10,SA919X4XB40509-A98217A-R04-C30,9380,192.074008660252,A
10,SA919X4XB40509-A98217A-R04-C31,10486,193.310478951841,A
10,SA919X4XB40509-A98217A-R04-C33,6686,186.284697461385,A
10,SA919X4XB40509-A98217A-R04-C34,7624,194.731389978128,A
10,SA919X4XB40509-A98217A-R04-C35,10492,192.648809859227,A
10,SA919X4XB40509-A98217A-R04-C37,9163,189.358830175613,A
10,SA919X4XB40509-A98217A-R04-C38,9471,189.389987228136,A
10,SA919X4XB40509-A98217A-R04-C40,9585,191.90718262329,A
10,SA919X4XB40509-A98217A-R04-C42,10517,196.126267440466,A
10,SA919X4XB40509-A98217A-R04-C43,10754,193.967934714485,A
10,SA919X4XB40509-A98217A-R04-C47,14204,191.219427768154,A
10,SA919X4XB40509-A98217A-R04-C48,9937,188.442272675104,A
10,SA919X4XB40509-A98217A-R04-C52,9134,183.670441239441,A
10,SA919X4XB40509-A98217A-R04-C54,9192,188.903489500134,A
10,SA919X4XB40509-A98217A-R04-C55,7685,197.937495364397,A
10,SA919X4XB40509-A98217A-R04-C56,10039,184.974872717543,A
10,SA919X4XB40509-A98217A-R04-C57,10072,191.341485905725,A
10,SA919X4XB40509-A98217A-R04-C58,9006,187.591367081106,A
10,SA919X4XB40509-A98217A-R04-C59,9422,188.416872898195,A
10,SA919X4XB40509-A98217A-R04-C61,9454,190.23332518934,A
10,SA919X4XB40509-A98217A-R04-C64,10579,186.288412015221,A
10,SA919X4XB40509-A98217A-R04-C66,9721,188.005734076378,A
10,SA919X4XB40509-A98217A-R04-C68,7208,188.437733221132,A
10,SA919X4XB40509-A98217A-R05-C07,12018,191.258652602035,A
10,SA919X4XB40509-A98217A-R05-C09,10612,191.124264240994,A
10,SA919X4XB40509-A98217A-R05-C12,9218,194.123188657433,A
10,SA919X4XB40509-A98217A-R05-C13,11282,189.054965034994,A
10,SA919X4XB40509-A98217A-R05-C15,10531,190.702313461073,A
10,SA919X4XB40509-A98217A-R05-C16,11142,188.9307110895,A
10,SA919X4XB40509-A98217A-R05-C17,11554,191.121412627688,A
10,SA919X4XB40509-A98217A-R05-C18,9279,191.629269418163,A
10,SA919X4XB40509-A98217A-R05-C21,7552,191.033931415814,A
10,SA919X4XB40509-A98217A-R05-C23,10197,185.582950449682,A
10,SA919X4XB40509-A98217A-R05-C24,12072,187.718373005308,A
10,SA919X4XB40509-A98217A-R05-C26,10712,194.86186486857,A
10,SA919X4XB40509-A98217A-R05-C31,11161,189.561768962166,A
10,SA919X4XB40509-A98217A-R05-C32,10709,188.67648024643,A
10,SA919X4XB40509-A98217A-R05-C33,7845,199.238878991835,A
10,SA919X4XB40509-A98217A-R05-C35,11679,189.438479092361,A
10,SA919X4XB40509-A98217A-R05-C38,10419,190.014110826483,A
10,SA919X4XB40509-A98217A-R05-C40,10662,193.038528485759,A
10,SA919X4XB40509-A98217A-R05-C41,10399,192.751403819073,A
10,SA919X4XB40509-A98217A-R05-C44,10370,192.824265255991,A
10,SA919X4XB40509-A98217A-R05-C46,10782,196.951082381715,A
10,SA919X4XB40509-A98217A-R05-C48,9608,189.918536286032,A
10,SA919X4XB40509-A98217A-R05-C50,9719,189.462608764946,A
10,SA919X4XB40509-A98217A-R05-C51,10469,194.787542947352,A
10,SA919X4XB40509-A98217A-R05-C54,9676,188.429532219993,A
10,SA919X4XB40509-A98217A-R05-C55,10506,187.350065915494,A
10,SA919X4XB40509-A98217A-R05-C58,9682,190.036101541973,A
10,SA919X4XB40509-A98217A-R05-C59,10259,194.03681365589,A
10,SA919X4XB40509-A98217A-R05-C60,9358,190.964151098543,A
10,SA919X4XB40509-A98217A-R05-C61,10689,188.600276834914,A
10,SA919X4XB40509-A98217A-R05-C62,8981,182.908004571987,A
10,SA919X4XB40509-A98217A-R05-C63,11397,192.106935009981,A
10,SA919X4XB40509-A98217A-R05-C64,10826,190.381762388894,A
10,SA919X4XB40509-A98217A-R05-C66,10344,186.858694796709,A
10,SA919X4XB40509-A98217A-R05-C67,9860,189.810674036472,A
10,SA919X4XB40509-A98217A-R05-C69,8327,185.800942443199,A
10,SA919X4XB40509-A98217A-R06-C08,14698,184.199048909817,A
10,SA919X4XB40509-A98217A-R06-C09,11377,191.270350927585,A
10,SA919X4XB40509-A98217A-R06-C11,9537,187.994225919751,A
10,SA919X4XB40509-A98217A-R06-C12,9584,192.132808464485,A
10,SA919X4XB40509-A98217A-R06-C14,10594,187.173603036757,A
10,SA919X4XB40509-A98217A-R06-C15,10505,190.092819226188,A
10,SA919X4XB40509-A98217A-R06-C17,11702,194.411335760886,A
10,SA919X4XB40509-A98217A-R06-C18,9447,185.51506843274,A
10,SA919X4XB40509-A98217A-R06-C19,9837,187.696769737202,A
10,SA919X4XB40509-A98217A-R06-C22,9657,189.714070882865,A
10,SA919X4XB40509-A98217A-R06-C23,9521,188.052761807429,A
10,SA919X4XB40509-A98217A-R06-C24,12416,187.145883728764,A
10,SA919X4XB40509-A98217A-R06-C26,10895,190.926857729316,A
10,SA919X4XB40509-A98217A-R06-C27,7707,194.221760231684,A
10,SA919X4XB40509-A98217A-R06-C28,10018,183.230820080708,A
10,SA919X4XB40509-A98217A-R06-C30,10609,189.583867869422,A
10,SA919X4XB40509-A98217A-R06-C32,11194,190.352206079142,A
10,SA919X4XB40509-A98217A-R06-C33,7511,190.312540358668,A
10,SA919X4XB40509-A98217A-R06-C37,12860,189.986749001527,A
10,SA919X4XB40509-A98217A-R06-C41,11165,190.506275814491,A
10,SA919X4XB40509-A98217A-R06-C42,11376,184.773719009198,A
10,SA919X4XB40509-A98217A-R06-C46,7706,186.150438160519,A
10,SA919X4XB40509-A98217A-R06-C47,10931,195.017958710752,A
10,SA919X4XB40509-A98217A-R06-C48,10788,191.554190793565,A
10,SA919X4XB40509-A98217A-R06-C49,9144,182.695407628661,A
10,SA919X4XB40509-A98217A-R06-C50,9401,191.055197956447,A
10,SA919X4XB40509-A98217A-R06-C51,11237,175.682043581521,A
10,SA919X4XB40509-A98217A-R06-C54,9552,183.734726266716,A
10,SA919X4XB40509-A98217A-R06-C55,8944,185.554096785146,A
10,SA919X4XB40509-A98217A-R06-C56,11136,187.599271532335,A
10,SA919X4XB40509-A98217A-R06-C58,9740,191.738994907607,A
10,SA919X4XB40509-A98217A-R06-C59,9860,193.629401336062,A
10,SA919X4XB40509-A98217A-R06-C60,9486,184.539313517763,A
10,SA919X4XB40509-A98217A-R06-C61,11688,200.548769185785,A
10,SA919X4XB40509-A98217A-R06-C63,10643,192.063113850228,A
10,SA919X4XB40509-A98217A-R06-C64,11342,193.744621630301,A
10,SA919X4XB40509-A98217A-R06-C68,6930,190.536094952624,A
10,SA919X4XB40509-A98217A-R06-C69,9368,190.985647955116,A
10,SA919X4XB40509-A98217A-R06-C70,8470,192.560408644609,A
10,SA919X4XB40509-A98217A-R07-C07,12256,194.763045563683,A
10,SA919X4XB40509-A98217A-R07-C08,14345,185.777052185745,A
10,SA919X4XB40509-A98217A-R07-C11,11437,181.167936125321,A
10,SA919X4XB40509-A98217A-R07-C12,9201,192.237033035102,A
10,SA919X4XB40509-A98217A-R07-C14,10519,191.860825094553,A
10,SA919X4XB40509-A98217A-R07-C15,9856,186.819936205987,A
10,SA919X4XB40509-A98217A-R07-C16,11215,188.452390056766,A
10,SA919X4XB40509-A98217A-R07-C18,9780,191.838456782491,A
10,SA919X4XB40509-A98217A-R07-C19,9568,187.319601287158,A
10,SA919X4XB40509-A98217A-R07-C24,16574,187.891157780031,A
10,SA919X4XB40509-A98217A-R07-C25,11051,190.656954062567,A
10,SA919X4XB40509-A98217A-R07-C26,10267,189.101441959039,A
10,SA919X4XB40509-A98217A-R07-C27,8461,185.846856989351,A
10,SA919X4XB40509-A98217A-R07-C34,7934,194.014896133072,A
10,SA919X4XB40509-A98217A-R07-C37,9675,188.882337166053,A
10,SA919X4XB40509-A98217A-R07-C39,10760,182.015319132059,A
10,SA919X4XB40509-A98217A-R07-C44,8344,182.086644243317,A
10,SA919X4XB40509-A98217A-R07-C46,10611,194.42029305409,A
10,SA919X4XB40509-A98217A-R07-C48,9518,181.507940978293,A
10,SA919X4XB40509-A98217A-R07-C49,9689,197.076190681157,A
10,SA919X4XB40509-A98217A-R07-C51,9832,189.018039747096,A
10,SA919X4XB40509-A98217A-R07-C52,8957,187.256546978283,A
10,SA919X4XB40509-A98217A-R07-C54,10263,191.710887357124,A
10,SA919X4XB40509-A98217A-R07-C57,11216,186.138899970782,A
10,SA919X4XB40509-A98217A-R07-C58,9333,192.389495508491,A
10,SA919X4XB40509-A98217A-R07-C59,9605,191.771218018829,A
10,SA919X4XB40509-A98217A-R07-C62,8022,188.939413138111,A
10,SA919X4XB40509-A98217A-R07-C66,10775,186.651426886989,A
10,SA919X4XB40509-A98217A-R07-C68,9502,175.709307535492,A
10,SA919X4XB40509-A98217A-R08-C08,11371,193.481384861689,A
10,SA919X4XB40509-A98217A-R08-C09,11241,186.169848846107,A
10,SA919X4XB40509-A98217A-R08-C10,10344,191.689928860059,A
10,SA919X4XB40509-A98217A-R08-C11,10004,177.570391607244,A
10,SA919X4XB40509-A98217A-R08-C12,10240,192.416521642454,A
10,SA919X4XB40509-A98217A-R08-C14,11193,189.35062116414,A
10,SA919X4XB40509-A98217A-R08-C15,10885,186.76701960717,A
10,SA919X4XB40509-A98217A-R08-C16,12237,185.902454181168,A
10,SA919X4XB40509-A98217A-R08-C17,12777,193.129018813048,A
10,SA919X4XB40509-A98217A-R08-C18,10279,192.078067286298,A
10,SA919X4XB40509-A98217A-R08-C21,10528,195.269159624283,A
10,SA919X4XB40509-A98217A-R08-C22,10516,194.110945239822,A
10,SA919X4XB40509-A98217A-R08-C23,11375,188.650823708138,A
10,SA919X4XB40509-A98217A-R08-C24,13582,187.656164543588,A
10,SA919X4XB40509-A98217A-R08-C28,10751,193.232690401669,A
10,SA919X4XB40509-A98217A-R08-C30,11081,184.184881082427,A
10,SA919X4XB40509-A98217A-R08-C31,12861,189.333071213298,A
10,SA919X4XB40509-A98217A-R08-C32,12371,186.768232434194,A
10,SA919X4XB40509-A98217A-R08-C34,10658,190.480190031104,A
10,SA919X4XB40509-A98217A-R08-C35,12620,191.054998143112,A
10,SA919X4XB40509-A98217A-R08-C36,6377,190.974727138723,A
10,SA919X4XB40509-A98217A-R08-C37,13843,185.941740122703,A
10,SA919X4XB40509-A98217A-R08-C38,12460,182.711677222355,A
