chr,cell_id,mean_reads,mean_copy,clone_id
10,SA919X4XB40509-A98217A-R03-C08,175.81,2.95,A
10,SA919X4XB40509-A98217A-R03-C09,137.75,3.02,A
10,SA919X4XB40509-A98217A-R03-C11,132.13,2.89,A
10,SA919X4XB40509-A98217A-R03-C13,182.46,2.77,A
10,SA919X4XB40509-A98217A-R03-C17,138.95,2.92,A
10,SA919X4XB40509-A98217A-R03-C19,153.46,3.09,A
10,SA919X4XB40509-A98217A-R03-C22,102.14,2.85,A
10,SA919X4XB40509-A98217A-R03-C23,173.94,3.06,A
10,SA919X4XB40509-A98217A-R03-C24,143.38,2.86,A
10,SA919X4XB40509-A98217A-R03-C30,193.06,3.18,A
10,SA919X4XB40509-A98217A-R03-C34,97.78,2.98,A
10,SA919X4XB40509-A98217A-R03-C35,152.13,2.98,A
10,SA919X4XB40509-A98217A-R03-C41,130.73,2.99,A
10,SA919X4XB40509-A98217A-R03-C43,190.22,3.03,A
10,SA919X4XB40509-A98217A-R03-C54,151.4,2.99,A
10,SA919X4XB40509-A98217A-R03-C55,125.33,2.83,A
10,SA919X4XB40509-A98217A-R03-C56,182.1,3.16,A
10,SA919X4XB40509-A98217A-R03-C63,172.13,3.09,A
10,SA919X4XB40509-A98217A-R03-C66,169.37,2.97,A
10,SA919X4XB40509-A98217A-R03-C67,140.71,2.8,A
10,SA919X4XB40509-A98217A-R04-C11,141.81,2.98,A
10,SA919X4XB40509-A98217A-R04-C12,141.95,2.97,A
10,SA919X4XB40509-A98217A-R04-C13,174.84,3.03,A
10,SA919X4XB40509-A98217A-R04-C14,162.06,3.06,A
10,SA919X4XB40509-A98217A-R04-C16,168.22,3.02,A
10,SA919X4XB40509-A98217A-R04-C17,169.43,3,A
10,SA919X4XB40509-A98217A-R04-C18,133.7,3.02,A
10,SA919X4XB40509-A98217A-R04-C19,143.87,3.06,A
10,SA919X4XB40509-A98217A-R04-C23,138.83,2.91,A
10,SA919X4XB40509-A98217A-R04-C26,152.92,2.97,A
10,SA919X4XB40509-A98217A-R04-C28,151.94,3.04,A
10,SA919X4XB40509-A98217A-R04-C29,121.78,2.98,A
10,SA919X4XB40509-A98217A-R04-C30,148.89,3.05,A
10,SA919X4XB40509-A98217A-R04-C31,166.44,3.07,A
10,SA919X4XB40509-A98217A-R04-C33,106.13,2.96,A
10,SA919X4XB40509-A98217A-R04-C34,121.02,3.09,A
10,SA919X4XB40509-A98217A-R04-C35,166.54,3.06,A
10,SA919X4XB40509-A98217A-R04-C37,145.44,3.01,A
10,SA919X4XB40509-A98217A-R04-C38,150.33,3.01,A
10,SA919X4XB40509-A98217A-R04-C40,152.14,3.05,A
10,SA919X4XB40509-A98217A-R04-C42,166.94,3.11,A
10,SA919X4XB40509-A98217A-R04-C43,170.7,3.08,A
10,SA919X4XB40509-A98217A-R04-C47,225.46,3.04,A
10,SA919X4XB40509-A98217A-R04-C48,157.73,2.99,A
10,SA919X4XB40509-A98217A-R04-C52,144.98,2.92,A
10,SA919X4XB40509-A98217A-R04-C54,145.9,3,A
10,SA919X4XB40509-A98217A-R04-C55,121.98,3.14,A
10,SA919X4XB40509-A98217A-R04-C56,159.35,2.94,A
10,SA919X4XB40509-A98217A-R04-C57,159.87,3.04,A
10,SA919X4XB40509-A98217A-R04-C58,142.95,2.98,A
10,SA919X4XB40509-A98217A-R04-C59,149.56,2.99,A
10,SA919X4XB40509-A98217A-R04-C61,150.06,3.02,A
10,SA919X4XB40509-A98217A-R04-C64,167.92,2.96,A
10,SA919X4XB40509-A98217A-R04-C66,154.3,2.98,A
10,SA919X4XB40509-A98217A-R04-C68,114.41,2.99,A
10,SA919X4XB40509-A98217A-R05-C07,190.76,3.04,A
10,SA919X4XB40509-A98217A-R05-C09,168.44,3.03,A
10,SA919X4XB40509-A98217A-R05-C12,146.32,3.08,A
10,SA919X4XB40509-A98217A-R05-C13,179.08,3,A
10,SA919X4XB40509-A98217A-R05-C15,167.16,3.03,A
10,SA919X4XB40509-A98217A-R05-C16,176.86,3,A
10,SA919X4XB40509-A98217A-R05-C17,183.4,3.03,A
10,SA919X4XB40509-A98217A-R05-C18,147.29,3.04,A
10,SA919X4XB40509-A98217A-R05-C21,119.87,3.03,A
10,SA919X4XB40509-A98217A-R05-C23,161.86,2.95,A
10,SA919X4XB40509-A98217A-R05-C24,191.62,2.98,A
10,SA919X4XB40509-A98217A-R05-C26,170.03,3.09,A
10,SA919X4XB40509-A98217A-R05-C31,177.16,3.01,A
10,SA919X4XB40509-A98217A-R05-C32,169.98,2.99,A
10,SA919X4XB40509-A98217A-R05-C33,124.52,3.16,A
10,SA919X4XB40509-A98217A-R05-C35,185.38,3.01,A
10,SA919X4XB40509-A98217A-R05-C38,165.38,3.02,A
10,SA919X4XB40509-A98217A-R05-C40,169.24,3.06,A
10,SA919X4XB40509-A98217A-R05-C41,165.06,3.06,A
10,SA919X4XB40509-A98217A-R05-C44,164.6,3.06,A
10,SA919X4XB40509-A98217A-R05-C46,171.14,3.13,A
10,SA919X4XB40509-A98217A-R05-C48,152.51,3.01,A
10,SA919X4XB40509-A98217A-R05-C50,154.27,3.01,A
10,SA919X4XB40509-A98217A-R05-C51,166.17,3.09,A
10,SA919X4XB40509-A98217A-R05-C54,153.59,2.99,A
10,SA919X4XB40509-A98217A-R05-C55,166.76,2.97,A
10,SA919X4XB40509-A98217A-R05-C58,153.68,3.02,A
10,SA919X4XB40509-A98217A-R05-C59,162.84,3.08,A
10,SA919X4XB40509-A98217A-R05-C60,148.54,3.03,A
10,SA919X4XB40509-A98217A-R05-C61,169.67,2.99,A
10,SA919X4XB40509-A98217A-R05-C62,142.56,2.9,A
10,SA919X4XB40509-A98217A-R05-C63,180.9,3.05,A
10,SA919X4XB40509-A98217A-R05-C64,171.84,3.02,A
10,SA919X4XB40509-A98217A-R05-C66,164.19,2.97,A
10,SA919X4XB40509-A98217A-R05-C67,156.51,3.01,A
10,SA919X4XB40509-A98217A-R05-C69,132.17,2.95,A
10,SA919X4XB40509-A98217A-R06-C08,233.3,2.92,A
10,SA919X4XB40509-A98217A-R06-C09,180.59,3.04,A
10,SA919X4XB40509-A98217A-R06-C11,151.38,2.98,A
10,SA919X4XB40509-A98217A-R06-C12,152.13,3.05,A
10,SA919X4XB40509-A98217A-R06-C14,168.16,2.97,A
10,SA919X4XB40509-A98217A-R06-C15,166.75,3.02,A
10,SA919X4XB40509-A98217A-R06-C17,185.75,3.09,A
10,SA919X4XB40509-A98217A-R06-C18,149.95,2.94,A
10,SA919X4XB40509-A98217A-R06-C19,156.14,2.98,A
10,SA919X4XB40509-A98217A-R06-C22,153.29,3.01,A
10,SA919X4XB40509-A98217A-R06-C23,151.13,2.98,A
10,SA919X4XB40509-A98217A-R06-C24,197.08,2.97,A
10,SA919X4XB40509-A98217A-R06-C26,172.94,3.03,A
10,SA919X4XB40509-A98217A-R06-C27,122.33,3.08,A
10,SA919X4XB40509-A98217A-R06-C28,159.02,2.91,A
10,SA919X4XB40509-A98217A-R06-C30,168.4,3.01,A
10,SA919X4XB40509-A98217A-R06-C32,177.68,3.02,A
10,SA919X4XB40509-A98217A-R06-C33,119.22,3.02,A
