library_labels,grouping,mainsite,origin,pdxid,sample_id,library_id,jira_ticket
A98254A,A98254A,Metastasis,Left_Axillary,X0011_2362,SA535X4XB09109,A98254A,SC-3143
A118855A,A118855A,Metastasis,Axillary,X0011_2364,SA535X4XB05985,A118855A,SC-4141
A98244A,A98244A,Metastasis,Left_Axillary,X0011_2362,SA535X4XB09109,A98244A,SC-3658
A96201B,A96201B,Primary,Primary,X0011_2361,SA535X4XB05391,A96201B,SC-3784
A95721B,A95721B,Metastasis,Tumor_Recur,X0011_2361,SA535X4XB05730,A95721B,SC-2912
A95731A,A95731A,Metastasis,Axillary,X0011_2361,SA535X4XB05723,A95731A,SC-3003
A98232A,A98232A,Primary,Primary,X0011_2362,SA535X4XB05649,A98232A,SC-3173
A98277B,A98277B,Primary,Primary,X0011_2362,SA535X4XB05649,A98277B,SC-2716
A98261A,A98261A,Primary,Primary,X0011_2362,SA535X4XB05649,A98261A,SC-3213
A98197B,A98197B,Primary,Primary,X0011_2362,SA535X4XB05649,A98197B,SC-3403
A98165A,A98165A,Primary,Primary,X0011_2362,SA535X4XB05649,A98165A,SC-3377
A96121A,A96121A,Metastasis,Right_Axillary,X0011_2362,SA535X4XB09106,A96121A,SC-3070
A96253A,A96253A,Metastasis,Right_Axillary,X0011_2362,SA535X4XB09106,A96253A,SC-3010
A98269A,A98269A,Metastasis,Inguinal,X0011_2362,SA535X4XB09113,A98269A,SC-2913
A98194B,A98194B,Metastasis,Inguinal,X0011_2362,SA535X4XB09113,A98194B,SC-2914
A98277A,A98277A,Metastasis,Left_Axillary,X0011_2362,SA535X4XB09109,A98277A,SC-2705
A98197A,A98197A,Metastasis,Left_Axillary,X0011_2362,SA535X4XB09109,A98197A,SC-3409
A98194A,A98194A,Primary,Primary,X0011_2363,SA535X4XB05462,A98194A,SC-2718
A98169A,A98169A,Primary,Primary,X0011_2363,SA535X4XB05462,A98169A,SC-3312
A98174A,A98174A,Primary,Primary,X0011_2363,SA535X4XB05462,A98174A,SC-3553
A98282B,A98282B,Metastasis,Tumor_Recur,X0011_2363,SA535X4XB05662,A98282B,SC-2771
A98296A_05662,A98296A,Metastasis,Tumor_Recur,X0011_2363,SA535X4XB05662,A98296A,SC-2772
A98296A_05667,A98296A,Metastasis,Axillary,X0011_2363,SA535X4XB05667,A98296A,SC-2772
A98294B,A98294B,Metastasis,Axillary,X0011_2363,SA535X4XB05667,A98294B,SC-2732
A98169B,A98169B,Metastasis,Axillary,X0011_2363,SA535X4XB05667,A98169B,SC-3310
A95697A,A95697A,Primary,Primary,X0011_2364,SA535X4XB02498,A95697A,SC-2744
A98163A,A98163A,Primary,Primary,X0011_2364,SA535X4XB02498,A98163A,SC-3264
A98210A,A98210A,Primary,Primary,X0011_2364,SA535X4XB02498,A98210A,SC-3580
A98262A,A98262A,Metastasis,Axillary,X0011_2364,SA535X4XB05985,A98262A,SC-2785
A98303B,A98303B,Metastasis,Axillary,X0011_2364,SA535X4XB05985,A98303B,SC-3572
A98262B,A98262B,Metastasis,Inguinal,X0011_2364,SA535X4XB05989,A98262B,SC-2735
A98303A,A98303A,Metastasis,Inguinal,X0011_2364,SA535X4XB05989,A98303A,SC-3894
