BlockID,SA ID,XenoID,Ki67 %
2487,SA919,X0847-2112251,35
02487NeckM,SA919,X0847-2112251,40
02487SpinM,SA919,X0847-2112251,35
2488,SA919,X0847-2112252,30
02488NeckM,SA919,X0847-2112252,40
2489,SA919,X0847-2112253,1
02489Bone,SA919,X0847-2112253,35
2490,SA919,X0847-2112254,50
02490SpinM,SA919,X0847-2112254,40
02495TuRec,SA535,X0011-2361,15
02495AxiM,SA535,X0011-2361,25
2496,SA535,X0011-2362,25
02496R.AxiM,SA535,X0011-2362,30
02496L.AxiM,SA535,X0011-2362,40
02496InGMass,SA535,X0011-2362,25
2497,SA535,X0011-2363,25
02497TuRec,SA535,X0011-2363,30
02497ALN,SA535,X0011-2363,25
2498,SA535,X0011-2364,30
02498AxiM,SA535,X0011-2364,35
02498IngM,SA535,X0011-2364,30
2798,SA1142,X2673-11,15
2800,SA1142,X2673-13,15
02958L.Kid,SA919,X0847-2112253M2,25
2959,SA919,X0847-2112253M3,30
02959NeckM,SA919,X0847-2112253M3,35
02959L.AxiM,SA919,X0847-2112253M3,35
02959FlankM,SA919,X0847-2112253M3,25
02959AbdM,SA919,X0847-2112253M3,35
02959Kid,SA919,X0847-2112253M3,30
2960,SA919,X0847-2112253M4,30
02960NeckM,SA919,X0847-2112253M4,30
3146,SA535,X0011-2361R2,30
03146AxiM,SA535,X0011-2361R2,35
03146-4,SA535,X0011-2361R2,40
3147,SA535,X0011-2361R3,35
03147ThorM,SA535,X0011-2361R3,0
3148,SA535,X0011-2361R4,55
02674Th,SA575,X0016-4143372,0
3086,SA919,X0847-216,30
3031,SA609,X0028-161,55
3032,SA609,X0028-162,55
3033,SA609,X0028-163,60
3270,SA919X4,X0847-2161,25
3271,SA919X4,X0847-2162,30
3272,SA919X4,X0847-2163,35
03272 AbdM,SA919X4,X0847-2163,40
03272 SpinM,SA919X4,X0847-2163,35
3273,SA919X4,X0847-2164,40
03273 AxiM,SA919X4,X0847-2164,35
03273 Lumbar,SA919X4,X0847-2164,25
3141,SA535X4M,X0011-2361M1,35
03141-4,SA535X4M,X0011-2361M1,20
3142,SA535X4M,X0011-2361M2,35
03142-4,SA535X4M,X0011-2361M2,20
3143,SA535X4M,X0011-2361M3,35
03143-4,SA535X4M,X0011-2361M3,25
3144,SA535X4M,X0011-2361M4,35
03266-4,SA535X7,X0011-2361521,30
03266 AbdM,SA535X7,X0011-2361521,35
03267-4,SA535X7,X0011-2361522,50
03269-4,SA535X7,X0011-2361524,50
03269 AxiM,SA535X7,X0011-2361524,50
3605,SA535X6,X0011-236191,30
3606,SA535X6,X0011-236192,35
3607,SA535X6,X0011-236193,35
3608,SA535X6,X0011-236194,35
3609,SA535X6,X0011-236195,20
3610,SA535X6,X0011-236196,30
3611,SA535X6,X0011-236197,35
3612,SA535X6,X0011-236198,35
3262,SA535X5,X0011-23617,25
03262-4,SA535X5,X0011-23617,40
03262 AxiM,SA535X5,X0011-23617,25
03268-4,SA535X7,X0011-2361523,40
3269,SA535X7,X0011-2361524,30
3145,SA535X4R,X0011-2361R1,45
03145-4,SA535X4R,X0011-2361R1,35
03145 NeckM,SA535X4R,X0011-2361R1,20
2692,SA1139,X1476-2334,50
3085,SA919X3,X0847-215,40
3087,SA919X3,X0847-217,45
02495 LU,SA535X4,X0011-2361,25
02496 LU,SA535X4,X0011-2362,30
02958 LU,SA919X7M,X0847-2112253M2,30
02958 BR,SA919X7M,X0847-2112253M2,25
02959 LU,SA919X7M,X0847-2112253M3,25
02959 BR,SA919X7M,X0847-2112253M3,20
02960 BR,SA919X7M,X0847-2112253M4,30
02960 LU,SA919X7M,X0847-2112253M4,30
03145-2,SA535X4R,X0011-2361R1,35
03146-2,SA535X4R,X0011-2361R2,20
03148-2,SA535X4R,X0011-2361R4,20
02798-2,SA1142X2,X2673-11,20
02798-3,SA1142X2,X2673-11,20
02800-LI,SA1142X2,X2673-13,40
03141-2,SA535X4M,X0011-2361M1,30
03142-2,SA535X4M,X0011-2361M2,20
03143-2,SA535X4M,X0011-2361M3,20
