baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,symbol,chr,copy_number_state_cloneA,copy_number_state_cloneB,copy_number_state_cloneC,gene_type,description
15407.24,-1.02,0.18,-5.62,1.88183873837832e-08,1.09927492775477e-06,ENSG00000002834,LASP1,17,2,2,2,trans_gene,B Primary vs. A Primary
539.9,-3.64,0.38,-9.49,2.42013128069132e-21,1.67193991638753e-18,ENSG00000002933,TMEM176A,7,2,3,3,cis_gene,B Primary vs. A Primary
5.07,-6.34,2.55,-2.48,0.0130907468345305,,ENSG00000003096,KLHL13,X,2,2,2,trans_gene,B Primary vs. A Primary
243.86,-1.08,0.4,-2.7,0.00696891363851188,0.0281959807826499,ENSG00000003400,CASP10,2,2,2,2,trans_gene,B Primary vs. A Primary
103.71,-1,0.44,-2.27,0.0232636629300827,0.069123226409815,ENSG00000004139,SARM1,17,2,2,2,trans_gene,B Primary vs. A Primary
110.72,-1.09,0.45,-2.42,0.015354424534829,0.0510628597253326,ENSG00000005187,ACSM3,16,3,3,3,trans_gene,B Primary vs. A Primary
2299.35,-1.21,0.18,-6.77,1.2868217424089e-11,1.94794370856263e-09,ENSG00000005238,FAM214B,9,4,4,4,trans_gene,B Primary vs. A Primary
212.45,-1.26,0.33,-3.84,0.000123453565876041,0.00127698699515276,ENSG00000005448,WDR54,2,2,2,2,trans_gene,B Primary vs. A Primary
169.5,-1.08,0.37,-2.93,0.00340277038504988,0.0164732467265241,ENSG00000005844,ITGAL,16,3,3,3,trans_gene,B Primary vs. A Primary
95.99,-1.26,0.51,-2.46,0.0137721051864001,0.0471621738784092,ENSG00000005981,ASB4,7,2,3,3,cis_gene,B Primary vs. A Primary
299.69,-1.28,0.4,-3.16,0.00157055344319075,0.00927443430085547,ENSG00000006025,OSBPL7,17,2,2,2,trans_gene,B Primary vs. A Primary
1574.96,-1.2,0.21,-5.82,5.7576280334324e-09,4.03263121664982e-07,ENSG00000006282,SPATA20,17,2,2,2,trans_gene,B Primary vs. A Primary
823.58,-1.28,0.25,-5.14,2.71439283501948e-07,1.01093180770911e-05,ENSG00000006432,MAP3K9,14,1,1,1,trans_gene,B Primary vs. A Primary
1003.93,1.02,0.21,4.93,8.37757971418343e-07,2.54101562163846e-05,ENSG00000006634,DBF4,7,2,3,3,cis_gene,B Primary vs. A Primary
10.15,-4.26,1.51,-2.83,0.00465796682696338,,ENSG00000007129,CEACAM21,19,2,2,2,trans_gene,B Primary vs. A Primary
304.04,-1.59,0.33,-4.86,1.17189279164388e-06,3.27186516822123e-05,ENSG00000007216,SLC13A2,17,2,2,2,trans_gene,B Primary vs. A Primary
164.95,-1.2,0.53,-2.27,0.023022994918617,0.0686690089966717,ENSG00000007516,BAIAP3,16,3,3,3,trans_gene,B Primary vs. A Primary
1125.13,-1.22,0.35,-3.52,0.000432438774193022,0.00341823305058359,ENSG00000007545,CRAMP1,16,3,3,3,trans_gene,B Primary vs. A Primary
81.07,-1.42,0.58,-2.45,0.0144164390025011,0.0487989007639362,ENSG00000008086,CDKL5,X,2,2,2,trans_gene,B Primary vs. A Primary
107.75,-1.25,0.55,-2.28,0.0224270621475413,0.0674200685272445,ENSG00000008226,DLEC1,3,2,2,2,trans_gene,B Primary vs. A Primary
2390.84,-1.05,0.18,-5.8,6.50446660659877e-09,4.44513984891735e-07,ENSG00000008323,PLEKHG6,12,3,3,3,trans_gene,B Primary vs. A Primary
412.6,-1.01,0.27,-3.73,0.000195210774843593,0.00182640000588248,ENSG00000008382,MPND,19,2,2,2,trans_gene,B Primary vs. A Primary
31987.78,1.46,0.19,7.85,4.26924062625848e-15,1.71759439369291e-12,ENSG00000008988,RPS20,8,2,2,2,trans_gene,B Primary vs. A Primary
3858.77,-1.11,0.28,-3.92,8.79677921267325e-05,0.00099630778564774,ENSG00000010322,NISCH,3,2,2,2,trans_gene,B Primary vs. A Primary
736.92,-1.03,0.3,-3.37,0.000744819631529369,0.00520634099933985,ENSG00000011028,MRC2,17,2,2,2,trans_gene,B Primary vs. A Primary
72.87,-1.69,0.56,-3.01,0.00257195379736296,0.013450210088884,ENSG00000011083,SLC6A7,5,2,2,2,trans_gene,B Primary vs. A Primary
2992.42,-1.03,0.2,-5.16,2.50865992554839e-07,9.49379420211566e-06,ENSG00000011105,TSPAN9,12,3,3,3,trans_gene,B Primary vs. A Primary
9.51,-3.69,1.56,-2.36,0.0181945617118492,,ENSG00000012504,NR1H4,12,2,2,2,trans_gene,B Primary vs. A Primary
1897.63,-1.15,0.21,-5.52,3.43539402177452e-08,1.84593423811228e-06,ENSG00000012779,ALOX5,10,2,2,2,trans_gene,B Primary vs. A Primary
3863.84,-1.14,0.18,-6.21,5.3508597328334e-10,5.41938153372868e-08,ENSG00000013364,MVP,16,3,3,3,trans_gene,B Primary vs. A Primary
659.42,-1.52,0.31,-4.9,9.37753214369939e-07,2.73326909977226e-05,ENSG00000019144,PHLDB1,11,2,2,2,trans_gene,B Primary vs. A Primary
2673.12,-1.06,0.19,-5.45,4.970071852229e-08,2.49888112627428e-06,ENSG00000020181,ADGRA2,8,2,2,2,trans_gene,B Primary vs. A Primary
13897.54,-1.07,0.16,-6.63,3.45626396456178e-11,4.77032196991184e-09,ENSG00000022556,NLRP2,19,2,2,2,trans_gene,B Primary vs. A Primary
192.99,-1.5,0.35,-4.23,2.34539251218215e-05,0.000349032090766388,ENSG00000023892,DEF6,6,3,3,3,trans_gene,B Primary vs. A Primary
158.95,-1.18,0.48,-2.45,0.0143219917072629,0.0485960470607005,ENSG00000026036,RTEL1-TNFRSF6B,20,,,,trans_gene,B Primary vs. A Primary
1824.55,-1.17,0.21,-5.57,2.60458328893892e-08,1.46669294166728e-06,ENSG00000033327,GAB2,11,2,2,2,trans_gene,B Primary vs. A Primary
