sample_id,clone_id,nb_cells,pct_cells,series,patient_ID
SA919X3XB08939_mouseM16_Primary_X3,A,375,100,SA919,Pt1
SA919X4XB09552_mouseM61_Primary_X4,A,26,100,SA919,Pt1
SA919X4XB09563_mouseM64_Primary_X4,A,83,98.8,SA919,Pt1
SA919X4XB09563_mouseM64_Primary_X4,B,1,1.2,SA919,Pt1
SA919X4XB40503_mouseM64_Metastasis_X4,A,627,99.7,SA919,Pt1
SA919X4XB40503_mouseM64_Metastasis_X4,B,2,0.3,SA919,Pt1
SA919X4XB40509_mouseM64_Metastasis_X4,A,712,100,SA919,Pt1
SA919X7XB05289_mouseM54_Primary_X7,A,61,33.2,SA919,Pt1
SA919X7XB05289_mouseM54_Primary_X7,B,121,65.8,SA919,Pt1
SA919X7XB05289_mouseM54_Primary_X7,C,2,1.1,SA919,Pt1
SA919X7XB05298_mouseM53_Primary_X7,A,11,2,SA919,Pt1
SA919X7XB05298_mouseM53_Primary_X7,B,504,93.9,SA919,Pt1
SA919X7XB05298_mouseM53_Primary_X7,C,22,4.1,SA919,Pt1
SA919X7XB05378_mouseM52_Primary_X7,A,7,1.1,SA919,Pt1
SA919X7XB05378_mouseM52_Primary_X7,B,648,98.3,SA919,Pt1
SA919X7XB05378_mouseM52_Primary_X7,C,4,0.6,SA919,Pt1
SA919X7XB05402_mouseM51_Primary_X7,A,7,4.7,SA919,Pt1
SA919X7XB05402_mouseM51_Primary_X7,B,142,95.3,SA919,Pt1
SA919X7XB05588_mouseM53_Metastasis_X7,A,2,0.3,SA919,Pt1
SA919X7XB05588_mouseM53_Metastasis_X7,B,25,3.4,SA919,Pt1
SA919X7XB05588_mouseM53_Metastasis_X7,C,706,96.3,SA919,Pt1
SA919X7XB05604_mouseM52_Metastasis_X7,A,6,2.2,SA919,Pt1
SA919X7XB05604_mouseM52_Metastasis_X7,B,27,9.7,SA919,Pt1
SA919X7XB05604_mouseM52_Metastasis_X7,C,246,88.2,SA919,Pt1
SA919X7XB05608_mouseM54_Metastasis_X7,B,30,100,SA919,Pt1
SA919X7XB05691_mouseM51_Metastasis_X7,A,3,0.4,SA919,Pt1
SA919X7XB05691_mouseM51_Metastasis_X7,B,761,99.6,SA919,Pt1
SA919X7XB05692_mouseM51_Metastasis_X7,A,4,1.3,SA919,Pt1
SA919X7XB05692_mouseM51_Metastasis_X7,B,305,98.4,SA919,Pt1
SA919X7XB05692_mouseM51_Metastasis_X7,C,1,0.3,SA919,Pt1
