baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,DE_comparison,gene_symbol,chr
13.05,6.81,2.12,3.21,0.00133,0.00648,ENSG00000000005,Bmet_Apri,TNMD,X
7.6,-1.93,0.96,-2,0.04575,0.11112,ENSG00000000971,Bmet_Apri,CFH,1
4.64,-4.27,2.34,-1.83,0.06732,0.14958,ENSG00000001626,Bmet_Apri,CFTR,7
5.29,1.54,1.6,0.97,0.33361,0.48753,ENSG00000002745,Bmet_Apri,WNT16,7
1192.72,1.48,0.27,5.53,0,0,ENSG00000002822,Bmet_Apri,MAD1L1,7
648.79,-4.32,0.28,-15.47,0,0,ENSG00000002933,Bmet_Apri,TMEM176A,7
6.02,-6.14,1.77,-3.46,0.00054,0.0031,ENSG00000003096,Bmet_Apri,KLHL13,X
1873.87,-2.14,1.07,-1.99,0.04626,0.11209,ENSG00000003436,Bmet_Apri,TFPI,2
983.69,-1.29,0.27,-4.79,0,2e-05,ENSG00000003989,Bmet_Apri,SLC7A2,8
177.99,-3.7,0.53,-6.94,0,0,ENSG00000004139,Bmet_Apri,SARM1,17
69.91,2.6,0.38,6.9,0,0,ENSG00000004776,Bmet_Apri,HSPB6,19
657.61,1.18,0.24,4.89,0,2e-05,ENSG00000004799,Bmet_Apri,PDK4,7
24.12,2.48,1.38,1.79,0.0727,0.15842,ENSG00000004848,Bmet_Apri,ARX,X
0.23,2,3.91,0.51,0.60859,,ENSG00000004948,Bmet_Apri,CALCR,7
2846.03,1.03,0.34,3.05,0.00225,0.01001,ENSG00000005001,Bmet_Apri,PRSS22,16
141.91,1.04,0.25,4.19,3e-05,0.00026,ENSG00000005020,Bmet_Apri,SKAP2,7
15.38,1.32,1.16,1.14,0.25453,0.40253,ENSG00000005102,Bmet_Apri,MEOX1,17
221.38,-1.38,0.46,-3.02,0.00254,0.01105,ENSG00000005187,Bmet_Apri,ACSM3,16
