baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_symbol,chr,DE_comparison
1588.59,1.12,0.35,3.24,0.00121,0.02879,ENSG00000002933,TMEM176A,7,Amet_Apri
1745.97,1.19,0.3,3.99,7e-05,0.00614,ENSG00000003989,SLC7A2,8,Amet_Apri
49.49,6.99,1.86,3.76,0.00017,,ENSG00000006788,MYH13,17,Amet_Apri
37.47,8.04,1.6,5.03,0,,ENSG00000007001,UPP2,2,Amet_Apri
279.12,1.9,0.55,3.49,0.00049,0.01723,ENSG00000008086,CDKL5,X,Amet_Apri
278.62,2.31,0.38,6.07,0,0,ENSG00000008196,TFAP2B,6,Amet_Apri
60.66,1.18,0.58,2.05,0.03998,,ENSG00000008277,ADAM22,7,Amet_Apri
261.5,1.26,0.39,3.21,0.00132,0.0302,ENSG00000008311,AASS,7,Amet_Apri
28.78,1.65,0.8,2.06,0.03949,,ENSG00000011201,ANOS1,X,Amet_Apri
306.25,1.33,0.32,4.11,4e-05,0.00422,ENSG00000020577,SAMD4A,14,Amet_Apri
617.84,1.91,0.52,3.69,0.00023,0.01135,ENSG00000022267,FHL1,X,Amet_Apri
3380.39,1.06,0.26,4.03,6e-05,0.00541,ENSG00000023516,AKAP11,13,Amet_Apri
208.6,-1.11,0.35,-3.19,0.00142,0.03108,ENSG00000023892,DEF6,6,Amet_Apri
24,4.31,1.44,2.99,0.00276,,ENSG00000037749,MFAP3,5,Amet_Apri
154.5,1.04,0.41,2.52,0.01162,,ENSG00000039139,DNAH5,5,Amet_Apri
802.28,1.09,0.43,2.54,0.01118,0.08458,ENSG00000039560,RAI14,5,Amet_Apri
2277.68,1,0.26,3.83,0.00013,0.0082,ENSG00000041353,RAB27B,18,Amet_Apri
81.65,1.62,0.56,2.89,0.00382,,ENSG00000044524,EPHA3,3,Amet_Apri
570.1,1.23,0.31,4,6e-05,0.00588,ENSG00000047365,ARAP2,4,Amet_Apri
109.98,1.05,0.45,2.31,0.02113,,ENSG00000048540,LMO3,12,Amet_Apri
253.29,1.3,0.55,2.37,0.01769,0.10571,ENSG00000048740,CELF2,10,Amet_Apri
